"PointID","x","y"
0, 1.000080000000000e+00, 1.257210000000000e-03
1, 9.798549999999999e-01, 5.416750000000000e-03
2, 9.596079999999998e-01, 9.461560000000001e-03
3, 9.393449999999997e-01, 1.339430000000011e-02
4, 9.190669999999999e-01, 1.721730000000083e-02
5, 8.987730000000000e-01, 2.093270000000436e-02
6, 8.784640000000001e-01, 2.454230000001892e-02
7, 8.581410000000000e-01, 2.804760000006907e-02
8, 8.378050000000000e-01, 3.144970000022045e-02
9, 8.174539999999997e-01, 3.474970000063050e-02
10, 7.970910000000001e-01, 3.794800000164573e-02
11, 7.767150000000000e-01, 4.104500000397709e-02
12, 7.563270000000003e-01, 4.404060000899764e-02
13, 7.359270000000001e-01, 4.693450001922826e-02
14, 7.155150000000001e-01, 4.972610003909868e-02
15, 6.950929999999998e-01, 5.241420007609997e-02
16, 6.746590000000001e-01, 5.499760014250362e-02
17, 6.542149999999998e-01, 5.747460025781789e-02
18, 6.337610000000004e-01, 5.984290045231207e-02
19, 6.132970000000003e-01, 6.210030077192397e-02
20, 5.928229999999999e-01, 6.424370128506451e-02
21, 5.723409999999998e-01, 6.627000209181988e-02
22, 5.518500000000001e-01, 6.817540333677552e-02
23, 5.313510000000002e-01, 6.995570522597326e-02
24, 5.108440000000002e-01, 7.160630805022179e-02
25, 4.903299999999994e-01, 7.312211221613191e-02
26, 4.698099999999996e-01, 7.449721828837114e-02
27, 4.492840000000002e-01, 7.572542704703980e-02
28, 4.287520000000001e-01, 7.679973956531354e-02
29, 4.082159999999996e-01, 7.771225731326670e-02
30, 3.875759999999999e-01, 7.844398247213236e-02
31, 3.668650000000000e-01, 7.894171803706955e-02
32, 3.461490000000000e-01, 7.919006801073813e-02
33, 3.254309999999996e-01, 7.917743803823006e-02
34, 3.047139999999997e-01, 7.889063597328058e-02
35, 2.840020000000000e-01, 7.831467275456835e-02
36, 2.632959999999995e-01, 7.743286367603079e-02
37, 2.426010000000000e-01, 7.622553011422228e-02
38, 2.219220000000000e-01, 7.467010204210305e-02
39, 2.012640000000000e-01, 7.273962162764794e-02
40, 1.806310000000000e-01, 7.040144846115635e-02
41, 1.600330000000000e-01, 6.761496689230895e-02
42, 1.394760000000000e-01, 6.432839751819154e-02
43, 1.189729999999999e-01, 6.047251373121088e-02
44, 9.853700000000000e-02, 5.595056879673899e-02
45, 7.818849999999983e-02, 5.061734017661340e-02
46, 5.795880000000000e-02, 4.423281198430477e-02
47, 3.790390000000000e-02, 3.633535633414016e-02
48, 1.815790000000000e-02, 2.574330059879662e-02
49, 0.000000000000000e+00, 7.152689620634409e-05
50, 2.265850000009092e-02, -2.165397858302099e-02
51, 4.372870000000000e-02, -2.850153138561192e-02
52, 6.449020000000000e-02, -3.285757689910853e-02
53, 8.507679999999999e-02, -3.590481915492695e-02
54, 1.055450000000000e-01, -3.810552761114115e-02
55, 1.259249999999999e-01, -3.970059916579301e-02
56, 1.462380000000000e-01, -4.083580665484900e-02
57, 1.664980000000000e-01, -4.160823911846755e-02
58, 1.867150000000000e-01, -4.208757756082929e-02
59, 2.069000000000001e-01, -4.232578529975332e-02
60, 2.270570000000000e-01, -4.236380315905859e-02
61, 2.471950000000000e-01, -4.223435091876562e-02
62, 2.673160000000002e-01, -4.196452751847594e-02
63, 2.874270000000000e-01, -4.157711425394726e-02
64, 3.075299999999999e-01, -4.109177655830983e-02
65, 3.276300000000001e-01, -4.052546680790652e-02
66, 3.477290000000003e-01, -3.989292631277389e-02
67, 3.678289999999997e-01, -3.920758740084922e-02
68, 3.879340000000001e-01, -3.848097513593099e-02
69, 4.081109999999998e-01, -3.771930907964895e-02
70, 4.283910000000004e-01, -3.689020366932832e-02
71, 4.486759999999999e-01, -3.599186929171710e-02
72, 4.689660000000000e-01, -3.503211422462024e-02
73, 4.892609999999997e-01, -3.401794456729478e-02
74, 5.095640000000002e-01, -3.295576476014335e-02
75, 5.298739999999997e-01, -3.185117798770189e-02
76, 5.501910000000001e-01, -3.070948650774091e-02
77, 5.705160000000002e-01, -2.953529189731677e-02
78, 5.908500000000002e-01, -2.833279524068887e-02
79, 6.111930000000000e-01, -2.710559727114515e-02
80, 6.315450000000000e-01, -2.585709847607452e-02
81, 6.519070000000000e-01, -2.459009917328481e-02
82, 6.722800000000005e-01, -2.330709956565453e-02
83, 6.926619999999998e-01, -2.201019977975857e-02
84, 7.130559999999998e-01, -2.070109989267545e-02
85, 7.334609999999996e-01, -1.938119994998498e-02
86, 7.538770000000000e-01, -1.805139997784259e-02
87, 7.743050000000000e-01, -1.671249999073613e-02
88, 7.947459999999997e-01, -1.536479999637735e-02
89, 8.151990000000001e-01, -1.400829999868972e-02
90, 8.356650000000000e-01, -1.264279999956788e-02
91, 8.561440000000001e-01, -1.126749999987247e-02
92, 8.766380000000000e-01, -9.881769999967153e-03
93, 8.971449999999996e-01, -8.484229999992876e-03
94, 9.176679999999999e-01, -7.073409999998778e-03
95, 9.382060000000000e-01, -5.647529999999856e-03
96, 9.587590000000001e-01, -4.204500000000000e-03
97, 9.793290000000001e-01, -2.741940000000000e-03
98, 9.999160000000000e-01, -1.257210000000000e-03
