"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, 1.000080000000000e+00, 1.329865136053033e-03, -6.725260191299946e-05, 2.532245600467775e-02, -1.057313872388976e+04, -1.075402093748652e+04, 1.339463325247748e+03, 2.685026326487445e+03
1, 9.798549999999997e-01, 5.477110808951142e-03, -1.886460715644428e-04, 2.467723296390400e-02, -1.323233103805632e+04, -8.186777003479890e+03, 1.575007288768456e+03, 5.948126373449501e+03
2, 9.596079999999999e-01, 9.511342445164448e-03, -3.060536297297421e-04, 2.403191843040968e-02, -1.659973575594146e+04, -4.498797346464065e+03, 5.055322020705653e+03, 1.576888814476440e+04
3, 9.393450000000000e-01, 1.343506099475598e-02, -4.193211437553475e-04, 2.338740313317667e-02, -2.197776590464140e+04, -2.410056248969302e+03, 8.017595036676896e+03, 2.529866759055241e+04
4, 9.190669999999999e-01, 1.725043122998825e-02, -5.284490151953396e-04, 2.274427793650805e-02, -3.545547607087221e+04, -2.133046848157823e+03, 1.117310456728796e+04, 4.012153227369332e+04
5, 8.987730000000000e-01, 2.095943057998215e-02, -6.335228552068906e-04, 2.210264988121024e-02, -4.313079538402236e+04, -1.411728149091110e+03, 1.310788327788080e+04, 4.927217254251026e+04
6, 8.784640000000001e-01, 2.456370468646971e-02, -7.346416327640120e-04, 2.146277248031268e-02, -5.024550345784864e+04, -1.514159746747385e+03, 1.435688429935772e+04, 5.656168638778431e+04
7, 8.581410000000000e-01, 2.806460898959708e-02, -8.319097345765542e-04, 2.082472053595721e-02, -5.825636026050434e+04, -2.125987617552951e+02, 1.526889661156701e+04, 6.558685130315798e+04
8, 8.378050000000000e-01, 3.146311047736069e-02, -9.252010242985233e-04, 2.018888404191415e-02, -8.609976793765406e+04, 2.766695002593432e+03, 1.645311081936649e+04, 9.476321890927831e+04
9, 8.174539999999997e-01, 3.476018827206336e-02, -1.014004518527835e-03, 1.955493049339971e-02, -9.851447228263017e+04, 2.533189107043805e+03, 2.392488271472153e+04, 1.118044271215363e+05
10, 7.970910000000001e-01, 3.795613523784448e-02, -1.099155199501079e-03, 1.892363252934358e-02, -1.063233346147952e+05, 3.314492092779587e+03, 2.136177306891364e+04, 1.176679839198040e+05
11, 7.767150000000000e-01, 4.105125633354480e-02, -1.180248218903583e-03, 1.829517218655243e-02, -1.285055037041194e+05, 3.825650705519368e+03, 2.381515732731161e+04, 1.406420324849086e+05
12, 7.563270000000003e-01, 4.404536899313675e-02, -1.257276836714021e-03, 1.766921897706270e-02, -1.456409632275163e+05, 5.380464607065526e+03, 2.444414470390119e+04, 1.587373191987847e+05
13, 7.359270000000001e-01, 4.693810199997804e-02, -1.330249154725473e-03, 1.704621664393424e-02, -1.600812319561942e+05, 5.534905710889751e+03, 2.604015278103830e+04, 1.736118178097383e+05
14, 7.155150000000001e-01, 4.972879468312458e-02, -1.399348988355561e-03, 1.642629228876286e-02, -1.729031439002074e+05, 5.846075831957090e+03, 2.718587862332013e+04, 1.868356805884391e+05
15, 6.950929999999998e-01, 5.241619595511453e-02, -1.464526323702259e-03, 1.580953237217827e-02, -1.844164795232971e+05, 7.606971601843515e+03, 2.746009272976792e+04, 1.997228894065952e+05
16, 6.746590000000001e-01, 5.499906305281418e-02, -1.525902444999560e-03, 1.519612374212600e-02, -2.187867538160367e+05, 1.270393759283603e+04, 2.622375468527835e+04, 2.373577077917054e+05
17, 6.542149999999998e-01, 5.747566078904418e-02, -1.582430707469280e-03, 1.458578052495405e-02, -2.345763389943758e+05, 1.096740714926045e+04, 3.406000698268057e+04, 2.548177144016708e+05
18, 6.337610000000004e-01, 5.984366035086953e-02, -1.635399047810510e-03, 1.397919869075423e-02, -2.403771981298156e+05, 1.071662827998901e+04, 2.962671288657541e+04, 2.579904613100479e+05
19, 6.132970000000003e-01, 6.210083845293499e-02, -1.684173783909599e-03, 1.337645495638305e-02, -2.619513218224598e+05, 9.933094935635128e+03, 3.066346132069945e+04, 2.787151368629869e+05
20, 5.928229999999999e-01, 6.424407647199418e-02, -1.728731727055844e-03, 1.277695921954561e-02, -2.713390093260942e+05, 1.045521224579225e+04, 3.276889681566137e+04, 2.893150284817007e+05
21, 5.723409999999998e-01, 6.627025969170121e-02, -1.769184655488541e-03, 1.218173429463541e-02, -3.020997814398669e+05, 1.433749914443578e+04, 2.751958342441814e+04, 3.211882040657825e+05
22, 5.518500000000001e-01, 6.817557658464363e-02, -1.804678926340397e-03, 1.159058398980290e-02, -3.264568490153094e+05, 2.152797850032581e+04, 2.793912159896308e+04, 3.524426453254103e+05
23, 5.313510000000002e-01, 6.995581825599756e-02, -1.835789466023869e-03, 1.100399788711057e-02, -3.425454507158642e+05, 3.520534419498823e+04, 2.962695314366623e+04, 3.823698320554185e+05
24, 5.108440000000002e-01, 7.160637791505733e-02, -1.862332752396000e-03, 1.042127383595616e-02, -3.656227249431895e+05, 4.403353221999994e+04, 3.419532376269661e+04, 4.153258115045293e+05
25, 4.903299999999994e-01, 7.312215044960793e-02, -1.883881636947361e-03, 9.842355185866125e-03, -3.926854140011508e+05, 4.482892874545181e+04, 3.963637790574182e+04, 4.446380212295601e+05
26, 4.698099999999996e-01, 7.449723206145954e-02, -1.900347304873806e-03, 9.267775093058542e-03, -4.199638850031068e+05, 4.837045326772975e+04, 4.101473027605042e+04, 4.754638627719787e+05
27, 4.492840000000002e-01, 7.572541996971370e-02, -1.911587085127010e-03, 8.698377084491683e-03, -4.905102195910888e+05, 5.336909491472926e+04, 3.493430119483202e+04, 5.483487305968744e+05
28, 4.287520000000001e-01, 7.679971217072408e-02, -1.915951239126904e-03, 8.133511764579996e-03, -5.352566914608665e+05, 5.373522842059485e+04, 3.825993655300812e+04, 5.939417249746061e+05
29, 4.082159999999996e-01, 7.771220724498906e-02, -1.914686993888600e-03, 7.575275462890953e-03, -6.045152684799792e+05, 5.430052919997571e+04, 2.609723057095524e+04, 6.608801079216786e+05
30, 3.875759999999999e-01, 7.844390419178068e-02, -1.905888648198069e-03, 7.020306480979116e-03, -6.552852454558318e+05, 5.606687223358281e+04, 3.431332202583242e+04, 7.146547779277830e+05
31, 3.668650000000000e-01, 7.894160235201507e-02, -1.889360639244051e-03, 6.471307032286721e-03, -7.310592241729203e+05, 5.654234793368303e+04, 1.697205344729774e+04, 7.883326954894519e+05
32, 3.461490000000000e-01, 7.918990127839065e-02, -1.863524254062744e-03, 5.929879713673962e-03, -8.011156860003711e+05, 5.511852923290525e+04, 2.076822806174461e+04, 8.572411029129687e+05
33, 3.254309999999996e-01, 7.917720067093137e-02, -1.828956436095247e-03, 5.397311692333049e-03, -8.697496911389692e+05, 5.241734717397453e+04, 7.924091392125786e+03, 9.223032101475247e+05
34, 3.047139999999997e-01, 7.889030033873172e-02, -1.785092466197724e-03, 4.874677857681453e-03, -9.528150292647954e+05, 5.130851186986155e+04, -5.616301847202001e+03, 1.004186365793999e+06
35, 2.840020000000000e-01, 7.831420016379162e-02, -1.731499788471823e-03, 4.362988759584852e-03, -1.051259356439784e+06, 4.801266303923242e+04, -2.338824324224969e+04, 1.100266791508910e+06
36, 2.632959999999995e-01, 7.743220007545197e-02, -1.667661742827825e-03, 3.863339275516972e-03, -1.159321581652628e+06, 4.530119535320288e+04, -4.207138505432295e+04, 1.207557882936796e+06
37, 2.426010000000000e-01, 7.622460003290585e-02, -1.593243789032689e-03, 3.377378343324745e-03, -1.285942942198038e+06, 4.470500544685003e+04, -6.750691499267332e+04, 1.337479979236648e+06
38, 2.219220000000000e-01, 7.466880001348307e-02, -1.507579339697876e-03, 2.906538514142704e-03, -1.433553148959457e+06, 4.187804834098021e+04, -9.899368088615254e+04, 1.488655841149646e+06
39, 2.012640000000000e-01, 7.273780000514213e-02, -1.409709622572937e-03, 2.453290073841416e-03, -1.605455703932952e+06, 3.852074362092673e+04, -1.321307719587481e+05, 1.665080395568193e+06
40, 1.806310000000000e-01, 7.039890000180377e-02, -1.299360821735695e-03, 2.019878988246299e-03, -1.807317621034064e+06, 3.227558380674194e+04, -1.735276406824827e+05, 1.872044478002535e+06
41, 1.600330000000000e-01, 6.761140000057349e-02, -1.174739331659673e-03, 1.609817195209652e-03, -2.046050778487777e+06, 2.383701634042118e+04, -2.103277082157354e+05, 2.112199437210387e+06
42, 1.394760000000000e-01, 6.432340000016196e-02, -1.035505652084177e-03, 1.226701304394808e-03, -2.277660405479152e+06, 2.015293011562437e+04, -2.451234388643540e+05, 2.349529341455420e+06
43, 1.189729999999999e-01, 6.046550000003963e-02, -8.835035352115836e-04, 8.741175698688360e-04, -2.577172933210506e+06, -4.403895422175992e+01, -3.495075147194630e+05, 2.670246308674936e+06
44, 9.853700000000000e-02, 5.594070000000813e-02, -7.119536509241414e-04, 5.634832013616590e-04, -3.142399661580821e+06, -2.540268810459774e+04, -5.030767406084603e+05, 3.275364859130180e+06
45, 7.818849999999983e-02, 5.060340000000128e-02, -5.168846171841250e-04, 3.042994518713480e-04, -3.955014345836599e+06, -6.755804893013419e+04, -6.719500123118159e+05, 4.113196292002258e+06
46, 5.795880000000000e-02, 4.421300000000015e-02, -2.892114902542341e-04, 1.111723472498812e-04, -5.431875723487030e+06, -1.959503267574163e+05, -7.005626178034953e+05, 5.420153751137775e+06
47, 3.790390000000000e-02, 3.630690000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.921062695807319e+06, -5.778449520296117e+05, 1.477626515640505e+05, 3.356253877033003e+06
48, 1.815790000000000e-02, 2.570150000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.403509212831154e+05, 7.873497610801968e+04, 1.701003778469279e+04, 6.200199302363866e+05
49, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.666887219907342e+04, -1.839649819301171e+04, -1.192822687164469e+05, 2.448371571820505e+05
50, 2.265850000000000e-02, -2.172400000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.605396822842022e+05, -4.364578618418649e+04, 1.413347460356794e+05, 6.670398204427125e+05
51, 4.372870000000000e-02, -2.856010000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.954710170973379e+06, 7.703958166787867e+05, 7.586782951508926e+05, 3.527354380991346e+06
52, 6.449020000000000e-02, -3.290519999999986e-02, 2.694707825439754e-04, 1.582045616446247e-04, 5.708732189513396e+06, 1.892188265944729e+05, 2.057999018270001e+05, 5.534838946329745e+06
53, 8.507679999999999e-02, -3.594289999999912e-02, 4.580833068712766e-04, 3.809675262839727e-04, 4.024391887561948e+06, 1.537605373458990e+04, 2.249709823646140e+04, 4.009268316488023e+06
54, 1.055450000000000e-01, -3.813559999999518e-02, 6.055009820028814e-04, 6.659511800265499e-04, 3.169196244557451e+06, 1.141771432989863e+04, 7.274546577500919e+04, 3.161128415159589e+06
55, 1.259249999999999e-01, -3.972409999997942e-02, 7.219198137982426e-04, 9.974020984778521e-04, 2.759972987823407e+06, -3.216831805753021e+04, 1.371067321824928e+05, 2.805574111665125e+06
56, 1.462380000000000e-01, -4.085399999992503e-02, 8.253491619426365e-04, 1.359856066715813e-03, 2.481077615341227e+06, -2.226239138819744e+03, 8.326358631195269e+04, 2.488881140773414e+06
57, 1.664980000000000e-01, -4.162219999975918e-02, 9.076500567487582e-04, 1.749113174816594e-03, 2.099378380904754e+06, 1.567731240011732e+03, 1.010758312775497e+05, 2.107528129473151e+06
58, 1.867150000000000e-01, -4.209819999930216e-02, 9.754124430043837e-04, 2.161832463228631e-03, 1.856742508922857e+06, 7.994125964894579e+03, 1.107500073365665e+05, 1.861970150133959e+06
59, 2.069000000000001e-01, -4.233379999814378e-02, 1.031219853041143e-03, 2.594198224483891e-03, 1.668299065326359e+06, 1.365907522403307e+04, 1.135087365571088e+05, 1.670140841349911e+06
