"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho]"  ,  "rms[RhoU]"  ,  "rms[RhoV]"  ,  "rms[RhoE]"  ,      "CD"     ,      "CL"     ,     "CSF"     ,     "CMx"     ,     "CMy"     ,     "CMz"     ,     "CFx"     ,     "CFy"     ,     "CFz"     ,     "CEff"    ,   "avg[bgs]"  ,    "rms[U][1]"   ,    "rms[R][1]"   ,    "rms[E][1]"   ,  "rms[DispX][1]" ,  "rms[DispY][1]" ,  "rms[DispZ][1]" ,   "avg[bgs][1]"  
          0,           0,           0,        -1.8839117,      0.3098837146,      0.3001269387,       3.609822942,     0.04051875649,      0.7069860652,                 0,                 0,                 0,       0.112566605,      0.0158206157,      0.7079694726,                 0,       17.44836531,        1.68451087,      -3.312287474,       3.529697666,      -1.737131123,                 0,                 0,                 0,      -1.563721131
          0,           1,           0,      -2.305201941,     -0.2533431455,    -0.08664335365,       3.180976151,     0.01146561863,      0.3404367559,                 0,                 0,                 0,     0.07914258915,  -0.0004224373577,      0.3406295153,                 0,       29.69196578,       1.290227379,      -3.821487477,        2.91547373,       -3.09495037,                 0,                 0,                 0,      -1.825143493
          0,           2,           0,      -2.769308848,     -0.5479849249,     -0.5342179566,       2.718271706,     0.01854961076,      0.4772140558,                 0,                 0,                 0,     0.08678665779,    0.001883780472,       0.477570722,                 0,       25.72636493,      0.9068322634,      -4.353878496,       2.350913101,      -4.340807729,                 0,                 0,                 0,       -2.16281254
          0,           3,           0,      -3.325143258,      -1.191272094,      -1.087384062,       2.159581827,       0.015863945,      0.4353886053,                 0,                 0,                 0,     0.08413900632,   0.0006594379161,       0.435677022,                 0,       27.44516609,      0.4288837348,      -4.413010419,       2.283220344,      -4.486704069,                 0,                 0,                 0,      -2.493931911
          0,           4,           0,      -3.787085625,      -1.633472186,      -1.554931173,       1.698996311,     0.01668036744,      0.4488922677,                 0,                 0,                 0,     0.08498603509,    0.001004091994,       0.449200951,                 0,       26.91141363,    -0.05250453438,      -4.470993387,       2.220653148,      -4.612107352,                 0,                 0,                 0,      -2.824508282
          0,           5,           0,      -4.301748099,      -2.130050368,      -2.063893239,       1.183758881,     0.01641165754,      0.4444817346,                 0,                 0,                 0,     0.08469821736,   0.0008894711649,       0.444783727,                 0,        27.0832933,       -0.53532611,      -4.517562864,       2.159299582,      -4.723415465,                 0,                 0,                 0,      -3.150393276
          0,           6,           0,      -4.784941413,      -2.616002358,      -2.548472493,       0.700636884,     0.01649851146,      0.4459167331,                 0,                 0,                 0,     0.08479239166,   0.0009261914532,      0.4462208825,                 0,       27.02769485,      -1.023238664,      -4.547881527,       2.046721639,      -4.884534892,                 0,                 0,                 0,      -3.490326211
          0,           7,           0,       -5.29957057,      -3.126120604,      -3.060978154,       0.185940363,     0.01647148233,      0.4454711841,                 0,                 0,                 0,      0.0847626749,   0.0009147282272,      0.4457746615,                 0,       27.04499663,      -1.531637629,      -5.162961887,       1.403065991,      -6.144519609,                 0,                 0,                 0,      -3.848151799
          0,           8,           0,      -5.835276504,      -3.656265728,      -3.595094086,     -0.3501866363,     0.01647938033,      0.4456013761,                 0,                 0,                 0,      0.0847715038,   0.0009180777806,      0.4459050498,                 0,       27.03993519,      -2.067117167,      -5.653472098,      0.9241786217,      -7.114675149,                 0,                 0,                 0,      -4.195348841
          0,           9,           0,      -6.352947236,      -4.175422102,      -4.112637725,     -0.8679394983,     0.01647699779,      0.4455621493,                 0,                 0,                 0,       0.084768843,   0.0009170656909,      0.4458657638,                 0,        27.0414644,      -2.588199333,      -6.188777566,      0.3852489883,      -8.188497648,                 0,                 0,                 0,      -4.545284322
          0,          10,           0,      -6.879194523,       -4.69924427,      -4.636886162,      -1.394103908,     0.01647770922,      0.4455738598,                 0,                 0,                 0,     0.08476963782,   0.0009173679914,       0.445877492,                 0,       27.04100758,       -3.11323611,      -6.708572977,     -0.1333912222,      -9.227198147,                 0,                 0,                 0,      -4.894296001
