"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,     -0.3507005956,        2.04580339,       2.118943494,       5.135265081,      0.1159800202,      0.1973391755,                 0,                 0,                 0,     0.09954624544,      0.1090223304,      0.2012666061,                 0,       1.701492853
          0,           0,           1,     -0.5806737395,       1.888853866,       1.859120948,       4.908274809,      0.1471436366,      0.2379951519,                 0,                 0,                 0,      0.1099717467,      0.1387480896,      0.2429854105,                 0,       1.617434212
          0,           0,           2,     -0.7180112358,        1.76008903,       1.789725168,       4.757696336,      0.1134093907,        0.26535046,                 0,                 0,                 0,      0.1048847119,      0.1040797072,      0.2691467463,                 0,       2.339757391
          0,           0,           3,     -0.7253058706,       1.710440828,       1.705237363,       4.754380869,     0.07837367679,       0.303119177,                 0,                 0,                 0,      0.1063314944,     0.06774722695,      0.3056697269,                 0,       3.867614605
          0,           0,           4,     -0.7579207321,       1.684011213,       1.617009361,       4.732530019,     0.06063822302,      0.3451153048,                 0,                 0,                 0,      0.1114350644,     0.04855693341,      0.3470213133,                 0,       5.691382228
          0,           0,           5,     -0.7914300716,       1.661745808,       1.586633487,        4.70037946,     0.05360712741,      0.3852712726,                 0,                 0,                 0,       0.116538491,     0.04012869789,      0.3869074376,                 0,       7.186941201
          0,           0,           6,     -0.8264499933,       1.612756425,       1.561605819,       4.657120194,     0.05052561737,      0.4220210216,                 0,                 0,                 0,      0.1205135885,     0.03576651727,      0.4235272564,                 0,       8.352614844
          0,           0,           7,      -0.866166021,       1.527968321,       1.511160319,       4.607983744,     0.04807520255,      0.4560667613,                 0,                 0,                 0,      0.1234676769,     0.03212941601,      0.4574667382,                 0,       9.486528129
          0,           0,           8,     -0.9024591123,       1.445117279,       1.455031824,       4.569434395,     0.04528090805,      0.4876602796,                 0,                 0,                 0,      0.1254421927,     0.02823422582,       0.488943491,                 0,       10.76966652
          0,           0,           9,     -0.9248754007,       1.421029841,        1.42254202,       4.554086277,     0.04225672862,      0.5170936576,                 0,                 0,                 0,      0.1264551427,     0.02418467857,      0.5182533967,                 0,       12.23695431
          0,           0,          10,     -0.9368320248,       1.443805528,        1.41673473,       4.552341412,     0.03931255463,      0.5443703673,                 0,                 0,                 0,      0.1264247462,     0.02029035464,      0.5454107399,                 0,        13.8472397
          0,           0,          11,     -0.9529605525,       1.455866307,        1.41078808,       4.543280661,     0.03670242946,      0.5692524579,                 0,                 0,                 0,      0.1252561491,     0.01681344706,       0.570186581,                 0,       15.50993943
          0,           0,          12,     -0.9826440994,       1.433693962,       1.383207944,       4.515370854,     0.03460430977,      0.5912506672,                 0,                 0,                 0,      0.1229367758,     0.01394887905,      0.5920981662,                 0,       17.08604134
          0,           0,          13,      -1.024437305,       1.378293943,       1.327571944,       4.469896326,     0.03313604539,      0.6099470787,                 0,                 0,                 0,      0.1196045459,     0.01182901374,      0.6107319468,                 0,       18.40735886
          0,           0,          14,      -1.070313059,       1.302920475,       1.250798308,       4.416684673,     0.03239868915,      0.6252790699,                 0,                 0,                 0,      0.1155292087,     0.01055702791,      0.6260288648,                 0,       19.29951755
          0,           0,          15,      -1.110492276,       1.230402064,       1.172352129,       4.370019718,     0.03239985424,      0.6374535253,                 0,                 0,                 0,      0.1112122401,     0.01013330992,      0.6381959444,                 0,       19.67458003
          0,           0,          16,      -1.142894821,       1.182367159,         1.1222055,       4.336167997,     0.03306339996,      0.6465417787,                 0,                 0,                 0,      0.1070689814,     0.01047927595,       0.647301819,                 0,       19.55460659
          0,           0,          17,      -1.169744637,       1.153110076,       1.105453728,       4.312540959,     0.03424284194,      0.6529913506,                 0,                 0,                 0,      0.1034886461,     0.01143291264,      0.6537886239,                 0,        19.0694263
          0,           0,          18,      -1.197566634,       1.124698633,       1.099738576,       4.289567247,     0.03572281866,      0.6574293309,                 0,                 0,                 0,      0.1007943275,     0.01275710452,      0.6582755512,                 0,       18.40362423
          0,           0,          19,       -1.23087761,       1.085955673,       1.084755893,       4.260247875,     0.03729228235,      0.6604650312,                 0,                 0,                 0,     0.09915940547,     0.01421966772,      0.6613641756,                 0,       17.71050173
          0,           0,          20,      -1.270521035,       1.036238141,       1.052456736,       4.222750732,     0.03875427422,      0.6625901844,                 0,                 0,                 0,     0.09859829385,     0.01560660221,       0.663539057,                 0,       17.09721567
          0,           0,          21,      -1.313757084,      0.9808544853,       1.002547757,       4.179676989,     0.03996223457,      0.6642819487,                 0,                 0,                 0,     0.09904012217,     0.01675478498,      0.6652719479,                 0,       16.62274284
          0,           0,          22,      -1.358157931,       0.927201484,      0.9389180452,       4.133838896,     0.04082704517,        0.66593889,                 0,                 0,                 0,      0.1003363632,     0.01756124234,      0.6669580614,                 0,       16.31121937
          0,           0,          23,      -1.403346802,      0.8795760274,      0.8699648189,       4.086252532,     0.04132171406,      0.6678835508,                 0,                 0,                 0,      0.1022882541,     0.01798774221,      0.6689188012,                 0,       16.16301661
          0,           0,          24,       -1.44984746,      0.8367825663,      0.8052669982,       4.037114477,     0.04147609362,      0.6703455168,                 0,                 0,                 0,      0.1046811108,     0.01805610635,      0.6713846552,                 0,       16.16221438
          0,           0,          25,      -1.497906089,      0.7958198215,      0.7538256673,       3.986721444,     0.04134522587,      0.6733394729,                 0,                 0,                 0,      0.1072558976,     0.01782083077,      0.6743722202,                 0,       16.28578533
          0,           0,          26,      -1.546662791,       0.752522728,      0.7177388116,       3.936193078,     0.04100781126,      0.6768078931,                 0,                 0,                 0,      0.1097695411,     0.01736257557,       0.677826752,                 0,        16.5043652
          0,           0,          27,      -1.592309143,      0.7061319346,      0.6916251389,       3.889476502,     0.04055259666,      0.6806441892,                 0,                 0,                 0,      0.1120262984,     0.01677375348,      0.6816448243,                 0,       16.78423197
          0,           0,          28,      -1.631313205,      0.6575084152,      0.6683371739,       3.850108526,     0.04006743641,      0.6847216717,                 0,                 0,                 0,      0.1139004949,     0.01614658669,      0.6857028911,                 0,       17.08923088
          0,           0,          29,      -1.660891573,      0.6095787915,      0.6443232725,       3.820523287,     0.03962523425,      0.6888929582,                 0,                 0,                 0,      0.1153272711,      0.0155590781,       0.689856204,                 0,       17.38520848
          0,           0,          30,      -1.680786706,      0.5663827338,      0.6189427526,       3.800615506,     0.03927932641,      0.6929911842,                 0,                 0,                 0,      0.1162835645,     0.01507035496,      0.6939398614,                 0,        17.6426443
          0,           0,          31,      -1.693488978,      0.5304049712,      0.5916707536,       3.787887494,     0.03906088383,      0.6968403713,                 0,                 0,                 0,      0.1167812825,     0.01471771075,      0.6977790802,                 0,       17.83985161
          0,           0,          32,      -1.702440358,      0.5008061435,      0.5617034706,       3.779207005,     0.03897977919,      0.7002861255,                 0,                 0,                 0,      0.1168634751,     0.01451640044,      0.7012199048,                 0,       17.96536923
          0,           0,          33,      -1.711399045,      0.4752193052,       0.528596584,       3.771032905,     0.03902934695,      0.7032156151,                 0,                 0,                 0,       0.116600844,     0.01446370029,      0.7041493397,                 0,       18.01761162
          0,           0,          34,       -1.72373732,      0.4500662123,      0.4930009665,       3.760025203,     0.03919115103,      0.7055616682,                 0,                 0,                 0,      0.1160848636,     0.01454352972,      0.7064996105,                 0,       18.00308615
          0,           0,          35,      -1.740260005,       0.423571302,      0.4559939759,       3.745238212,     0.03943777704,      0.7072828877,                 0,                 0,                 0,      0.1154171238,      0.0147299358,      0.7082283887,                 0,       17.93414692
          0,           0,          36,      -1.763622686,      0.3961608723,      0.4177609258,       3.723987456,      0.0397419967,      0.7084170271,                 0,                 0,                 0,      0.1147098382,     0.01499438924,      0.7093724542,                 0,       17.82540099
          0,           0,          37,       -1.79592726,       0.365681206,      0.3785850627,        3.69399542,     0.04007018039,      0.7090133505,                 0,                 0,                 0,      0.1140449542,     0.01530156163,      0.7099798678,                 0,       17.69428896
          0,           0,          38,       -1.83696417,      0.3362515199,      0.3383317938,       3.655107017,     0.04039298339,      0.7091872149,                 0,                 0,                 0,      0.1134993181,     0.01561810021,       0.710164892,                 0,       17.55718829
          0,           0,          39,      -1.885781437,      0.3082791362,      0.2979396542,       3.607979888,     0.04067560976,      0.7090238373,                 0,                 0,                 0,      0.1131065024,     0.01590625621,      0.7100114774,                 0,       17.43117906
          0,           1,           0,      -1.137409219,       1.324593073,        1.34852795,       4.348953755,     0.01366656802,      0.5285792475,                 0,                 0,                 0,     0.05899754723,   -0.004788906987,      0.5287342077,                 0,       38.67680947
          0,           1,           1,      -1.409651197,       1.142617417,       1.128797944,       4.097426999,     0.01338758686,      0.5031460703,                 0,                 0,                 0,     0.05744657657,   -0.004180113114,      0.5033067873,                 0,       37.58302937
          0,           1,           2,      -1.333220341,       1.209172664,       1.198090268,       4.158360943,     0.01329541474,       0.499427545,                 0,                 0,                 0,     0.06583818118,   -0.004142454422,      0.4995873105,                 0,       37.56389361
          0,           1,           3,      -1.300382446,       1.188898024,       1.169086944,       4.187484592,     0.01285061294,      0.4845206098,                 0,                 0,                 0,      0.0703880955,   -0.004066740734,      0.4846739329,                 0,       37.70408557
          0,           1,           4,      -1.282871064,       1.175904912,       1.166954902,       4.215576036,     0.01201937151,      0.4610713013,                 0,                 0,                 0,     0.07090588933,   -0.004079106728,      0.4612098991,                 0,       38.36068308
          0,           1,           5,       -1.28261041,       1.168686117,         1.1680111,       4.218371433,     0.01102688558,      0.4375095774,                 0,                 0,                 0,     0.07054732621,    -0.00424869575,      0.4376278911,                 0,       39.67662256
          0,           1,           6,      -1.298441774,       1.132735336,       1.127745346,       4.193660604,     0.01008430529,      0.4180061769,                 0,                 0,                 0,     0.07098268676,   -0.004510042989,       0.418103476,                 0,       41.45116246
          0,           1,           7,      -1.316764474,       1.070014214,       1.045599332,       4.164752832,    0.009307021284,      0.4031823623,                 0,                 0,                 0,     0.07234296715,   -0.004769509825,      0.4032615648,                 0,       43.32023641
          0,           1,           8,      -1.329915623,       1.009553266,      0.9581524841,       4.150056007,    0.008728394114,      0.3921416657,                 0,                 0,                 0,     0.07422125594,   -0.004962469757,      0.3922074001,                 0,       44.92712641
          0,           1,           9,      -1.340690424,      0.9765534846,      0.9188093389,       4.145623589,    0.008322666131,      0.3834194318,                 0,                 0,                 0,     0.07604051233,   -0.005063549009,      0.3834763199,                 0,       46.06930349
          0,           1,          10,      -1.353953606,      0.9617101942,      0.9214075455,       4.138679276,    0.008106860923,      0.3762978122,                 0,                 0,                 0,     0.07751578994,   -0.005030681815,      0.3763515071,                 0,       46.41720338
          0,           1,          11,      -1.370200919,      0.9449595672,      0.9209273237,       4.124335448,    0.008092122864,      0.3704792256,                 0,                 0,                 0,     0.07863998543,   -0.004842345149,      0.3705359506,                 0,       45.78269903
          0,           1,          12,      -1.385890697,      0.9196313293,      0.8992593986,       4.106112405,    0.008270590759,      0.3658501391,                 0,                 0,                 0,      0.0794825236,   -0.004502433183,      0.3659159125,                 0,       44.23506733
          0,           1,          13,      -1.402848959,      0.8810405883,      0.8596814425,       4.084791032,     0.00859135925,      0.3621211913,                 0,                 0,                 0,     0.08003634653,   -0.004051721696,       0.362200431,                 0,       42.14946445
