"Time_Iter","Outer_Iter","Inner_Iter",     "rms[U]"     ,     "rms[R]"     ,     "rms[E]"     ,   "rms[DispX]"   ,   "rms[DispY]"   ,   "rms[DispZ]"   
          0,           0,           0,      -0.608306169,       3.732310292,       2.457429753,                 0,                 0,                 0
          0,           0,           1,      -1.799408843,       5.200642158,       1.615414742,                 0,                 0,                 0
          0,           0,           2,      -1.946852697,       4.767906331,      0.7929143137,                 0,                 0,                 0
          0,           0,           3,      -2.344888538,       4.361929933,    -0.03313099373,                 0,                 0,                 0
          0,           0,           4,      -2.834411387,       3.953199085,     -0.8786859307,                 0,                 0,                 0
          0,           0,           5,      -3.308866983,       3.533556567,      -1.728975401,                 0,                 0,                 0
          0,           1,           0,      -1.016968793,       3.504853054,       1.663043318,                 0,                 0,                 0
          0,           1,           1,      -2.032828377,       4.616700803,      0.3443201012,                 0,                 0,                 0
          0,           1,           2,      -2.457679789,       4.199078972,     -0.5060510723,                 0,                 0,                 0
          0,           1,           3,       -2.92357089,        3.77894874,      -1.363976348,                 0,                 0,                 0
          0,           1,           4,      -3.375466229,       3.350794833,      -2.224634866,                 0,                 0,                 0
          0,           1,           5,      -3.817830201,       2.919547139,      -3.085646788,                 0,                 0,                 0
          0,           2,           0,      -1.515395515,       3.089297908,      0.6793318515,                 0,                 0,                 0
          0,           2,           1,      -2.537733076,        4.07950661,     -0.8221233798,                 0,                 0,                 0
          0,           2,           2,      -3.019155335,       3.659292762,      -1.710062156,                 0,                 0,                 0
          0,           2,           3,      -3.469357292,       3.226473231,       -2.58649139,                 0,                 0,                 0
          0,           2,           4,      -3.911009941,       2.790853616,      -3.460338471,                 0,                 0,                 0
          0,           2,           5,      -4.349840375,       2.354940043,       -4.33251011,                 0,                 0,                 0
          0,           3,           0,      -2.012230921,       2.626304524,     -0.3179759753,                 0,                 0,                 0
          0,           3,           1,      -3.028943041,       3.577033046,      -1.832113472,                 0,                 0,                 0
          0,           3,           2,      -3.519471449,       3.158097545,       -2.72387842,                 0,                 0,                 0
          0,           3,           3,      -3.967385506,       2.724218394,      -3.601930263,                 0,                 0,                 0
          0,           3,           4,      -4.407951312,       2.288134396,      -4.476877876,                 0,                 0,                 0
          0,           4,           0,      -2.505226562,       2.214406531,      -1.303536125,                 0,                 0,                 0
          0,           4,           1,      -3.527129303,       3.079174906,      -2.830082074,                 0,                 0,                 0
          0,           4,           2,      -4.017967284,       2.659946689,      -3.723137658,                 0,                 0,                 0
          0,           4,           3,      -4.465726849,       2.225823801,       -4.60184522,                 0,                 0,                 0
          0,           5,           0,       -2.98881047,       1.924388572,      -2.271337722,                 0,                 0,                 0
          0,           5,           1,      -4.019460754,       2.583205486,      -3.818991675,                 0,                 0,                 0
          0,           5,           2,      -4.512251254,       2.164545838,      -4.713006712,                 0,                 0,                 0
          0,           6,           0,       -3.48534211,       1.770193147,      -3.263183936,                 0,                 0,                 0
          0,           6,           1,      -4.543470576,       2.050988066,      -4.876053314,                 0,                 0,                 0
          0,           7,           0,      -4.013725327,       1.646564985,        -4.3105314,                 0,                 0,                 0
          0,           7,           1,      -5.155989993,       1.410076999,       -6.13081615,                 0,                 0,                 0
          0,           8,           0,      -4.534610798,       1.014370168,      -5.358267334,                 0,                 0,                 0
          0,           8,           1,      -5.644526542,      0.9330550655,      -7.097116761,                 0,                 0,                 0
          0,           9,           0,      -5.056275756,      0.5341984172,      -6.399692452,                 0,                 0,                 0
          0,           9,           1,      -6.177265711,      0.3967649327,      -8.165733083,                 0,                 0,                 0
          0,          10,           0,      -5.577809553,   -0.001190750691,      -7.443510608,                 0,                 0,                 0
          0,          10,           1,      -6.694875222,     -0.1197390556,       -9.20011635,                 0,                 0,                 0
          0,          11,           0,      -6.099701426,       -0.51795749,       -8.48689586,                 0,                 0,                 0
          0,          11,           1,      -7.218239244,     -0.6433776481,      -10.24691511,                 0,                 0,                 0
