"VARIABLE"      , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "FINDIFF_STEP"  
0               , -0.036584780000001316, 49.94527000000204, -0.030702914099999975, -0.16907329999998888, 0.0             , -0.16789870000000207, 0.0             , 0.0             , -0.1083359200000078, 0.0             , 0.001           
1               , -0.025252149999998447, 37.36138000000011, -0.022865881699999962, -0.06877469999999608, 0.0             , -0.06793469999999413, 0.0             , 0.0             , -0.09670548000000057, 0.0             , 0.001           
2               , -0.0005787000000000153, 4.431930000002637, -0.00258357920000004, 0.05740199999998419, 0.0             , 0.057457300000007816, 0.0             , 0.0             , -0.0453288499999982, 0.0             , 0.001           
3               , 0.011576079999998934, -14.193039999998547, 0.00881351780000002, 0.07931150000001219, 0.0             , 0.0789555999999858, 0.0             , 0.0             , -0.007513170000000846, 0.0             , 0.001           
4               , 0.011331399999998243, -15.012799999997384, 0.009272303299999972, 0.0591627000000039, 0.0             , 0.05880310000000444, 0.0             , 0.0             , 0.016445429999997763, 0.0             , 0.001           
5               , 0.004601829999999196, -4.395129999998915, 0.0027840275000000315, 0.05213529999997801, 0.0             , 0.05200639999997092, 0.0             , 0.0             , 0.033393419999999674, 0.0             , 0.001           
6               , -0.0027341099999994567, 8.23446000000061, -0.004890688599999953, 0.06170859999998779, 0.0             , 0.06184179999996209, 0.0             , 0.0             , 0.04862502999999907, 0.0             , 0.001           
7               , -0.006974090000000377, 15.799760000000163, -0.009476465599999977, 0.07153690000000212, 0.0             , 0.07182410000000639, 0.0             , 0.0             , 0.06541424999999268, 0.0             , 0.001           
8               , -0.007789090000001608, 17.419180000000978, -0.010452774699999992, 0.07614210000000954, 0.0             , 0.07646059999999455, 0.0             , 0.0             , 0.08823978999999982, 0.0             , 0.001           
9               , -0.007221330000001247, 17.0023300000004, -0.010182039399999936, 0.08465749999997385, 0.0             , 0.08496129999996382, 0.0             , 0.0             , 0.12399585000000268, 0.0             , 0.001           
10              , -0.008099689999999105, 16.115089999999554, -0.00971911379999996, 0.04623300000000663, 0.0             , 0.046544099999989985, 0.0             , 0.0             , 0.14204015999999542, 0.0             , 0.001           
11              , -0.013999859999998948, 3.454140000002326, -0.002755702900000042, -0.32223489999999577, 0.0             , -0.3219423999999971, 0.0             , 0.0             , -0.038318180000010416, 0.0             , 0.001           
12              , -0.020455480000000636, -25.20153000000036, 0.013370150400000032, -0.9689964999999856, 0.0             , -0.9688727000000119, 0.0             , 0.0             , -0.4457847599999981, 0.0             , 0.001           
13              , -0.0378608699999998, 57.17326000000256, -0.03492305589999998, -0.08478870000000471, 0.0             , -0.08351820000002119, 0.0             , 0.0             , -0.22752595000000153, 0.0             , 0.001           
14              , -0.016794220000001386, 44.638390000002914, -0.026598455999999986, 0.2804634999999944, 0.0             , 0.28122099999999817, 0.0             , 0.0             , -0.19765642999999833, 0.0             , 0.001           
15              , 0.03100668000000084, -23.1019599999982, 0.015029135100000042, 0.45807819999998944, 0.0             , 0.4572747000000099, 0.0             , 0.0             , -0.0761715300000021, 0.0             , 0.001           
16              , 0.0636774100000008, -84.61134999999942, 0.05240259980000003, 0.32397979999998494, 0.0             , 0.32195369999998835, 0.0             , 0.0             , 0.018293379999992365, 0.0             , 0.001           
17              , 0.06017707000000039, -89.29248999999828, 0.05490534580000002, 0.15201289999999812, 0.0             , 0.15000419999999792, 0.0             , 0.0             , 0.07350982999999867, 0.0             , 0.001           
18              , 0.028436820000001667, -40.26424999999989, 0.024785051700000008, 0.10506939999999076, 0.0             , 0.1041404000000079, 0.0             , 0.0             , 0.10494444999999131, 0.0             , 0.001           
19              , -0.0068683900000011955, 20.823630000002424, -0.01236225889999999, 0.15720399999996637, 0.0             , 0.157539799999995, 0.0             , 0.0             , 0.13233569999999972, 0.0             , 0.001           
20              , -0.026709839999999874, 56.85129000000089, -0.03414809870000001, 0.2125374999999985, 0.0             , 0.2135998999999722, 0.0             , 0.0             , 0.16496857999999393, 0.0             , 0.001           
21              , -0.02884318999999899, 61.093360000000985, -0.03669927729999997, 0.22446549999999288, 0.0             , 0.22560960000000962, 0.0             , 0.0             , 0.20914243999999027, 0.0             , 0.001           
22              , -0.02301134000000024, 51.24937000000074, -0.03073133370000002, 0.22066999999997838, 0.0             , 0.22160809999999254, 0.0             , 0.0             , 0.2786780199999922, 0.0             , 0.001           
23              , -0.020450129999998595, 41.30175000000236, -0.024874592399999965, 0.12634299999997323, 0.0             , 0.12713419999998976, 0.0             , 0.0             , 0.31508837999999484, 0.0             , 0.001           
24              , -0.029878890000001324, 11.868760000002254, -0.008461794200000008, -0.6138270000000112, 0.0             , -0.6131577000000332, 0.0             , 0.0             , -0.04443496000000602, 0.0             , 0.001           
25              , -0.04146369000000011, -48.07140999999859, 0.02533381799999998, -1.9135540999999923, 0.0             , -1.9132725000000073, 0.0             , 0.0             , -0.8685956900000014, 0.0             , 0.001           
26              , -0.0005178099999995911, 10.0539700000013, -0.005817305399999969, 0.1517487000000095, 0.0             , 0.15185930000000125, 0.0             , 0.0             , -0.13017871999999875, 0.0             , 0.001           
27              , 0.01635142000000131, 3.8706800000021246, -0.001333359299999972, 0.5067112000000096, 0.0             , 0.5064490999999727, 0.0             , 0.0             , -0.11225594000000005, 0.0             , 0.001           
28              , 0.05561578000000053, -57.02198999999908, 0.03599680040000002, 0.5627847999999935, 0.0             , 0.5611857999999748, 0.0             , 0.0             , -0.026124609999997328, 0.0             , 0.001           
