"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, 1.000080000000000e+00, 1.298657635133715e-03, -6.742612605389105e-05, 2.543309694723274e-02, -1.056568529170643e+04, -1.076506594441174e+04, 1.373173368848320e+03, 2.753574594655134e+03
1, 9.798549999999997e-01, 5.466085204787603e-03, -1.900992999639118e-04, 2.478416990113637e-02, -1.331858978335422e+04, -8.164995859945519e+03, 1.629287477063513e+03, 6.097363451448426e+03
2, 9.596079999999999e-01, 9.515045330345698e-03, -3.085797025327924e-04, 2.413516471987271e-02, -1.682620712169864e+04, -4.447474202132540e+03, 5.222143309218849e+03, 1.619617706935887e+04
3, 9.393450000000000e-01, 1.344900780617144e-02, -4.227351261787227e-04, 2.348699951352420e-02, -2.241399434649191e+04, -2.324767971758187e+03, 8.271496483215022e+03, 2.602398187485249e+04
4, 9.190669999999999e-01, 1.727101729305880e-02, -5.325939440492028e-04, 2.284028364400068e-02, -3.632751150280592e+04, -2.079567368976610e+03, 1.149632933747638e+04, 4.125026097295353e+04
5, 8.987730000000000e-01, 2.098382774607576e-02, -6.382701180580000e-04, 2.219512662004928e-02, -4.421498816205855e+04, -1.369583537558758e+03, 1.345422183317176e+04, 5.059439729833621e+04
6, 8.784640000000001e-01, 2.458975481955059e-02, -7.398880105570185e-04, 2.155178598588549e-02, -5.149317547016614e+04, -1.503863537462248e+03, 1.469880920651427e+04, 5.799268295106897e+04
7, 8.581410000000000e-01, 2.809072098321879e-02, -8.375739742942411e-04, 2.091033442410281e-02, -5.966288984662978e+04, -2.003628051011644e+02, 1.559359140919951e+04, 6.714486200978275e+04
8, 8.378050000000000e-01, 3.148816299009652e-02, -9.312149149323338e-04, 2.027116693594879e-02, -8.812177189439585e+04, 2.829261802938196e+03, 1.676314965557915e+04, 9.693349924620986e+04
9, 8.174539999999997e-01, 3.478344019669395e-02, -1.020300016723049e-03, 1.963394090228604e-02, -1.007463234973233e+05, 2.562846952320293e+03, 2.437725909572773e+04, 1.142356675608563e+05
10, 7.970910000000001e-01, 3.797714645346972e-02, -1.105696618464229e-03, 1.899944132240811e-02, -1.085930606926075e+05, 3.338163575835859e+03, 2.171220958988438e+04, 1.200594817052483e+05
11, 7.767150000000000e-01, 4.106981767641025e-02, -1.186998646128235e-03, 1.836785076735275e-02, -1.311201107001769e+05, 3.834395941580186e+03, 2.417990587925073e+04, 1.433575608617758e+05
12, 7.563270000000003e-01, 4.406144302554352e-02, -1.264205933303550e-03, 1.773882676518358e-02, -1.484509817159419e+05, 5.401170565553956e+03, 2.478473529132128e+04, 1.616403946279892e+05
13, 7.359270000000001e-01, 4.695177322164684e-02, -1.337332333289071e-03, 1.711281906682179e-02, -1.630103437486498e+05, 5.538503725468068e+03, 2.637733463898931e+04, 1.766119166859426e+05
14, 7.155150000000001e-01, 4.974022901513260e-02, -1.406569153827112e-03, 1.648995314499525e-02, -1.758977507223943e+05, 5.839119959545562e+03, 2.751251213558669e+04, 1.898842896642778e+05
15, 6.950929999999998e-01, 5.242560869837989e-02, -1.471868150623853e-03, 1.587031252666380e-02, -1.874416887925650e+05, 7.609266709344225e+03, 2.776295281864870e+04, 2.028003980248802e+05
16, 6.746590000000001e-01, 5.500669355224435e-02, -1.533354619237495e-03, 1.525408404821750e-02, -2.221727378182567e+05, 1.277795856390954e+04, 2.647478690488209e+04, 2.408432832717171e+05
17, 6.542149999999998e-01, 5.748175425360464e-02, -1.589966268632259e-03, 1.464097455660037e-02, -2.380606286323428e+05, 1.099997614952615e+04, 3.441587149143121e+04, 2.583969692089463e+05
18, 6.337610000000004e-01, 5.984845435631306e-02, -1.643013079145806e-03, 1.403168579148409e-02, -2.437452334517115e+05, 1.073401383249793e+04, 2.989576213631790e+04, 2.614090925602684e+05
