"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho]"  ,  "rms[RhoU]"  ,  "rms[RhoV]"  ,  "rms[RhoE]"  ,      "CD"     ,      "CL"     ,     "CSF"     ,     "CMx"     ,     "CMy"     ,     "CMz"     ,     "CFx"     ,     "CFy"     ,     "CFz"     ,     "CEff"    ,   "avg[bgs]"  ,    "rms[U][1]"   ,    "rms[R][1]"   ,    "rms[E][1]"   ,  "rms[DispX][1]" ,  "rms[DispY][1]" ,  "rms[DispZ][1]" ,   "avg[bgs][1]"  
          0,           0,           0,      -1.884627563,      0.3093357492,       0.298677327,       3.609154486,     0.04068457169,      0.7089807628,                 0,                 0,                 0,      0.1132349195,     0.01591671595,       0.709968742,                 0,       17.42628061,       1.684890686,      -3.308874302,       3.533667814,      -1.728833674,                 0,                 0,                 0,      -1.562280773
          0,           1,           0,      -2.302392176,     -0.2509888119,    -0.08405889273,       3.183818919,      0.0114452105,      0.3403252154,                 0,                 0,                 0,     0.07952866879,  -0.0004389403459,      0.3405173305,                 0,       29.73516437,        1.29226337,       -3.81811149,        2.91930004,      -3.086202543,                 0,                 0,                 0,      -1.823048433
          0,           2,           0,       -2.76664348,     -0.5436978164,     -0.5306811473,       2.720941262,     0.01856955681,       0.478104629,                 0,                 0,                 0,     0.08722701617,    0.001872633811,      0.4784614487,                 0,       25.74669035,      0.9094585181,      -4.350754927,       2.354141283,      -4.334122492,                 0,                 0,                 0,      -2.160663128
          0,           3,           0,      -3.322705182,      -1.189521163,      -1.084785367,       2.162023841,     0.01586403041,      0.4359762007,                 0,                 0,                 0,      0.0845573514,   0.0006390164922,      0.4362642625,                 0,        27.4820578,      0.4315496142,      -4.409740403,       2.286500552,      -4.480099662,                 0,                 0,                 0,      -2.491671733
          0,           4,           0,      -3.782611959,      -1.627418273,      -1.549215554,       1.703432585,     0.01668629063,      0.4495724788,                 0,                 0,                 0,     0.08540967854,   0.0009862725488,      0.4498809545,                 0,       26.94262547,    -0.05031487841,      -4.468173346,       2.223522368,      -4.606375687,                 0,                 0,                 0,      -2.822532462
          0,           5,           0,      -4.299954326,      -2.127886981,      -2.060664493,       1.185494158,     0.01641582486,      0.4451357522,                 0,                 0,                 0,     0.08512055236,   0.0008708110729,      0.4454374915,                 0,        27.1162586,     -0.5348594526,      -4.515291146,         2.1616482,      -4.718726578,                 0,                 0,                 0,      -3.148770998
          0,           6,           0,      -4.781855216,      -2.612969003,      -2.545292957,      0.7037256212,     0.01650309576,      0.4465757902,                 0,                 0,                 0,      0.0852149371,   0.0009077722057,       0.446879698,                 0,       27.06012233,      -1.022200926,      -4.546709447,         2.0478871,      -4.882172165,                 0,                 0,                 0,      -3.489396023
          0,           7,           0,       -5.29747471,      -3.122808003,      -3.058538429,      0.1880266561,     0.01647597253,      0.4461285413,                 0,                 0,                 0,     0.08518504057,   0.0008962742551,       0.446431775,                 0,       27.07752398,      -1.529854659,      -5.160619494,       1.405487174,      -6.139788637,                 0,                 0,                 0,      -3.846694486
          0,           8,           0,      -5.833073242,      -3.652679599,      -3.592446542,     -0.3479854809,     0.01648391556,      0.4462595086,                 0,                 0,                 0,     0.08519395158,   0.0008996417557,      0.4465629397,                 0,       27.07242141,      -2.064433033,      -5.650212518,      0.9274716435,      -7.108145932,                 0,                 0,                 0,      -4.193189319
          0,           9,           0,      -6.349621218,      -4.169389529,      -4.108633067,     -0.8645590582,     0.01648151346,      0.4462199419,                 0,                 0,                 0,     0.08519125901,    0.000898621979,      0.4465233133,                 0,       27.07396641,      -2.584375901,      -6.184234671,      0.3898692289,      -8.179354942,                 0,                 0,                 0,      -4.542335355
          0,          10,           0,      -6.874372343,      -4.692896058,      -4.631758573,      -1.389275318,     0.01648223279,      0.4462317832,                 0,                 0,                 0,     0.08519206488,   0.0008989276137,      0.4465351725,                 0,       27.07350326,      -3.108246533,      -6.703150002,     -0.1279284935,      -9.216331875,                 0,                 0,                 0,       -4.89069872
          0,          11,           0,      -7.401715651,      -5.213277857,      -5.156244917,      -1.916560312,     0.01648201671,      0.4462282294,                 0,                 0,                 0,      0.0851918229,   0.0008988356878,      0.4465316133,                 0,       27.07364258,      -3.630572416,      -7.227686443,     -0.6527410322,       -10.2654841,                 0,                 0,                 0,      -5.239495574
          0,          12,           0,      -7.933019305,      -5.739549978,      -5.687746706,      -2.447759498,     0.01648208146,      0.4462292922,                 0,                 0,                 0,     0.08519189485,   0.0008988633072,      0.4465326777,                 0,       27.07360071,       -4.15449967,      -7.752808016,      -1.177876935,      -11.31573622,                 0,                 0,                 0,      -5.589561295
          0,          13,           0,      -8.467340694,      -6.263056285,      -6.218626909,      -2.981574699,     0.01648206215,       0.446228975,                 0,                 0,                 0,      0.0851918734,   0.0008988550811,      0.4465323601,                 0,       27.07361318,      -4.677554935,      -8.278149305,      -1.703292778,      -12.36654192,                 0,                 0,                 0,      -5.939771812
          0,          14,           0,        -9.0182794,      -6.797702071,        -6.7662305,      -3.532477646,     0.01648206792,        0.44622907,                 0,                 0,                 0,     0.08519187991,   0.0008988575354,      0.4465324552,                 0,       27.07360946,      -5.201825128,      -8.798545773,      -2.223688603,      -13.40766492,                 0,                 0,                 0,      -6.287370819
          0,          15,           0,      -9.563936555,       -7.31723368,      -7.306780343,      -4.077158743,     0.01648206619,      0.4462290413,                 0,                 0,                 0,      0.0851918779,   0.0008988568009,      0.4465324264,                 0,       27.07361057,       -5.72284162,      -9.314148155,      -2.739366466,      -14.43935061,                 0,                 0,                 0,       -6.63170917
          0,          16,           0,      -10.10249489,      -7.858653698,      -7.842856581,      -4.616073506,     0.01648206672,      0.4462290501,                 0,                 0,                 0,     0.08519187853,   0.0008988570251,      0.4465324352,                 0,       27.07361023,      -6.240437741,      -9.823514287,      -3.249002869,      -15.45903712,                 0,                 0,                 0,      -6.972101978
          0,          17,           0,      -10.52055192,      -8.281864906,        -8.2736338,      -5.032203924,     0.01648206655,      0.4462290474,                 0,                 0,                 0,     0.08519187833,   0.0008988569553,      0.4465324325,                 0,       27.07361034,      -6.735675572,      -10.32423118,      -3.749758594,      -16.46114388,                 0,                 0,                 0,      -7.307024277
          0,          18,           0,       -11.0100745,      -8.763479521,      -8.835725785,      -5.514339118,      0.0164820666,      0.4462290482,                 0,                 0,                 0,     0.08519187839,   0.0008988569768,      0.4465324334,                 0,        27.0736103,      -7.267569585,      -10.84319336,      -4.264107593,      -17.48964606,                 0,                 0,                 0,      -7.650122691
          0,          19,           0,      -11.54214601,      -9.301254621,      -9.364344189,      -6.047292525,     0.01648206659,       0.446229048,                 0,                 0,                 0,     0.08519187837,   0.0008988569703,      0.4465324331,                 0,       27.07361031,      -7.821073912,      -11.42006263,      -4.842129028,      -18.64263602,                 0,                 0,                 0,      -8.026655229
