"Time_Iter","Outer_Iter","Inner_Iter",     "rms[U]"     ,     "rms[R]"     ,     "rms[E]"     ,   "rms[DispX]"   ,   "rms[DispY]"   ,   "rms[DispZ]"   
          0,           0,           0,     -0.6083403221,       3.732324056,       2.457579198,                 0,                 0,                 0
          0,           0,           1,      -1.799393586,       5.200747224,       1.615543726,                 0,                 0,                 0
          0,           0,           2,      -1.946879093,       4.768017785,      0.7930490947,                 0,                 0,                 0
          0,           0,           3,      -2.344918696,       4.362040214,    -0.03299358203,                 0,                 0,                 0
          0,           0,           4,      -2.834429853,       3.953308957,     -0.8785459987,                 0,                 0,                 0
          0,           0,           5,      -3.308874302,       3.533667814,      -1.728833674,                 0,                 0,                 0
          0,           1,           0,      -1.017238386,       3.504956066,       1.662806431,                 0,                 0,                 0
          0,           1,           1,      -2.033065514,       4.616472277,      0.3438333929,                 0,                 0,                 0
          0,           1,           2,      -2.458020646,       4.198857262,     -0.5065753377,                 0,                 0,                 0
          0,           1,           3,      -2.923889179,       3.778712737,      -1.364516006,                 0,                 0,                 0
          0,           1,           4,      -3.375759699,       3.350550688,      -2.225183844,                 0,                 0,                 0
          0,           1,           5,       -3.81811149,        2.91930004,      -3.086202543,                 0,                 0,                 0
          0,           2,           0,      -1.516315881,       3.089143978,      0.6778658776,                 0,                 0,                 0
          0,           2,           1,      -2.538638431,       4.078707641,     -0.8236912777,                 0,                 0,                 0
          0,           2,           2,      -3.020096209,       3.658499826,      -1.711653027,                 0,                 0,                 0
          0,           2,           3,      -3.470283782,       3.225675766,      -2.588092197,                 0,                 0,                 0
          0,           2,           4,      -3.911928893,       2.790054922,      -3.461945592,                 0,                 0,                 0
          0,           2,           5,      -4.350754927,       2.354141283,      -4.334122492,                 0,                 0,                 0
          0,           3,           0,      -2.014022423,       2.625596282,     -0.3211527374,                 0,                 0,                 0
          0,           3,           1,      -3.030737748,       3.575395118,      -1.835327753,                 0,                 0,                 0
          0,           3,           2,      -3.521267567,       3.156462106,      -2.727097631,                 0,                 0,                 0
          0,           3,           3,      -3.969177115,       2.722583535,      -3.605151231,                 0,                 0,                 0
          0,           3,           4,      -4.409740403,       2.286500552,      -4.480099662,                 0,                 0,                 0
          0,           4,           0,      -2.507676272,       2.212967485,      -1.308054082,                 0,                 0,                 0
          0,           4,           1,      -3.529581551,       3.076866564,      -2.834618626,                 0,                 0,                 0
          0,           4,           2,      -4.020416987,       2.657642532,      -3.727671234,                 0,                 0,                 0
          0,           4,           3,      -4.468173346,       2.223522368,      -4.606375687,                 0,                 0,                 0
          0,           5,           0,      -2.991836688,       1.922305614,      -2.277014259,                 0,                 0,                 0
          0,           5,           1,      -4.022503775,       2.580303945,      -3.824713964,                 0,                 0,                 0
          0,           5,           2,      -4.515291146,         2.1616482,      -4.718726578,                 0,                 0,                 0
          0,           6,           0,      -3.488566948,       1.767355491,      -3.269264334,                 0,                 0,                 0
          0,           6,           1,      -4.546709447,         2.0478871,      -4.882172165,                 0,                 0,                 0
          0,           7,           0,      -4.018005331,       1.643456256,      -4.318629176,                 0,                 0,                 0
          0,           7,           1,      -5.160619494,       1.405487174,      -6.139788637,                 0,                 0,                 0
          0,           8,           0,      -4.540114191,       1.009803845,      -5.368828306,                 0,                 0,                 0
          0,           8,           1,      -5.650212518,      0.9274716435,      -7.108145932,                 0,                 0,                 0
          0,           9,           0,      -5.062981693,      0.5286219384,      -6.412646063,                 0,                 0,                 0
          0,           9,           1,      -6.184234671,      0.3898692289,      -8.179354942,                 0,                 0,                 0
          0,          10,           0,      -5.585830942,   -0.008073518263,      -7.459083158,                 0,                 0,                 0
          0,          10,           1,      -6.703150002,     -0.1279284935,      -9.216331875,                 0,                 0,                 0
          0,          11,           0,      -6.108919419,      -0.526132789,      -8.504875447,                 0,                 0,                 0
          0,          11,           1,      -7.227686443,     -0.6527410322,       -10.2654841,                 0,                 0,                 0
          0,          12,           0,       -6.63402271,        -1.0509045,      -9.554927677,                 0,                 0,                 0
          0,          12,           1,      -7.752808016,      -1.177876935,      -11.31573622,                 0,                 0,                 0
          0,          13,           0,      -7.159319696,      -1.576003452,      -10.60558184,                 0,                 0,                 0
          0,          13,           1,      -8.278149305,      -1.703292778,      -12.36654192,                 0,                 0,                 0
          0,          14,           0,      -7.680761173,      -2.101394124,      -11.64924009,                 0,                 0,                 0
          0,          14,           1,      -8.798545773,      -2.223688603,      -13.40766492,                 0,                 0,                 0
          0,          15,           0,      -8.197280035,      -2.621849879,      -12.68333249,                 0,                 0,                 0
          0,          15,           1,      -9.314148155,      -2.739366466,      -14.43935061,                 0,                 0,                 0
          0,          16,           0,      -8.707858049,      -3.137615754,      -13.70606376,                 0,                 0,                 0
          0,          16,           1,      -9.823514287,      -3.249002869,      -15.45903712,                 0,                 0,                 0
          0,          17,           0,      -9.210268829,      -3.647168482,       -14.7126049,                 0,                 0,                 0
          0,          17,           1,      -10.32423118,      -3.749758594,      -16.46114388,                 0,                 0,                 0
          0,          18,           0,      -9.725383327,      -4.147896157,      -15.73418328,                 0,                 0,                 0
          0,          18,           1,      -10.84319336,      -4.264107593,      -17.48964606,                 0,                 0,                 0
          0,          19,           0,      -10.28946218,      -4.663086118,      -16.85453807,                 0,                 0,                 0
          0,          19,           1,      -11.42006263,      -4.842129028,      -18.64263602,                 0,                 0,                 0
