"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000012573873946e+00, 2.673175458236646e-02, 1.331742370793605e+00, 2.039380552936823e+02, -5.240170564178403e+01, 2.960645192988083e+05, 1.117673623439787e+05, 2.915401524934289e+02, 4.612643644987318e-01, 2.617348662032200e-01
1, 9.796649007000360e-01, 3.025025510592397e-02, 1.329968119131991e+00, 2.454144803093863e+02, -4.020495109737210e+01, 2.975633715744378e+05, 1.097251700241960e+05, 2.865950097643038e+02, 5.501910198603330e-01, 2.105478918412555e-01
2, 9.592994202974670e-01, 3.365021005021845e-02, 1.294473809635821e+00, 2.506477285578917e+02, -4.120828939088491e+01, 2.902769204492971e+05, 1.061418670763576e+05, 2.848374223503698e+02, 5.791636103745061e-01, 1.207334143577311e-01
3, 9.389222648738209e-01, 3.693600731969564e-02, 1.279891869801032e+00, 2.571208349710346e+02, -4.075085938021241e+01, 2.875310445567344e+05, 1.044221862702481e+05, 2.834151707451425e+02, 6.018348346723614e-01, 7.763010010060181e-02
4, 9.185344060559506e-01, 4.011130093705947e-02, 1.265431250851792e+00, 2.622507226137211e+02, -4.002979324861602e+01, 2.847485422982743e+05, 1.027762799157668e+05, 2.821356269839710e+02, 6.217104690880032e-01, 3.637592166064436e-02
5, 8.981347298819421e-01, 4.317895436612504e-02, 1.252148763422537e+00, 2.661511120899266e+02, -3.929039347531629e+01, 2.821558229446097e+05, 1.013013786581451e+05, 2.810366883165947e+02, 6.384252828768888e-01, -5.920622696547294e-04
6, 8.777241119894431e-01, 4.614154080543607e-02, 1.240622195622872e+00, 2.698974482458397e+02, -3.841009880461201e+01, 2.799345650676452e+05, 9.999274612666460e+04, 2.799835663471872e+02, 6.541611055335641e-01, -3.339256748615201e-02
7, 8.573034260257058e-01, 4.900105540732161e-02, 1.229150823936441e+00, 2.729773623788018e+02, -3.751508082459861e+01, 2.776915878588603e+05, 9.872273679648660e+04, 2.790073228685318e+02, 6.685199974741303e-01, -6.522499305819231e-02
8, 8.368737850850677e-01, 5.175932992604532e-02, 1.218689521324235e+00, 2.759148709156296e+02, -3.658699132260863e+01, 2.756599475070197e+05, 9.755071240439606e+04, 2.780615636302092e+02, 6.822355387982606e-01, -9.460145380010566e-02
9, 8.164336999832766e-01, 5.441738109897999e-02, 1.208057455252739e+00, 2.780979919395612e+02, -3.553896391581439e+01, 2.735482693645349e+05, 9.640643145665077e+04, 2.772183727028562e+02, 6.943119356577675e-01, -1.232825329363516e-01
