"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 1.000013654542334e+00, 2.668883125555621e-02, -7.686842017408197e-03, 1.444108588243735e-02, 1.200762743749321e-03, -6.211987851099538e-03, 2.727829349660105e-02, -1.318184335269116e-01, 1.185647631608881e-01
1, 9.796663056664809e-01, 3.019986878209135e-02, -9.480682430790815e-04, 3.532037717800614e-03, 2.391849726501145e-03, -4.066503871441274e-03, 5.874155529684155e-03, 5.953130330081682e-02, -5.967515004164320e-02
2, 9.593010223379469e-01, 3.359609112822277e-02, -3.080744933451764e-03, 6.110257718903563e-03, 9.624786120546657e-04, -3.955917512711071e-03, -3.586705701981215e-03, -2.082109526668306e-02, 2.112708089120948e-02
3, 9.389239583105332e-01, 3.688106408324578e-02, -4.446255818475109e-03, 7.644485910286943e-03, 4.266952554592221e-04, -3.907886658103779e-03, -3.149344897026842e-03, -2.025349524177940e-02, 2.049679998782936e-02
4, 9.185361083843150e-01, 4.005771882151515e-02, -2.131990546952455e-03, 4.651273208689929e-03, 3.409441186735585e-04, -4.025837178777719e-03, -1.525763842944326e-03, -9.169356350451989e-03, 9.294657926829496e-03
5, 8.981363801609330e-01, 4.312830383085593e-02, -3.082570681433411e-03, 5.493239510311951e-03, 6.491833784319609e-05, -3.650549669775473e-03, -1.305998627353031e-03, -1.212719277195469e-02, 1.218775596062181e-02
6, 8.777256677941513e-01, 4.609487579804694e-02, -1.633134800348121e-03, 3.711161603154546e-03, -2.866208013178862e-06, -3.728755731083841e-03, -1.060804140975335e-03, -8.116054359078870e-03, 8.184509802195317e-03
7, 8.573048601604387e-01, 4.895900909622748e-02, -2.536589066511712e-03, 4.509269036824561e-03, -4.921374040318439e-04, -3.292711122757462e-03, -5.997853586983556e-04, -7.984872655879292e-03, 7.992023001677621e-03
8, 8.368750804234537e-01, 5.172219740442550e-02, -2.900632463810168e-03, 4.988513649745134e-03, -4.862030004276352e-04, -3.366345939005515e-03, -2.032982613999150e-03, -1.861868013725144e-02, 1.872428677779200e-02
9, 8.164348426277465e-01, 5.438520283375402e-02, -2.371080002672419e-03, 4.324585638111989e-03, -5.071316493842664e-04, -3.245805131618119e-03, 9.754997979415092e-06, -3.522969252680675e-03, 3.493294652138348e-03
10, 7.959862955101412e-01, 5.694920623744645e-02, -2.600067239944682e-03, 4.417339062589220e-03, -8.239248988651031e-04, -3.020182319623787e-03, -4.296669608907736e-04, -8.356566341274400e-03, 8.346541614293178e-03
11, 7.755288459939732e-01, 5.941479064667929e-02, -2.323022177207346e-03, 4.066641354411133e-03, -8.300755257405070e-04, -3.041995961521320e-03, -6.922192187603345e-04, -1.107744634310419e-02, 1.108218996053108e-02
12, 7.550634974287457e-01, 6.178151925758013e-02, -2.312488444077968e-03, 3.980316425292930e-03, -9.374003756885056e-04, -2.884912685243487e-03, -7.217776168039376e-05, -6.195441624809906e-03, 6.164235302523172e-03
13, 7.345902385396621e-01, 6.404953987304930e-02, -2.877036030845785e-03, 4.537848306986452e-03, -1.176983606483962e-03, -2.770941541068184e-03, -3.894760523441331e-04, -1.034808328635548e-02, 1.032983534884811e-02
14, 7.141088805685162e-01, 6.621837940493787e-02, -2.302007964053477e-03, 3.882326790783948e-03, -1.253199697077653e-03, -2.746184420551931e-03, -1.042823846319606e-05, -6.816012524894322e-03, 6.780917545868742e-03
15, 6.936214718101156e-01, 6.828692321963077e-02, -2.092154983388408e-03, 3.545118985013685e-03, -1.292640912278432e-03, -2.533282181909103e-03, 4.437407423441746e-04, -2.572503697127312e-03, 2.516633809552873e-03
16, 6.731258875333295e-01, 7.025415881194967e-02, -2.030295519749714e-03, 3.433472034822158e-03, -1.353620000557187e-03, -2.436805335028001e-03, 1.733075330349358e-04, -6.163244231224443e-03, 6.120381126217412e-03
17, 6.526251840096665e-01, 7.211809597486958e-02, -1.606738271864174e-03, 2.941734736462259e-03, -1.355662174171045e-03, -2.347652490020106e-03, 3.362511576159308e-04, -4.344612508079299e-03, 4.298163325432235e-03
