"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000013654542188e+00, 2.668883126624635e-02, 1.033481552206186e+00, 6.359438447683655e-01, -1.631729970179510e-01, 3.710379107443647e+00, 1.400734575738198e+00, 1.067342204647074e+00, 4.611800566715678e-01, 2.617866117938572e-01
1, 9.796663056662945e-01, 3.019986879255187e-02, 1.032189201680726e+00, 7.650403821611547e-01, -1.251254046062248e-01, 3.729402070742168e+00, 1.375320324513910e+00, 1.049288980926304e+00, 5.498840107657975e-01, 2.109581093452806e-01
2, 9.593010223377163e-01, 3.359609113844353e-02, 1.004704115507850e+00, 7.812707813151083e-01, -1.283610997660407e-01, 3.638270852866599e+00, 1.330523223619176e+00, 1.042881204951045e+00, 5.787501956604212e-01, 1.213639075558115e-01
3, 9.389239583102553e-01, 3.688106409321042e-02, 9.934119932716715e-01, 8.014342589299837e-01, -1.270295844094268e-01, 3.603934727103505e+00, 1.309013907438459e+00, 1.037684726064987e+00, 6.013884382723658e-01, 7.834527519437939e-02
4, 9.185361083839899e-01, 4.005771883121094e-02, 9.821941085102079e-01, 8.174378059037256e-01, -1.248582752540725e-01, 3.569077400907577e+00, 1.288392870967993e+00, 1.033002923858151e+00, 6.212635234984990e-01, 3.710320225344610e-02
5, 8.981363801605617e-01, 4.312830384027450e-02, 9.718723231712563e-01, 8.296232362921253e-01, -1.226127004419225e-01, 3.536540200381612e+00, 1.269883367483030e+00, 1.028975852126069e+00, 6.380025548507838e-01, 8.419528352021644e-05
6, 8.777256677937356e-01, 4.609487580718234e-02, 9.629077933311287e-01, 8.413430997233260e-01, -1.199106297361576e-01, 3.508643435154156e+00, 1.253445758083929e+00, 1.025112208383228e+00, 6.537785334356833e-01, -3.279102351468088e-02
7, 8.573048601599804e-01, 4.895900910507577e-02, 9.539790116024742e-01, 8.509863334672200e-01, -1.171476547091403e-01, 3.480450939647913e+00, 1.237480680419886e+00, 1.021527752684714e+00, 6.681846583881677e-01, -6.472117884276729e-02
8, 8.368750804229548e-01, 5.172219741298421e-02, 9.458318976987966e-01, 8.601872694241306e-01, -1.142698979658472e-01, 3.454900302738606e+00, 1.222739492167096e+00, 1.018053369128633e+00, 6.819518034079537e-01, -9.420355534834712e-02
9, 8.164348426272086e-01, 5.438520284202158e-02, 9.375510973327120e-01, 8.670280589349145e-01, -1.110065368851477e-01, 3.428341019148195e+00, 1.208345801945009e+00, 1.014955154699166e+00, 6.940754005458499e-01, -1.229909357925210e-01
10, 7.959862955095666e-01, 5.694920624542207e-02, 9.306968645391178e-01, 8.756448464342772e-01, -1.075658196827944e-01, 3.407175154116355e+00, 1.195613819081167e+00, 1.011656876047040e+00, 7.068327918027791e-01, -1.484549015202048e-01
11, 7.755288459933642e-01, 5.941479065436282e-02, 9.233322665427699e-01, 8.814739964652384e-01, -1.041247483278237e-01, 3.383584484835304e+00, 1.182782686373756e+00, 1.008782427811091e+00, 7.178324064896500e-01, -1.741171669350283e-01
12, 7.550634974281044e-01, 6.178151926497193e-02, 9.162755093773928e-01, 8.867411789976066e-01, -1.004361940699080e-01, 3.360929573424672e+00, 1.170538230313955e+00, 1.006028041717060e+00, 7.282743998982493e-01, -1.986060790546293e-01
13, 7.345902385389909e-01, 6.404953988015012e-02, 9.098658657273470e-01, 8.922710395720792e-01, -9.676896134719656e-02, 3.340593142175286e+00, 1.159175588709758e+00, 1.003280604860588e+00, 7.385988834127254e-01, -2.213313622630233e-01
