"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, 1.000080000000000e+00, 1.257210000000000e-03, -6.634545781187935e-05, 2.543162126624635e-02, -1.056698719433800e+04, -1.075948581095102e+04, 1.359528296224644e+03, 2.725862151749394e+03
1, 9.798550000000000e-01, 5.416750000000000e-03, -1.886943337054723e-04, 2.478311879255187e-02, -1.327820371888674e+04, -8.175790770306017e+03, 1.602237543934398e+03, 6.025220202334182e+03
2, 9.596080000000000e-01, 9.461560000000001e-03, -3.069776622837148e-04, 2.413453113844353e-02, -1.671963455784725e+04, -4.475045145791581e+03, 5.143110325110312e+03, 1.599175741233124e+04
3, 9.393450000000000e-01, 1.339430000000000e-02, -4.210416897446385e-04, 2.348676409321042e-02, -2.221018527511394e+04, -2.367978660442356e+03, 8.153940089512619e+03, 2.568384938580588e+04
4, 9.190670000000000e-01, 1.721730000000000e-02, -5.308916160100776e-04, 2.284041883121093e-02, -3.592923465083570e+04, -2.108713893313937e+03, 1.135457069615439e+04, 4.073736279002155e+04
5, 8.987730000000000e-01, 2.093270000000000e-02, -6.366198394383306e-04, 2.219560384027450e-02, -4.373184399481723e+04, -1.392338680910056e+03, 1.331075776784780e+04, 5.001338620453185e+04
6, 8.784640000000000e-01, 2.454230000000000e-02, -7.383322062644529e-04, 2.155257580718235e-02, -5.095159267024964e+04, -1.512355320667532e+03, 1.456464696521886e+04, 5.738252307623070e+04
7, 8.581410000000000e-01, 2.804760000000000e-02, -8.361398400196265e-04, 2.091140910507576e-02, -5.906765186796290e+04, -2.092084304126311e+02, 1.547457061821588e+04, 6.649936621625732e+04
8, 8.378050000000000e-01, 3.144970000000000e-02, -9.299195770452337e-04, 2.027249741298421e-02, -8.728593284848779e+04, 2.800358495416333e+03, 1.665904491615135e+04, 9.605016917305335e+04
9, 8.174540000000000e-01, 3.474970000000000e-02, -1.019157372791484e-03, 1.963550284202158e-02, -9.984396633717242e+04, 2.549147303309186e+03, 2.422261914183214e+04, 1.132752878316961e+05
10, 7.970910000000000e-01, 3.794800000000000e-02, -1.104704490433411e-03, 1.900120624542207e-02, -1.077080762276536e+05, 3.328917661913172e+03, 2.160516022881522e+04, 1.191484192345111e+05
11, 7.767150000000000e-01, 4.104500000000000e-02, -1.186154006635850e-03, 1.836979065436282e-02, -1.301285405532139e+05, 3.833418444025933e+03, 2.407181225737100e+04, 1.423503250428135e+05
12, 7.563270000000000e-01, 4.404060000000000e-02, -1.263502571895541e-03, 1.774091926497193e-02, -1.474187473163288e+05, 5.396336006900476e+03, 2.469107643859873e+04, 1.605959112613780e+05
13, 7.359270000000000e-01, 4.693450000000000e-02, -1.336761461009163e-03, 1.711503988015013e-02, -1.619689800377577e+05, 5.541839754691035e+03, 2.628920718572475e+04, 1.755686885676204e+05
14, 7.155150000000000e-01, 4.972610000000000e-02, -1.406119432182588e-03, 1.649227941174912e-02, -1.748694053908035e+05, 5.846899387720414e+03, 2.743112285318620e+04, 1.888603950455222e+05
15, 6.950930000000000e-01, 5.241420000000000e-02, -1.471528190608344e-03, 1.587272322615412e-02, -1.864388150756333e+05, 7.614828433456712e+03, 2.769216210846958e+04, 2.018024775073885e+05
16, 6.746590000000000e-01, 5.499760000000000e-02, -1.533112467417478e-03, 1.525655881818713e-02, -2.210935579925716e+05, 1.275902079653857e+04, 2.642334598341476e+04, 2.397494555951148e+05
17, 6.542150000000000e-01, 5.747460000000000e-02, -1.589815991100290e-03, 1.464349598082322e-02, -2.369822149792007e+05, 1.099480716271128e+04, 3.433157206293052e+04, 2.573076580119975e+05
18, 6.337610000000000e-01, 5.984290000000000e-02, -1.642942457528932e-03, 1.403423552306253e-02, -2.427470006132432e+05, 1.073250984640474e+04, 2.984092510961100e+04, 2.604108013667106e+05
19, 6.132970000000000e-01, 6.210030000000000e-02, -1.691852802871035e-03, 1.342885379422512e-02, -2.644505871622943e+05, 9.931019603398512e+03, 3.087343141649966e+04, 2.812435620614994e+05
20, 5.928230000000000e-01, 6.424370000000000e-02, -1.736524819749626e-03, 1.282675435916929e-02, -2.738445299987104e+05, 1.045793766439317e+04, 3.297562011211940e+04, 2.918517760892424e+05
21, 5.723410000000000e-01, 6.627000000000000e-02, -1.777072890404288e-03, 1.222896928003817e-02, -3.047588933609209e+05, 1.442387767065730e+04, 2.763921951976195e+04, 3.239341710070787e+05
22, 5.518500000000000e-01, 6.817540000000000e-02, -1.812637682593670e-03, 1.163530018239159e-02, -3.292125961505686e+05, 2.177774203580511e+04, 2.808533704719262e+04, 3.554565544878904e+05
23, 5.313510000000000e-01, 6.995570000000000e-02, -1.843800643818896e-03, 1.104622396056720e-02, -3.453936987931778e+05, 3.548562115598776e+04, 2.986078571678001e+04, 3.855330367937781e+05
24, 5.108440000000000e-01, 7.160630000000000e-02, -1.870374143237876e-03, 1.046103205194462e-02, -3.686981488939810e+05, 4.413851461897532e+04, 3.445410010702300e+04, 4.185480268705719e+05
25, 4.903300000000000e-01, 7.312210000000000e-02, -1.891927115544466e-03, 9.879688391540293e-03, -3.959686519947966e+05, 4.482647790420851e+04, 3.986545245421995e+04, 4.479479475789564e+05
26, 4.698100000000000e-01, 7.449720000000000e-02, -1.908374233322593e-03, 9.302728816222395e-03, -4.233579499074693e+05, 4.836575074678367e+04, 4.119990971079742e+04, 4.788663487860206e+05
27, 4.492840000000000e-01, 7.572540000000000e-02, -1.919575008281524e-03, 8.730999263754282e-03, -4.942771995186366e+05, 5.341106117424451e+04, 3.503093290334818e+04, 5.521513342744985e+05
