"Time_Iter","Outer_Iter","Inner_Iter",  "rms[A_Rho]" , "rms[A_RhoU]" , "rms[A_RhoV]" , "rms[A_RhoW]" ,   "rms[A_E]"  ,   "avg[bgs]"  , "rms[Ux_adj][1]" , "rms[Uy_adj][1]" , "rms[Uz_adj][1]" ,   "avg[bgs][1]"  
          0,           0,           0,      -3.789758804,      -6.447914076,       -6.94644258,                 0,      -9.091127095,                 0,      -2.965348914,      -2.359683553,                 0,                 0
          0,           1,           0,      -4.513181106,      -6.785307151,      -7.430358683,                 0,      -9.883945726,      -3.441832072,      -3.436206129,      -2.553437587,                 0,    -0.06482414715
          0,           2,           0,      -5.228477361,      -7.706709289,      -8.303719574,                 0,      -10.46987339,      -3.722475588,      -4.365809023,      -3.460022874,                 0,     -0.2736203355
          0,           3,           0,      -5.911859768,      -8.562926383,      -9.199843947,                 0,      -11.13462655,      -4.458749108,      -5.239259697,      -4.522516193,                 0,     -0.8648955102
          0,           4,           0,      -6.984990559,         -9.353424,      -9.953359713,                 0,      -12.31214575,      -5.172169859,      -6.056747343,      -5.064336217,                 0,      -1.538879635
          0,           5,           0,      -7.494357395,       -10.1676626,      -10.84309184,                 0,      -12.72444218,      -5.902229611,      -7.202465493,      -6.641027869,                 0,       -1.96403056
          0,           6,           0,      -8.550921303,      -11.05703157,      -11.66829491,                 0,      -13.82519804,      -6.675629959,       -7.62705406,      -6.838427471,                 0,      -2.871594825
          0,           7,           0,      -9.344736089,      -12.01561475,      -12.62383287,                 0,      -14.58167523,      -7.348181866,      -7.357547414,      -7.304115471,                 0,      -3.171199338
          0,           8,           0,      -10.54993327,      -13.19692219,      -13.56451928,                 0,      -15.80615502,      -8.163324451,      -6.987054411,      -6.877020804,                 0,      -4.155859418
          0,           9,           0,      -11.32246228,      -13.81751701,      -14.34269329,                 0,      -16.55348885,      -8.734795177,      -7.759853973,      -7.575658384,                 0,      -4.442578851
          0,          10,           0,      -11.78217069,       -14.3704658,       -15.0200302,                 0,      -17.00351533,      -9.377897093,      -7.419857828,      -7.259843594,                 0,      -4.588409421
          0,          11,           0,      -12.48142796,      -15.03713309,      -15.71208044,                 0,      -17.70795461,       -9.90828412,      -7.272780819,      -7.213148932,                 0,      -4.759894925
          0,          12,           0,      -13.25734039,      -15.82916372,      -16.49490831,                 0,      -18.47977626,      -10.50946975,      -7.278117489,      -7.233127454,                 0,      -4.764889095
          0,          13,           0,      -13.64851036,      -16.25057817,      -16.87894616,                 0,      -18.87808524,      -11.13967484,      -7.707838295,      -7.528600718,                 0,      -4.860843752
          0,          14,           0,      -14.49458039,      -16.97613714,      -17.63273964,                 0,      -19.74821772,      -11.50849514,      -7.511125155,      -7.501076793,                 0,      -4.847423964
          0,          15,           0,      -13.79292156,      -16.38112327,      -17.01397744,                 0,      -19.03270044,      -12.06758431,      -7.418458713,      -7.235386532,                 0,      -5.091591343
          0,          16,           0,      -14.11020063,      -16.70046009,       -17.3496842,                 0,      -19.35600272,      -11.52964661,      -6.598393355,      -6.557705234,                 0,      -5.212086791
          0,          17,           0,      -13.58893394,      -16.26917456,      -16.87736499,                 0,      -18.81857649,      -12.00160551,       -7.84498274,      -7.626169018,                 0,      -4.808190797
          0,          18,           0,      -13.50685942,      -16.17005301,      -16.79831986,                 0,      -18.73312953,      -11.43121898,      -7.407874993,      -7.343645177,                 0,       -4.72568444
          0,          19,           0,      -13.74034848,      -16.33816283,      -17.00986738,                 0,      -18.98237269,        -11.341768,      -7.391679176,      -7.185583085,                 0,      -4.839064167
