"Time_Iter","Outer_Iter","Inner_Iter",     "rms[U]"     ,     "rms[R]"     ,     "rms[E]"     ,   "rms[DispX]"   ,   "rms[DispY]"   ,   "rms[DispZ]"   
          0,           0,           0,     -0.6146850216,       3.731906206,        2.44524021,                 0,                 0,                 0
          0,           0,           1,      -1.802247192,       5.189669534,       1.592040807,                 0,                 0,                 0
          0,           0,           2,      -1.955137388,       4.756945872,       0.769534718,                 0,                 0,                 0
          0,           0,           3,      -2.356535085,       4.350916776,    -0.05719417368,                 0,                 0,                 0
          0,           0,           4,      -2.845753147,       3.941795873,      -0.903011183,                 0,                 0,                 0
          0,           0,           5,      -3.319009361,       3.521867876,      -1.753423173,                 0,                 0,                 0
          0,           1,           0,      -1.046010824,       3.495760859,       1.608850795,                 0,                 0,                 0
          0,           1,           1,      -2.059668574,       4.582745543,      0.2687384542,                 0,                 0,                 0
          0,           1,           2,      -2.493979578,       4.165451457,     -0.5854696248,                 0,                 0,                 0
          0,           1,           3,      -2.958620389,       3.743839469,      -1.445221723,                 0,                 0,                 0
          0,           1,           4,      -3.408964219,       3.314730477,        -2.3070666,                 0,                 0,                 0
          0,           1,           5,      -3.850756308,       2.882922879,      -3.169035548,                 0,                 0,                 0
          0,           2,           0,       -1.58533486,       3.061791956,      0.5533154849,                 0,                 0,                 0
          0,           2,           1,      -2.606811041,       4.014212968,     -0.9558662397,                 0,                 0,                 0
          0,           2,           2,      -3.091701212,       3.594173303,      -1.846336946,                 0,                 0,                 0
          0,           2,           3,      -3.541715191,       3.160752366,      -2.724159778,                 0,                 0,                 0
          0,           2,           4,       -3.98340819,       2.724703936,      -3.599111135,                 0,                 0,                 0
          0,           2,           5,      -4.422410778,       2.288447237,      -4.472265129,                 0,                 0,                 0
          0,           3,           0,       -2.15939262,       2.525371598,     -0.5938225867,                 0,                 0,                 0
          0,           3,           1,       -3.17661153,        3.43759343,      -2.112592289,                 0,                 0,                 0
          0,           3,           2,      -3.668640337,       3.018567575,      -3.006174595,                 0,                 0,                 0
          0,           3,           3,      -4.117141655,       2.584351922,      -3.885389152,                 0,                 0,                 0
          0,           3,           4,      -4.558161942,       2.147912087,      -4.761332779,                 0,                 0,                 0
          0,           4,           0,      -2.766368809,       2.033196421,      -1.800031601,                 0,                 0,                 0
          0,           4,           1,      -3.789604524,       2.827646695,      -3.333433044,                 0,                 0,                 0
          0,           4,           2,      -4.282628031,       2.408487837,      -4.228732567,                 0,                 0,                 0
          0,           5,           0,       -3.41269021,       2.004564777,      -3.086278841,                 0,                 0,                 0
          0,           5,           1,      -4.490048959,       2.111055373,      -4.749931249,                 0,                 0,                 0
          0,           6,           0,      -4.116599167,       1.705262604,       -4.47281693,                 0,                 0,                 0
          0,           6,           1,      -5.322199079,       1.231346294,      -6.459591931,                 0,                 0,                 0
          0,           7,           0,       -4.81638004,      0.8381354893,      -5.884903162,                 0,                 0,                 0
          0,           7,           1,      -5.950776773,      0.6320279521,      -7.690622433,                 0,                 0,                 0
          0,           8,           0,      -5.519863539,      0.2322690588,      -7.285293458,                 0,                 0,                 0
          0,           8,           1,      -6.691131122,     -0.1225593935,      -9.183930468,                 0,                 0,                 0
          0,           9,           0,      -6.222313847,     -0.5193599544,      -8.693623104,                 0,                 0,                 0
          0,           9,           1,      -7.373394317,     -0.7969973549,      -10.54171021,                 0,                 0,                 0
          0,          10,           0,      -6.929530744,      -1.195249851,      -10.10485525,                 0,                 0,                 0
          0,          10,           1,      -8.093102998,      -1.520732104,      -11.98385902,                 0,                 0,                 0
          0,          11,           0,      -7.636759222,      -1.918221871,      -11.52115332,                 0,                 0,                 0
          0,          11,           1,      -8.793520823,      -2.219624677,      -13.38433985,                 0,                 0,                 0
          0,          12,           0,      -8.335531056,      -2.617378718,       -12.9213795,                 0,                 0,                 0
          0,          12,           1,      -9.492715547,      -2.920320023,       -14.7854404,                 0,                 0,                 0
          0,          13,           0,      -9.018592839,      -3.317992226,      -14.29399757,                 0,                 0,                 0
          0,          13,           1,       -10.1697784,      -3.597965754,      -16.14308835,                 0,                 0,                 0
          0,          14,           0,       -9.70621245,      -3.995404274,      -15.65491421,                 0,                 0,                 0
          0,          14,           1,      -10.86213485,      -4.279084286,      -17.50661955,                 0,                 0,                 0
          0,          15,           0,      -10.51971333,      -4.677720178,      -17.23388535,                 0,                 0,                 0
          0,          15,           1,      -11.73206536,      -5.140049868,      -19.21312606,                 0,                 0,                 0
          0,          16,           0,      -11.49849082,      -5.511474888,      -19.11419233,                 0,                 0,                 0
          0,          16,           1,       -12.7586926,      -5.871984234,      -20.93204708,                 0,                 0,                 0
          0,          17,           0,      -13.17822138,      -5.964493921,      -21.13838349,                 0,                 0,                 0
          0,          17,           1,       -14.5373958,      -5.908020015,      -21.21494748,                 0,                 0,                 0
