"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.03678939     , 0.001           
1               , -0.025389500000000002, 0.001           
2               , -0.0006393600000000003, 0.001           
3               , 0.011547579999999998, 0.001           
4               , 0.01131733      , 0.001           
5               , 0.00459189      , 0.001           
6               , -0.00274045     , 0.001           
7               , -0.006977314    , 0.001           
8               , -0.007791686    , 0.001           
9               , -0.007223491    , 0.001           
10              , -0.008101502    , 0.001           
11              , -0.0140069142   , 0.001           
12              , -0.0204757852   , 0.001           
13              , -0.038206173    , 0.001           
14              , -0.017018202    , 0.001           
15              , 0.03085061      , 0.001           
16              , 0.06355403      , 0.001           
17              , 0.06006454      , 0.001           
18              , 0.028282250999999998, 0.001           
19              , -0.006977715    , 0.001           
20              , -0.026741124    , 0.001           
21              , -0.0288563623   , 0.001           
22              , -0.0230289903   , 0.001           
23              , -0.020466493    , 0.001           
24              , -0.02991142112  , 0.001           
25              , -0.0415379597   , 0.001           
26              , -0.0005467099999999989, 0.001           
27              , 0.01625489      , 0.001           
28              , 0.0554036       , 0.001           
29              , 0.08882674      , 0.001           
30              , 0.08319488      , 0.001           
31              , 0.04274588      , 0.001           
32              , -0.00211512     , 0.001           
33              , -0.027219339999999998, 0.001           
34              , -0.029666708    , 0.001           
35              , -0.021336233    , 0.001           
36              , -0.014814855    , 0.001           
37              , -0.016713286    , 0.001           
38              , -0.021244664820000002, 0.001           
