"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 1.000080000000000e+00, 1.257210000000000e-03, 1.176778358484011e-02, -1.451699647252634e-01, -1.340323918066547e-01
1, 9.798550000000000e-01, 5.416750000000000e-03, 4.434689877283713e-03, 5.561130053981357e-02, 5.538377102110350e-02
2, 9.596080000000000e-01, 9.461560000000001e-03, -3.765838947749134e-03, -2.220417067575174e-02, -2.251338044665899e-02
3, 9.393450000000000e-01, 1.339430000000000e-02, -3.282612065435388e-03, -2.056006956621918e-02, -2.081066068722289e-02
4, 9.190670000000000e-01, 1.721730000000000e-02, -1.944763531368336e-03, -9.425095558536517e-03, -9.621762786612368e-03
5, 8.987730000000000e-01, 2.093270000000000e-02, -1.625020521103070e-03, -1.255390286952983e-02, -1.264297287892352e-02
6, 8.784640000000000e-01, 2.454230000000000e-02, -1.213477103531143e-03, -8.326759201724791e-03, -8.411266398256687e-03
7, 8.581410000000000e-01, 2.804760000000000e-02, -7.913993120519852e-04, -8.274661845424120e-03, -8.290325803256155e-03
8, 8.378050000000000e-01, 3.144970000000000e-02, -2.143099553199455e-03, -1.871088741844937e-02, -1.881041511298021e-02
9, 8.174540000000000e-01, 3.474970000000000e-02, -2.480292434715749e-04, -3.676736822734661e-03, -3.669873591394266e-03
10, 7.970910000000000e-01, 3.794800000000000e-02, -5.778958835604545e-04, -8.479641221922999e-03, -8.468430673718365e-03
11, 7.767150000000000e-01, 4.104500000000000e-02, -8.903831327532488e-04, -1.120498378396933e-02, -1.121350665652033e-02
12, 7.563270000000000e-01, 4.404060000000000e-02, -1.970154683967242e-04, -6.316911368603750e-03, -6.280227493936418e-03
13, 7.359270000000000e-01, 4.693450000000000e-02, -5.250671463980890e-04, -1.039053077149508e-02, -1.036359696232695e-02
14, 7.155150000000000e-01, 4.972610000000000e-02, -2.122306341053968e-04, -6.874172905662919e-03, -6.841328036778126e-03
15, 6.950930000000000e-01, 5.241420000000000e-02, 2.906461453719775e-04, -2.699235827512850e-03, -2.639851665504970e-03
16, 6.746590000000000e-01, 5.499760000000000e-02, 5.619306294081735e-05, -6.272671961028198e-03, -6.218250581735561e-03
17, 6.542150000000000e-01, 5.747460000000000e-02, 2.144052387610988e-04, -4.485043126125393e-03, -4.428670272171351e-03
18, 6.337610000000000e-01, 5.984290000000000e-02, 2.654730432972302e-05, -8.614596643173782e-03, -8.557089903190970e-03
19, 6.132970000000000e-01, 6.210030000000000e-02, 1.157096008929717e-05, -7.330788166919064e-03, -7.287557502306228e-03
20, 5.928230000000000e-01, 6.424370000000000e-02, -4.225157652383388e-04, -1.440118704285428e-02, -1.436992202637721e-02
21, 5.723410000000000e-01, 6.627000000000000e-02, -4.663787229842629e-03, -8.137966537619139e-02, -8.145304412130307e-02
22, 5.518500000000000e-01, 6.817540000000000e-02, -1.475169958168909e-02, -2.689051879717908e-01, -2.691457756034482e-01
23, 5.313510000000000e-01, 6.995570000000000e-02, -1.568537234549500e-02, -3.124183885893360e-01, -3.126383716655596e-01
24, 5.108440000000000e-01, 7.160630000000000e-02, -4.755065270618447e-03, -1.349760034049158e-01, -1.349416343426554e-01
25, 4.903300000000000e-01, 7.312210000000000e-02, 1.298970744097001e-03, -2.088647384853951e-02, -2.074354419448075e-02
26, 4.698100000000000e-01, 7.449720000000000e-02, 2.722291186141289e-03, 1.429036907732201e-02, 1.443402556103998e-02
27, 4.492840000000000e-01, 7.572540000000000e-02, 2.781808108190331e-03, 2.379652313292820e-02, 2.391494944931923e-02
28, 4.287520000000000e-01, 7.679970000000000e-02, 2.896387790557989e-03, 4.290105535701415e-02, 4.299089783980228e-02
29, 4.082160000000000e-01, 7.771220000000000e-02, 2.661877583635012e-03, 4.060622227561161e-02, 4.068009476042270e-02
