"arc_length","Displacement_Magnitude","Von_Mises_Stress"
0,0,2.39875e+06
0.00181107,4.95751e-07,2.35114e+06
0.00362215,9.91503e-07,2.30353e+06
0.00543323,1.48725e-06,2.25591e+06
0.00724431,2.07544e-06,2.2131e+06
0.00905538,3.20538e-06,2.19714e+06
0.0108665,4.35446e-06,2.18118e+06
0.0126775,5.51067e-06,2.16521e+06
0.0144886,6.67038e-06,2.14925e+06
0.0162997,7.83195e-06,2.13329e+06
0.0181108,8.99475e-06,2.11732e+06
0.0199218,9.98856e-06,2.10789e+06
0.0217329,1.16729e-05,2.07014e+06
0.023544,1.39175e-05,2.0372e+06
0.0253551,1.61647e-05,2.00427e+06
0.0271662,1.81092e-05,1.98018e+06
0.0289772,1.96664e-05,1.96847e+06
0.0307883,2.12671e-05,1.95675e+06
0.0325994,2.29022e-05,1.94503e+06
0.0344105,2.45648e-05,1.93331e+06
0.0362215,2.62496e-05,1.92159e+06
0.0380326,2.79527e-05,1.90988e+06
0.0398437,2.9671e-05,1.89816e+06
0.0416548,3.14227e-05,1.88897e+06
0.0434658,3.40616e-05,1.98479e+06
0.0452769,3.67883e-05,1.92332e+06
0.047088,3.96201e-05,1.85082e+06
0.0488991,4.28105e-05,1.90046e+06
0.0507102,4.60014e-05,1.95009e+06
0.0525212,4.91928e-05,1.99972e+06
0.0543323,5.23846e-05,2.04935e+06
0.0561434,5.53877e-05,2.06715e+06
0.0579545,5.80963e-05,2.03365e+06
0.0597655,6.08183e-05,2.00016e+06
0.0615766,6.35519e-05,1.96665e+06
0.0633877,6.6889e-05,2.02217e+06
0.0651988,7.03313e-05,2.09324e+06
0.0670099,7.38549e-05,2.15906e+06
0.0688209,7.76487e-05,2.2079e+06
0.070632,8.1455e-05,2.25674e+06
0.0724431,8.52721e-05,2.30558e+06
0.0742542,8.90987e-05,2.35442e+06
0.0760652,9.29336e-05,2.40326e+06
0.0778763,9.67742e-05,2.45437e+06
0.0796874,0.000100619,2.54673e+06
0.0814985,0.000104918,2.6026e+06
0.0833095,0.000109218,2.65846e+06
0.0851206,0.000113869,2.61687e+06
0.0869317,0.000118932,2.59053e+06
0.0887428,0.000124005,2.57549e+06
0.0905539,0.00012909,2.58853e+06
0.0923649,0.000134138,2.56769e+06
0.094176,0.000139195,2.54686e+06
0.0959871,0.000144305,2.53921e+06
0.0977982,0.000149431,2.53476e+06
0.0996092,0.000154563,2.5303e+06
0.10142,0.0001597,2.52585e+06
0.103231,0.000165093,2.52423e+06
0.105042,0.000170632,2.52424e+06
0.106854,0.000176171,2.52425e+06
0.108665,0.000181956,2.59605e+06
0.110476,0.000187873,2.70477e+06
0.112287,0.000194067,2.74713e+06
0.114098,0.000200438,2.74718e+06
0.115909,0.000206811,2.74724e+06
0.11772,0.000213186,2.74729e+06
0.119531,0.000219564,2.74734e+06
0.121342,0.000225944,2.74739e+06
0.123153,0.000232326,2.74744e+06
0.124964,0.00023871,2.74749e+06
0.126775,0.000245096,2.74754e+06
