"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.41355e+06,80778.3,23797.4,3.13352e+06,796700,1.22517e+06,2.49089e+06
0.00181107,9.28417e-07,1.39584e+06,72620.5,38128.3,3.08922e+06,755297,1.21198e+06,2.4381e+06
0.00362215,1.85683e-06,1.37813e+06,64462.5,52459.5,3.04492e+06,713893,1.1988e+06,2.38531e+06
0.00543323,2.78525e-06,1.36042e+06,56304.7,66790.4,3.00062e+06,672489,1.18562e+06,2.33252e+06
0.00724431,3.8482e-06,1.34207e+06,54088.9,78938.6,2.97094e+06,630291,1.1634e+06,2.30464e+06
0.00905538,5.29291e-06,1.32263e+06,62060.7,87344,2.96632e+06,586733,1.12567e+06,2.31947e+06
0.0108665,6.84635e-06,1.30319e+06,70032.5,95749.5,2.96169e+06,543175,1.08794e+06,2.33431e+06
0.0126775,8.4488e-06,1.28374e+06,78004.8,104155,2.95707e+06,499616,1.05021e+06,2.34915e+06
0.0144886,1.00768e-05,1.2643e+06,85976.6,112560,2.95244e+06,456058,1.01248e+06,2.36398e+06
0.0162997,1.17199e-05,1.24486e+06,93948.9,120966,2.94782e+06,412499,974747,2.37882e+06
0.0181108,1.33723e-05,1.22542e+06,101921,129371,2.9432e+06,368941,937018,2.39366e+06
0.0199218,1.50311e-05,1.20597e+06,109893,137777,2.93857e+06,325383,899288,2.40849e+06
0.0217329,1.66944e-05,1.18653e+06,117865,146182,2.93395e+06,281824,861558,2.42333e+06
0.023544,1.83609e-05,1.16709e+06,125837,154587,2.92933e+06,238266,823828,2.43817e+06
0.0253551,2.00297e-05,1.14765e+06,133809,162993,2.9247e+06,194708,786099,2.453e+06
0.0271662,2.16855e-05,1.12861e+06,141632,171388,2.92083e+06,151215,748828,2.46864e+06
0.0289772,2.26337e-05,1.12911e+06,142376,179310,2.95247e+06,110829,733369,2.52255e+06
0.0307883,2.45332e-05,1.03636e+06,99308.8,168472,2.68281e+06,102110,695702,2.31128e+06
0.0325994,2.68305e-05,933667,59445.8,158665,2.38798e+06,96215.2,652474,2.08458e+06
0.0344105,2.94508e-05,833489,29994.4,152915,2.10946e+06,88815.9,606107,1.88009e+06
0.0362215,3.20719e-05,733312,541.908,147164,1.83094e+06,81416.7,559739,1.6756e+06
0.0380326,3.46939e-05,633134,-28909.4,141414,1.55243e+06,74017.4,513372,1.47111e+06
0.0398437,3.73163e-05,532957,-58362,135663,1.27391e+06,66618.1,467005,1.26662e+06
0.0416548,4.02327e-05,494318,-56240.5,136905,1.15859e+06,59620.7,460762,1.23201e+06
0.0434658,4.36659e-05,551112,-5157.17,148990,1.29636e+06,53246.7,516742,1.46084e+06
0.0452769,4.71725e-05,607904,45924.6,161075,1.43412e+06,46872.6,572722,1.68968e+06
0.047088,5.04837e-05,619099,115818,184076,1.524e+06,40924.6,598616,1.93177e+06
0.0488991,5.36632e-05,578142,180996,213924,1.53322e+06,37310.9,585540,2.11956e+06
0.0507102,5.70331e-05,494655,165721,232886,1.4011e+06,40997,527372,2.06017e+06
0.0525212,6.0416e-05,411171,150445,251848,1.26898e+06,44683,469207,2.00077e+06
0.0543323,6.38099e-05,327685,135170,270810,1.13686e+06,48369,411039,1.94138e+06
0.0561434,6.72132e-05,244201,119894,289771,1.00474e+06,52055,352874,1.88199e+06
0.0579545,7.05835e-05,171746,102300,305583,885569,53258.6,303655,1.82855e+06
0.0597655,7.38744e-05,123707,79574.4,314424,795072,48967.4,274241,1.78831e+06
0.0615766,7.71769e-05,75663,56848.9,323265,704568,44677.8,244824,1.74806e+06
0.0633877,8.04897e-05,27624.1,34123.4,332105,614071,40386.6,215410,1.70781e+06
0.0651988,8.38115e-05,-20420.2,11397.9,340946,523568,36097,185993,1.66756e+06
0.0670099,8.71184e-05,-61421.4,-12806.9,347777,441335,30222,162288,1.63112e+06
0.0688209,9.01312e-05,-6186.2,-57240.4,327127,472113,2689.76,216648,1.64666e+06
0.070632,9.32918e-05,18761.2,-77846,336231,487485,-7846.03,201040,1.63834e+06
0.0724431,9.62098e-05,99886.6,-121037,356205,586806,31677.4,182092,1.47455e+06
0.0742542,9.98077e-05,153265,-116043,353481,691836,70491.7,219865,1.40499e+06
