"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,2.12718e+06,-39275.7,2412.11,4.43966e+06,490003,1.84409e+06,2.62285e+06
0.00181107,5.37583e-07,2.0502e+06,-57046.9,3591.15,4.31304e+06,445060,1.74655e+06,2.57082e+06
0.00362215,1.07517e-06,1.97323e+06,-74817.3,4770.84,4.18643e+06,400118,1.64901e+06,2.51879e+06
0.00543323,1.61275e-06,1.89625e+06,-92588.4,5949.89,4.05981e+06,355175,1.55147e+06,2.46676e+06
0.00724431,2.25209e-06,1.82092e+06,-107300,7978.66,3.93877e+06,312144,1.45468e+06,2.42e+06
0.00905538,3.48806e-06,1.75479e+06,-104917,14752,3.84891e+06,279797,1.36202e+06,2.40263e+06
0.0108665,4.74517e-06,1.68867e+06,-102535,21525.4,3.75904e+06,247451,1.26937e+06,2.38527e+06
0.0126775,6.01012e-06,1.62254e+06,-100153,28299,3.66918e+06,215103,1.17672e+06,2.3679e+06
0.0144886,7.27891e-06,1.55641e+06,-97770.6,35072.4,3.57931e+06,182757,1.08407e+06,2.35054e+06
0.0162997,8.54974e-06,1.49028e+06,-95388.7,41846,3.48945e+06,150409,991417,2.33317e+06
0.0181108,9.8219e-06,1.42415e+06,-93006.2,48619.4,3.39958e+06,118062,898765,2.3158e+06
0.0199218,1.09082e-05,1.35718e+06,-93354.1,56864.5,3.30007e+06,86025.5,813652,2.30586e+06
0.0217329,1.27551e-05,1.29867e+06,-81529.4,78301.3,3.21022e+06,64379.9,742291,2.26427e+06
0.023544,1.52205e-05,1.2207e+06,-57888.6,107988,3.08234e+06,39191.1,647306,2.2284e+06
0.0253551,1.76886e-05,1.14274e+06,-34248.5,137674,2.95446e+06,14003.5,552324,2.19254e+06
0.0271662,1.98218e-05,1.08699e+06,-18786.5,160571,2.85699e+06,968.234,483773,2.16623e+06
0.0289772,2.15265e-05,1.06228e+06,-14755.9,173978,2.802e+06,4919.44,452166,2.15326e+06
0.0307883,2.32794e-05,1.03758e+06,-10725.3,187386,2.74702e+06,8870.72,420559,2.14029e+06
0.0325994,2.50705e-05,1.01287e+06,-6694.62,200793,2.69203e+06,12821.9,388952,2.12733e+06
0.0344105,2.68921e-05,988170,-2663.99,214200,2.63705e+06,16773.2,357346,2.11436e+06
0.0362215,2.87383e-05,963466,1366.64,227607,2.58207e+06,20724.4,325739,2.10139e+06
0.0380326,3.06048e-05,938762,5397.27,241014,2.52708e+06,24675.7,294132,2.08843e+06
0.0398437,3.24881e-05,914057,9427.9,254422,2.4721e+06,28626.9,262525,2.07546e+06
0.0416548,3.44084e-05,890269,13243,267528,2.42044e+06,33159.5,230561,2.0653e+06
0.0434658,3.73082e-05,904436,8126.77,268174,2.5065e+06,61778.5,183768,2.17116e+06
0.0452769,4.03028e-05,881525,15053.6,261163,2.42767e+06,54337.2,200248,2.10328e+06
0.047088,4.34131e-05,859763,24734,254006,2.34015e+06,44460,224176,2.02326e+06
0.0488991,4.69199e-05,889055,36406.8,255112,2.39767e+06,63124.1,216874,2.07842e+06
0.0507102,5.04272e-05,918343,48079,256218,2.45519e+06,81787.1,209573,2.13357e+06
0.0525212,5.39352e-05,947634,59751.8,257324,2.51271e+06,100451,202271,2.18872e+06
0.0543323,5.74435e-05,976923,71424,258430,2.57023e+06,119114,194970,2.24387e+06
0.0561434,6.0743e-05,990575,69400.4,250066,2.58443e+06,124795,189890,2.26378e+06
0.0579545,6.37167e-05,979020,45302.2,226438,2.5288e+06,109549,188389,2.2269e+06
0.0597655,6.67053e-05,967465,21204,202810,2.47317e+06,94303.8,186889,2.19002e+06
0.0615766,6.97067e-05,955909,-2896.27,179180,2.41754e+06,79056.8,185388,2.15313e+06
0.0633877,7.33759e-05,946959,26925.7,171665,2.46325e+06,101572,164978,2.21478e+06
0.0651988,7.71613e-05,938464,66170.7,166965,2.52666e+06,130687,141262,2.29364e+06
0.0670099,8.10368e-05,930674,94077.8,164397,2.58918e+06,155792,118807,2.36663e+06
0.0688209,8.52109e-05,925163,85332,168712,2.64876e+06,167934,100423,2.42065e+06
0.070632,8.93987e-05,919652,76586,173029,2.70834e+06,180077,82040.9,2.47467e+06
0.0724431,9.35985e-05,914142,67840.2,177345,2.76792e+06,192219,63657.5,2.52869e+06
0.0742542,9.78087e-05,908631,59094.3,181662,2.82751e+06,204362,45274.9,2.5827e+06
0.0760652,0.000102028,903120,50348.4,185978,2.88709e+06,216505,26892.4,2.63672e+06
0.0778763,0.000106254,897772,41416.5,189822,2.94864e+06,228960,7417.34,2.69326e+06
0.0796874,0.000110484,895160,28073.5,183804,3.04514e+06,246327,-31751.1,2.79551e+06
0.0814985,0.000115217,886548,1242.32,164653,3.0985e+06,246412,-51519.4,2.85828e+06
0.0833095,0.000119952,877935,-25589.8,145502,3.15187e+06,246498,-71288.7,2.92106e+06
0.0851206,0.000125077,852817,-25317.7,136833,3.09599e+06,243981,-71550.5,2.87567e+06
0.0869317,0.000130659,806997,-19135.6,133842,3.03251e+06,259588,-98610.3,2.84735e+06
0.0887428,0.000136252,770528,-13730,131518,2.98899e+06,273873,-121257,2.83155e+06
0.0905539,0.000141856,772652,-17560.4,139266,3.00778e+06,272278,-122226,2.84693e+06
0.0923649,0.000147419,758831,-24832.8,151666,2.97665e+06,264706,-127988,2.82481e+06
0.094176,0.000152992,745009,-32105.6,164067,2.94551e+06,257133,-133752,2.80267e+06
0.0959871,0.000158624,737505,-38780.9,173197,2.93532e+06,254067,-127549,2.79513e+06
0.0977982,0.000164275,731528,-45312.1,181537,2.93019e+06,252091,-118453,2.79112e+06
0.0996092,0.000169931,725551,-51842.9,189877,2.92507e+06,250115,-109357,2.78711e+06
0.10142,0.000175593,719573,-58374.2,198217,2.91994e+06,248139,-100261,2.7831e+06
0.103231,0.000181539,733803,-53512.9,198468,2.9445e+06,246214,-68947.8,2.78249e+06
0.105042,0.000187646,759588,-42137.6,194095,2.98604e+06,244317,-24930.4,2.78383e+06
0.106854,0.000193754,785373,-30762.2,189722,3.02758e+06,242421,19086.5,2.78516e+06
0.108665,0.000200132,744205,-24701,182803,2.87545e+06,233263,46389,2.8674e+06
0.110476,0.000206658,668608,-21372.6,174577,2.62372e+06,220372,65097.1,2.99124e+06
0.112287,0.000213491,655890,-12927.9,171810,2.57683e+06,207632,67187.5,3.03964e+06
0.114098,0.00022052,683266,-1220.92,172526,2.66054e+06,194987,58682.2,3.03994e+06
0.115909,0.000227552,710644,10486.3,173241,2.74427e+06,182342,50176,3.04023e+06
0.11772,0.000234586,738020,22193.3,173957,2.82798e+06,169697,41670.7,3.04053e+06
0.119531,0.000241623,765398,33900.5,174673,2.91171e+06,157052,33164.5,3.04082e+06
0.121342,0.000248663,792777,45607.8,175388,2.99543e+06,144408,24658.3,3.04111e+06
0.123153,0.000255704,820153,57314.7,176104,3.07915e+06,131763,16153,3.04141e+06
0.124964,0.000262748,847531,69022,176819,3.16287e+06,119118,7646.81,3.04171e+06
0.126775,0.000269793,874907,80728.9,177535,3.24659e+06,106473,-858.542,3.042e+06
0.128586,0.00027684,902285,92436.2,178251,3.33031e+06,93828.5,-9364.72,3.0423e+06
0.130398,0.000284054,940077,103394,175379,3.42967e+06,83679.5,-10763.3,3.10232e+06
0.132209,0.000291624,1.01991e+06,114468,163057,3.62303e+06,79306.2,-2788.31,3.26176e+06
0.13402,0.000299388,974142,115586,160393,3.50296e+06,78490.3,-5936.24,3.16007e+06
0.135831,0.00030725,873714,110556,161063,3.24771e+06,80878.9,-12208.8,2.94849e+06
0.137642,0.000315532,833109,94418,154515,3.07419e+06,88841.1,16177.7,2.82978e+06
0.139453,0.000323819,792503,78280,147966,2.90067e+06,96803.5,44563.7,2.71107e+06
0.141264,0.00033211,751899,62142.1,141418,2.72715e+06,104766,72950.2,2.59237e+06
0.143075,0.000340404,711293,46004.1,134869,2.55363e+06,112728,101336,2.47366e+06
0.144886,0.000348702,670689,29866.2,128320,2.38011e+06,120690,129722,2.35496e+06
0.146697,0.000357004,630082,13728.2,121771,2.20659e+06,128653,158108,2.23625e+06
0.148508,0.000365309,589478,-2409.73,115223,2.03307e+06,136615,186495,2.11755e+06
0.150319,0.000373616,548872,-18547.8,108674,1.85955e+06,144577,214881,1.99884e+06
0.15213,0.000382348,497619,-34035.9,96384.3,1.76989e+06,144773,218714,1.92449e+06
0.153942,0.000391526,503609,-26186.7,110184,1.83237e+06,138589,213357,1.93873e+06
0.155753,0.000400718,511207,-17692.1,124719,1.8989e+06,132246,207796,1.95534e+06
0.157564,0.000409914,518805,-9197.87,139253,1.96542e+06,125902,202235,1.97194e+06
0.159375,0.000419114,526402,-703.311,153788,2.03195e+06,119559,196674,1.98854e+06
0.161186,0.000428316,534000,7790.91,168322,2.09847e+06,113215,191113,2.00515e+06
0.162997,0.000437522,541598,16285.5,182857,2.165e+06,106872,185552,2.02175e+06
0.164808,0.00044673,549195,24779.7,197392,2.23152e+06,100528,179991,2.03835e+06
0.166619,0.00045594,556793,33274.3,211926,2.29805e+06,94184.7,174430,2.05495e+06
0.16843,0.000465303,564914,41325.7,231039,2.36714e+06,96172.3,189648,2.08627e+06
0.170241,0.000474847,573662,48847.1,255633,2.43931e+06,108132,229740,2.13519e+06
0.172052,0.000484391,582410,56368.8,280227,2.51149e+06,120093,269832,2.18411e+06
0.173863,0.000494689,580567,63187.3,275212,2.54822e+06,119760,248735,2.23358e+06
0.175674,0.000505196,578458,68763,263653,2.56145e+06,120735,207720,2.27141e+06
0.177486,0.000515703,575589,74222.3,251287,2.57484e+06,121968,169033,2.30792e+06
0.179297,0.000526202,566229,78687.8,232014,2.58974e+06,125411,150264,2.33325e+06
0.181108,0.000536702,556869,83152.9,212741,2.60463e+06,128853,131495,2.35858e+06
0.182919,0.000547205,547509,87618.3,193468,2.61952e+06,132296,112726,2.38391e+06
0.18473,0.00055771,538149,92083.5,174194,2.63442e+06,135737,93957.1,2.40924e+06
0.186541,0.000568216,528789,96548.7,154921,2.64931e+06,139179,75188.1,2.43457e+06
0.188352,0.000578724,519429,101014,135648,2.6642e+06,142622,56419.1,2.4599e+06
0.190163,0.000589233,510068,105479,116374,2.6791e+06,146064,37650.2,2.48523e+06
0.191974,0.000599759,506153,110232,98525,2.69806e+06,153236,23178.2,2.51079e+06
0.193785,0.000610293,504825,115122,81351.6,2.71895e+06,162180,10748.7,2.53646e+06
0.195596,0.000621155,487283,124638,66160.9,2.68749e+06,162908,11332.2,2.51193e+06
0.197407,0.000632154,462970,136086,51797.8,2.63415e+06,160204,17352.5,2.46644e+06
0.199218,0.000643534,444687,139263,46275.5,2.57468e+06,158865,17611.9,2.42403e+06
0.20103,0.000655292,434512,140458,50216.7,2.50609e+06,157949,11000.5,2.3783e+06
0.202841,0.000667202,433482,157916,59930.3,2.42543e+06,154656,-1597.28,2.31376e+06
0.204652,0.000679112,432452,175375,69644.7,2.34477e+06,151364,-14196.8,2.24921e+06
0.206463,0.000690954,431921,171645,72353.9,2.27722e+06,152012,-12952.3,2.1947e+06
0.208274,0.000702778,431537,161733,73019.6,2.21349e+06,153812,-7669.54,2.14311e+06
0.210085,0.000714603,431153,151823,73685.5,2.14977e+06,155610,-2386.91,2.09152e+06
0.211896,0.00072643,430769,141911,74351.2,2.08604e+06,157409,2895.81,2.03993e+06
0.213707,0.000738258,430385,132000,75017.1,2.02232e+06,159208,8178.44,1.98834e+06
0.215518,0.000750088,430001,122088,75682.9,1.95859e+06,161007,13461.2,1.93675e+06
0.217329,0.000762429,425522,148692,61025.9,1.95348e+06,162314,33756.9,1.93034e+06
0.21914,0.000774778,420982,175830,46145.1,1.94922e+06,163614,54271.9,1.92458e+06
0.220951,0.000787145,417593,197865,33624.5,1.94457e+06,162793,75596.3,1.91456e+06
0.222762,0.000799611,420215,193213,33454.2,1.93785e+06,150870,101152,1.88218e+06
0.224574,0.00081208,422838,188561,33283.2,1.93113e+06,138948,126709,1.84981e+06
0.226385,0.00082455,425460,183909,33112.9,1.92441e+06,127025,152265,1.81744e+06
0.228196,0.000837023,428083,179256,32941.9,1.91769e+06,115103,177821,1.78507e+06
0.230007,0.000849498,430705,174604,32771.6,1.91097e+06,103180,203378,1.7527e+06
