"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,2.34552e+06,-45783.9,3752.84,4.89619e+06,531869,2.03341e+06,2.88796e+06
0.00181107,5.88176e-07,2.26104e+06,-65250.8,5142.92,4.75752e+06,482454,1.9258e+06,2.83202e+06
0.00362215,1.17635e-06,2.17657e+06,-84716.9,6533.71,4.61884e+06,433039,1.8182e+06,2.77607e+06
0.00543323,1.76453e-06,2.09209e+06,-104184,7923.79,4.48016e+06,383623,1.71059e+06,2.72012e+06
0.00724431,2.46543e-06,2.00939e+06,-120300,10255,4.3476e+06,336301,1.60381e+06,2.66991e+06
0.00905538,3.82562e-06,1.93661e+06,-117697,17841,4.24919e+06,300676,1.50161e+06,2.65175e+06
0.0108665,5.20799e-06,1.86382e+06,-115093,25427,4.15078e+06,265050,1.39941e+06,2.63358e+06
0.0126775,6.59856e-06,1.79104e+06,-112491,33013.3,4.05237e+06,229424,1.29721e+06,2.61541e+06
0.0144886,7.99313e-06,1.71825e+06,-109887,40599.3,3.95396e+06,193798,1.19501e+06,2.59725e+06
0.0162997,9.38984e-06,1.64547e+06,-107284,48185.6,3.85555e+06,158172,1.09281e+06,2.57908e+06
0.0181108,1.07879e-05,1.57268e+06,-104681,55771.5,3.75715e+06,122547,990608,2.56091e+06
0.0199218,1.19811e-05,1.49897e+06,-105058,64960.8,3.64805e+06,87262.4,896677,2.55054e+06
0.0217329,1.40067e-05,1.43446e+06,-92095.4,88635.3,3.54986e+06,63374.8,817884,2.50602e+06
0.023544,1.67138e-05,1.34861e+06,-66188.7,121389,3.41026e+06,35573.5,713334,2.46779e+06
0.0253551,1.9424e-05,1.26275e+06,-40282.9,154142,3.27066e+06,7773.58,608788,2.42957e+06
0.0271662,2.17633e-05,1.20131e+06,-23325.7,179405,3.16429e+06,-6639.59,533193,2.40148e+06
0.0289772,2.36272e-05,1.174e+06,-18877,194198,3.10436e+06,-2340.67,498065,2.38755e+06
0.0307883,2.55439e-05,1.14669e+06,-14428.4,208991,3.04443e+06,1958.33,462937,2.37361e+06
0.0325994,2.75024e-05,1.11938e+06,-9979.7,223784,2.9845e+06,6257.25,427809,2.35968e+06
0.0344105,2.94944e-05,1.09207e+06,-5531.03,238577,2.92457e+06,10556.2,392681,2.34575e+06
0.0362215,3.15135e-05,1.06476e+06,-1082.37,253370,2.86464e+06,14855.2,357552,2.33181e+06
0.0380326,3.35549e-05,1.03744e+06,3366.3,268163,2.80472e+06,19154.2,322425,2.31788e+06
0.0398437,3.56146e-05,1.01013e+06,7814.97,282956,2.74479e+06,23453.1,287296,2.30395e+06
0.0416548,3.77151e-05,983842,12019.1,297415,2.68852e+06,28396.1,251795,2.2931e+06
0.0434658,4.08938e-05,999848,6091.47,298021,2.78406e+06,60021.7,200840,2.41025e+06
0.0452769,4.41732e-05,974348,13971,290407,2.69686e+06,51828.6,218862,2.33366e+06
0.047088,4.75801e-05,950045,24877,282641,2.60006e+06,40935.7,245023,2.24357e+06
0.0488991,5.14276e-05,982364,37291.9,283782,2.66408e+06,61499.8,237245,2.30448e+06
0.0507102,5.52758e-05,1.01468e+06,49706.3,284923,2.7281e+06,82062.8,229468,2.36538e+06
0.0525212,5.91247e-05,1.047e+06,62121.2,286064,2.79213e+06,102627,221690,2.42629e+06
0.0543323,6.2974e-05,1.07931e+06,74535.6,287205,2.85615e+06,123190,213913,2.48719e+06
0.0561434,6.65916e-05,1.09432e+06,72144.2,277934,2.87196e+06,129491,208429,2.50859e+06
0.0579545,6.98476e-05,1.08142e+06,45889.7,251882,2.81008e+06,112803,206642,2.46631e+06
0.0597655,7.31201e-05,1.06853e+06,19635.1,225831,2.7482e+06,96114.4,204855,2.42402e+06
0.0615766,7.6407e-05,1.05563e+06,-6621.69,199777,2.68631e+06,79424.7,203068,2.38173e+06
0.0633877,8.04296e-05,1.04536e+06,25999.5,191589,2.73701e+06,104233,180622,2.44953e+06
