"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,1.99757e-09,2.6499e+06,-192720,75373.6,5.47549e+06,433316,2.23338e+06,3.1758e+06
0.00181107,7.93674e-07,2.60575e+06,-189102,88446.8,5.47259e+06,400372,2.10982e+06,3.26063e+06
0.00362215,1.58536e-06,2.5616e+06,-185485,101520,5.46969e+06,367428,1.98626e+06,3.34546e+06
0.00543323,2.37705e-06,2.51745e+06,-181867,114593,5.46679e+06,334485,1.8627e+06,3.43029e+06
0.00724431,3.16873e-06,2.4733e+06,-178250,127666,5.46389e+06,301541,1.73914e+06,3.51511e+06
0.00905538,3.96042e-06,2.42915e+06,-174633,140739,5.46099e+06,268597,1.61558e+06,3.59994e+06
0.0108665,5.13494e-06,2.31597e+06,-165319,152787,5.31629e+06,225304,1.43325e+06,3.60437e+06
0.0126775,6.37153e-06,2.19172e+06,-155093,164669,5.14887e+06,180353,1.24151e+06,3.59593e+06
0.0144886,7.60855e-06,2.06748e+06,-144867,176552,4.98146e+06,135403,1.04977e+06,3.58748e+06
0.0162997,8.84582e-06,1.94324e+06,-134641,188435,4.81405e+06,90451.7,858034,3.57903e+06
0.0181108,1.03765e-05,1.85791e+06,-129937,193414,4.71107e+06,67771.7,715912,3.59467e+06
0.0199218,1.22949e-05,1.81827e+06,-131717,190286,4.68375e+06,71240.2,632050,3.63857e+06
0.0217329,1.4253e-05,1.77863e+06,-133497,187158,4.65643e+06,74708.9,548187,3.68248e+06
0.023544,1.62365e-05,1.73899e+06,-135276,184030,4.6291e+06,78177.5,464324,3.72639e+06
0.0253551,1.82371e-05,1.69935e+06,-137056,180903,4.60178e+06,81646.1,380462,3.7703e+06
0.0271662,2.0221e-05,1.66368e+06,-137947,178187,4.58661e+06,87709.9,295429,3.82593e+06
0.0289772,2.20396e-05,1.65197e+06,-133478,177954,4.64469e+06,109421,203335,3.9523e+06
0.0307883,2.38635e-05,1.64026e+06,-129010,177720,4.70277e+06,131131,111242,4.07866e+06
