"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,1.99761e-09,2.64991e+06,-192718,75368.5,5.4755e+06,433311,2.23339e+06,3.1758e+06
0.00181107,7.93673e-07,2.60576e+06,-189101,88442.3,5.4726e+06,400368,2.10983e+06,3.26063e+06
0.00362215,1.58535e-06,2.56161e+06,-185483,101516,5.4697e+06,367426,1.98627e+06,3.34546e+06
0.00543323,2.37704e-06,2.51746e+06,-181866,114590,5.4668e+06,334484,1.86271e+06,3.43029e+06
0.00724431,3.16872e-06,2.47331e+06,-178249,127663,5.4639e+06,301542,1.73915e+06,3.51512e+06
0.00905538,3.96041e-06,2.42916e+06,-174631,140737,5.461e+06,268599,1.61559e+06,3.59995e+06
0.0108665,5.13493e-06,2.31597e+06,-165318,152785,5.3163e+06,225308,1.43326e+06,3.60438e+06
0.0126775,6.37152e-06,2.19173e+06,-155092,164668,5.14889e+06,180358,1.24152e+06,3.59593e+06
0.0144886,7.60855e-06,2.06749e+06,-144866,176551,4.98147e+06,135409,1.04978e+06,3.58749e+06
0.0162997,8.84582e-06,1.94324e+06,-134640,188435,4.81406e+06,90460,858036,3.57904e+06
0.0181108,1.03765e-05,1.85791e+06,-129936,193414,4.71108e+06,67780.5,715914,3.59467e+06
0.0199218,1.22949e-05,1.81827e+06,-131716,190286,4.68376e+06,71248.5,632050,3.63858e+06
0.0217329,1.4253e-05,1.77863e+06,-133496,187158,4.65643e+06,74716.6,548186,3.68249e+06
0.023544,1.62365e-05,1.73899e+06,-135276,184030,4.62911e+06,78184.5,464321,3.72639e+06
0.0253551,1.82371e-05,1.69935e+06,-137056,180902,4.60178e+06,81652.6,380457,3.7703e+06
0.0271662,2.0221e-05,1.66369e+06,-137947,178187,4.58661e+06,87715.8,295422,3.82594e+06
0.0289772,2.20396e-05,1.65198e+06,-133478,177955,4.64469e+06,109425,203325,3.95231e+06
0.0307883,2.38635e-05,1.64026e+06,-129009,177723,4.70277e+06,131135,111229,4.07867e+06
0.0325994,2.56917e-05,1.62855e+06,-124541,177491,4.76085e+06,152844,19132.2,4.20504e+06
0.0344105,2.79881e-05,1.6226e+06,-118432,183223,4.80984e+06,165473,-60584.9,4.31202e+06
0.0362215,3.0958e-05,1.57555e+06,-117457,199265,4.69078e+06,163640,-83941.5,4.2295e+06
0.0380326,3.39687e-05,1.5285e+06,-116482,215307,4.57172e+06,161807,-107298,4.14699e+06
0.0398437,3.69845e-05,1.47507e+06,-115144,230912,4.42313e+06,159711,-122669,4.03858e+06
0.0416548,4.00232e-05,1.42079e+06,-113758,246458,4.27061e+06,157581,-136976,3.92673e+06
0.0434658,4.30828e-05,1.36651e+06,-112372,262005,4.11808e+06,155450,-151283,3.81488e+06
0.0452769,4.61764e-05,1.31587e+06,-110325,275355,3.98126e+06,151453,-164599,3.71492e+06
0.047088,4.94337e-05,1.29677e+06,-102561,269703,3.98033e+06,131301,-169343,3.71786e+06
0.0488991,5.2703e-05,1.27767e+06,-94796.7,264049,3.97941e+06,111149,-174086,3.7208e+06
0.0507102,5.59822e-05,1.25858e+06,-87033,258396,3.97848e+06,90997.7,-178830,3.72374e+06
0.0525212,5.94626e-05,1.27266e+06,-83520.2,250446,4.04559e+06,80220.5,-165019,3.75906e+06
0.0543323,6.3403e-05,1.31005e+06,-82311.7,236948,4.18936e+06,73025.5,-155703,3.86972e+06
0.0561434,6.75048e-05,1.34699e+06,-80699.5,221491,4.34681e+06,64183.5,-155502,4.00654e+06
0.0579545,7.16168e-05,1.38393e+06,-79088,206034,4.50425e+06,55342.5,-155301,4.14335e+06
0.0597655,7.57374e-05,1.42087e+06,-77476.5,190578,4.66169e+06,46501.4,-155100,4.28016e+06
0.0615766,7.98651e-05,1.45781e+06,-75864.3,175120,4.81914e+06,37659.4,-154899,4.41697e+06
0.0633877,8.42156e-05,1.46181e+06,-80055.9,181033,4.8369e+06,39162.9,-139297,4.42217e+06
0.0651988,8.86569e-05,1.4536e+06,-86397.4,194865,4.8029e+06,44499.2,-117987,4.37858e+06
0.0670099,9.31227e-05,1.44518e+06,-92468,208325,4.76905e+06,49884,-97101,4.3354e+06
0.0688209,9.8411e-05,1.42508e+06,-83586.7,201288,4.74399e+06,57901,-99520.3,4.31439e+06
0.070632,0.000103763,1.39865e+06,-72951.4,193618,4.69274e+06,66008.2,-91215.9,4.26308e+06
0.0724431,0.000109187,1.36387e+06,-60004.7,185115,4.60697e+06,74232.6,-68782.9,4.17184e+06
0.0742542,0.000114621,1.3291e+06,-47058.2,176612,4.5212e+06,82457.7,-46350.5,4.0806e+06
0.0760652,0.000120063,1.29433e+06,-34111.8,168108,4.43543e+06,90682.9,-23918,3.98936e+06
0.0778763,0.000125364,1.24964e+06,-19436.8,158353,4.33352e+06,97272.4,-1083.67,3.88462e+06
0.0796874,0.000130573,1.1986e+06,-3657.22,147797,4.22129e+06,102817,22006.6,3.77123e+06
0.0814985,0.000135785,1.14756e+06,12122.4,137241,4.10907e+06,108362,45097.5,3.65785e+06
0.0833095,0.000141451,1.13337e+06,32310.8,123973,4.06288e+06,114722,72510.9,3.59693e+06
