"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,2.12719e+06,-39263.6,2400.63,4.43969e+06,490006,1.84409e+06,2.62288e+06
0.00181107,5.37555e-07,2.05021e+06,-57036.5,3579.84,4.31307e+06,445062,1.74654e+06,2.57085e+06
0.00362215,1.07511e-06,1.97323e+06,-74808.6,4759.7,4.18645e+06,400118,1.64899e+06,2.51883e+06
0.00543323,1.61266e-06,1.89626e+06,-92581.5,5938.9,4.05983e+06,355174,1.55144e+06,2.4668e+06
0.00724431,2.25199e-06,1.82093e+06,-107295,7967.69,3.93879e+06,312142,1.45464e+06,2.42003e+06
0.00905538,3.48795e-06,1.7548e+06,-104914,14740.2,3.84892e+06,279795,1.36198e+06,2.40267e+06
0.0108665,4.74506e-06,1.68867e+06,-102533,21512.7,3.75905e+06,247448,1.26932e+06,2.38531e+06
0.0126775,6.01002e-06,1.62254e+06,-100153,28285.4,3.66918e+06,215101,1.17667e+06,2.36794e+06
0.0144886,7.27881e-06,1.55641e+06,-97772,35057.9,3.57932e+06,182754,1.08401e+06,2.35058e+06
0.0162997,8.54964e-06,1.49027e+06,-95391.7,41830.7,3.48945e+06,150407,991359,2.33321e+06
0.0181108,9.8218e-06,1.42414e+06,-93010.9,48603.2,3.39958e+06,118060,898703,2.31585e+06
0.0199218,1.09081e-05,1.35717e+06,-93360,56848.2,3.30007e+06,86023.4,813585,2.3059e+06
0.0217329,1.2755e-05,1.29866e+06,-81536.2,78281.8,3.21021e+06,64376.2,742227,2.26431e+06
0.023544,1.52205e-05,1.2207e+06,-57896.2,107964,3.08233e+06,39184.8,647243,2.22844e+06
0.0253551,1.76886e-05,1.14274e+06,-34256.9,137646,2.95446e+06,13994.8,552263,2.19257e+06
0.0271662,1.9822e-05,1.087e+06,-18795.8,160541,2.85698e+06,956.532,483717,2.16625e+06
0.0289772,2.15267e-05,1.0623e+06,-14766.2,173950,2.80201e+06,4904.22,452121,2.15328e+06
0.0307883,2.32797e-05,1.0376e+06,-10736.5,187360,2.74703e+06,8851.99,420525,2.14032e+06
0.0325994,2.50708e-05,1.0129e+06,-6706.87,200769,2.69205e+06,12799.7,388929,2.12735e+06
0.0344105,2.68924e-05,988201,-2677.22,214179,2.63708e+06,16747.4,357333,2.11438e+06
0.0362215,2.87387e-05,963503,1352.43,227588,2.5821e+06,20695.1,325737,2.10141e+06
0.0380326,3.06053e-05,938804,5382.08,240998,2.52712e+06,24642.9,294141,2.08845e+06
0.0398437,3.24886e-05,914105,9411.74,254407,2.47215e+06,28590.6,262545,2.07548e+06
0.0416548,3.4409e-05,890322,13225.9,267516,2.42049e+06,33119.6,230591,2.06531e+06
0.0434658,3.73088e-05,904483,8111.03,268167,2.50655e+06,61731.3,183785,2.17118e+06
0.0452769,4.03033e-05,881571,15037.8,261149,2.42771e+06,54296.8,200254,2.10329e+06
0.047088,4.34136e-05,859808,24718.1,253986,2.34018e+06,44427.4,224171,2.02328e+06
0.0488991,4.69203e-05,889094,36391.4,255094,2.3977e+06,63089,216861,2.07844e+06
0.0507102,5.04276e-05,918376,48064.1,256203,2.45522e+06,81749.6,209551,2.13359e+06
0.0525212,5.39355e-05,947662,59737.4,257311,2.51274e+06,100411,202240,2.18875e+06
0.0543323,5.74439e-05,976945,71410.1,258420,2.57025e+06,119072,194930,2.2439e+06
0.0561434,6.07433e-05,990594,69387.8,250057,2.58445e+06,124754,189843,2.26382e+06
