"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,2.43283e+06,-46804.3,4122.98,5.07948e+06,547245,2.10892e+06,2.99406e+06
0.00181107,6.07183e-07,2.34529e+06,-67020.6,5629.74,4.93559e+06,495976,1.99733e+06,2.9362e+06
0.00362215,1.21437e-06,2.25775e+06,-87236,7137.24,4.79169e+06,444707,1.88573e+06,2.87835e+06
0.00543323,1.82155e-06,2.17021e+06,-107452,8644,4.6478e+06,393437,1.77414e+06,2.82049e+06
0.00724431,2.54602e-06,2.0845e+06,-124190,11126.6,4.51026e+06,344344,1.66339e+06,2.76859e+06
0.00905538,3.95633e-06,2.00902e+06,-121492,19058.2,4.40823e+06,307412,1.5574e+06,2.74996e+06
0.0108665,5.38954e-06,1.93354e+06,-118794,26989.7,4.3062e+06,270481,1.4514e+06,2.73132e+06
0.0126775,6.8312e-06,1.85805e+06,-116097,34921.6,4.20417e+06,233548,1.34541e+06,2.71269e+06
0.0144886,8.27698e-06,1.78257e+06,-113400,42853.2,4.10214e+06,196616,1.23941e+06,2.69406e+06
0.0162997,9.72495e-06,1.70708e+06,-110702,50785.1,4.00011e+06,159684,1.13342e+06,2.67542e+06
0.0181108,1.11743e-05,1.6316e+06,-108005,58716.6,3.89808e+06,122752,1.02743e+06,2.65679e+06
0.0199218,1.24107e-05,1.55513e+06,-108400,68313.8,3.78488e+06,86164.2,929997,2.64631e+06
0.0217329,1.45121e-05,1.48817e+06,-94942.8,92950.5,3.68308e+06,61385.3,848271,2.60018e+06
0.023544,1.73227e-05,1.399e+06,-68043.9,127016,3.5384e+06,32539.8,739812,2.56078e+06
0.0253551,2.01367e-05,1.30983e+06,-41145.8,161080,3.39372e+06,3695.74,631357,2.52137e+06
0.0271662,2.25639e-05,1.24606e+06,-23533.1,187354,3.28347e+06,-11246.3,552954,2.4924e+06
0.0289772,2.44956e-05,1.21778e+06,-18899.6,202738,3.22137e+06,-6756.02,516558,2.478e+06
0.0307883,2.64824e-05,1.18951e+06,-14266,218122,3.15926e+06,-2265.66,480162,2.46361e+06
0.0325994,2.85128e-05,1.16123e+06,-9632.51,233506,3.09716e+06,2224.63,443767,2.44921e+06
0.0344105,3.0578e-05,1.13295e+06,-4998.98,248890,3.03505e+06,6715,407371,2.43482e+06
0.0362215,3.26716e-05,1.10467e+06,-365.451,264274,2.97294e+06,11205.3,370975,2.42042e+06
0.0380326,3.47883e-05,1.0764e+06,4268.08,279659,2.91084e+06,15695.6,334580,2.40602e+06
0.0398437,3.69243e-05,1.04812e+06,8901.62,295043,2.84873e+06,20185.9,298184,2.39163e+06
0.0416548,3.91026e-05,1.0209e+06,13279.2,310078,2.79044e+06,25346.6,261400,2.38044e+06
0.0434658,4.24035e-05,1.03768e+06,7049.56,310656,2.89016e+06,58280.5,208514,2.5024e+06
0.0452769,4.5808e-05,1.01111e+06,15298.7,302699,2.7992e+06,49752.8,227206,2.42255e+06
0.047088,4.93453e-05,985784,26692.3,294590,2.69822e+06,38415.1,254349,2.32869e+06
0.0488991,5.33415e-05,1.01944e+06,39495.1,295765,2.76518e+06,59838.9,246305,2.39227e+06
0.0507102,5.73384e-05,1.0531e+06,52297.2,296939,2.83213e+06,81261.5,238262,2.45584e+06
0.0525212,6.1336e-05,1.08675e+06,65100,298114,2.89909e+06,102685,230218,2.51941e+06
0.0543323,6.53341e-05,1.12041e+06,77902.1,299288,2.96605e+06,124108,222175,2.58298e+06
0.0561434,6.90906e-05,1.13606e+06,75355.6,289609,2.9826e+06,130690,216484,2.6053e+06
0.0579545,7.24704e-05,1.1227e+06,48070.8,262439,2.91792e+06,113353,214587,2.5611e+06
0.0597655,7.58674e-05,1.10933e+06,20786.1,235268,2.85323e+06,96014.8,212689,2.51691e+06
0.0615766,7.92793e-05,1.09596e+06,-6501.1,208096,2.78854e+06,78675.3,210792,2.47271e+06
0.0633877,8.34571e-05,1.08518e+06,27405.9,199576,2.84161e+06,104557,187403,2.5435e+06
0.0651988,8.77683e-05,1.07485e+06,72006.5,194314,2.91526e+06,137991,160258,2.63438e+06
0.0670099,9.21821e-05,1.0655e+06,103663,191459,2.98777e+06,166847,134573,2.71888e+06
