"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.35686e+06,-85312.1,-9301.02,2.6997e+06,373957,1.19744e+06,1.5819e+06
0.002,1.94365e-06,1.29246e+06,-78625.9,-8245.96,2.60444e+06,344971,1.11197e+06,1.54656e+06
0.004,3.09325e-06,1.25652e+06,-75676.2,-7075.88,2.54299e+06,329797,1.06913e+06,1.52414e+06
0.006,4.02913e-06,1.22987e+06,-73947,-5868.24,2.49259e+06,319136,1.04022e+06,1.50594e+06
0.008,4.99018e-06,1.20323e+06,-72217.8,-4660.6,2.44219e+06,308474,1.01131e+06,1.48774e+06
0.01,5.96423e-06,1.17658e+06,-70488.6,-3452.95,2.39179e+06,297812,982406,1.46953e+06
0.012,6.94583e-06,1.14994e+06,-68759.4,-2245.31,2.34139e+06,287151,953498,1.45133e+06
0.014,7.93216e-06,1.12329e+06,-67030.1,-1037.67,2.29098e+06,276489,924589,1.43313e+06
0.016,8.88213e-06,1.09665e+06,-64789.1,483.764,2.23943e+06,267032,897340,1.41505e+06
0.018,9.73393e-06,1.07e+06,-61257.9,2796.26,2.18497e+06,260613,874274,1.39728e+06
0.02,1.05865e-05,1.04336e+06,-57726.6,5108.77,2.13052e+06,254194,851209,1.37951e+06
0.022,1.14396e-05,1.01672e+06,-54195.3,7421.27,2.07606e+06,247775,828143,1.36174e+06
0.024,1.22931e-05,990072,-50664,9733.77,2.0216e+06,241356,805078,1.34397e+06
0.026,1.3147e-05,963429,-47132.8,12046.3,1.96715e+06,234937,782012,1.3262e+06
0.028,1.40012e-05,936785,-43601.5,14358.8,1.91269e+06,228518,758947,1.30843e+06
0.03,1.48556e-05,910141,-40070.2,16671.3,1.85823e+06,222098,735881,1.29066e+06
0.032,1.57102e-05,883497,-36539,18983.8,1.80378e+06,215679,712816,1.27289e+06
0.034,1.65651e-05,856854,-33007.7,21296.3,1.74932e+06,209260,689750,1.25512e+06
0.036,1.742e-05,830210,-29476.4,23608.8,1.69486e+06,202841,666685,1.23735e+06
0.038,1.82751e-05,803566,-25945.1,25921.3,1.64041e+06,196422,643619,1.21958e+06
0.04,1.91303e-05,776922,-22413.9,28233.8,1.58595e+06,190003,620554,1.20181e+06
0.042,1.99856e-05,750279,-18882.6,30546.3,1.53149e+06,183584,597488,1.18404e+06
0.044,2.08409e-05,723635,-15351.3,32858.8,1.47704e+06,177165,574423,1.16627e+06
0.046,2.16964e-05,696991,-11820,35171.3,1.42258e+06,170746,551357,1.1485e+06
0.048,2.25519e-05,670347,-8288.77,37483.8,1.36812e+06,164327,528292,1.13073e+06
0.05,2.47158e-05,638270,-5558.44,40808.9,1.33046e+06,163909,489660,1.13685e+06
0.052,2.7352e-05,604233,-3116.98,44499.3,1.29885e+06,165656,445414,1.15159e+06
0.054,2.99885e-05,570195,-675.509,48189.6,1.26725e+06,167403,401169,1.16633e+06
0.056,3.26252e-05,536158,1765.96,51879.9,1.23564e+06,169150,356923,1.18106e+06
0.058,3.52622e-05,502121,4207.42,55570.2,1.20403e+06,170897,312678,1.1958e+06
0.06,3.78992e-05,468084,6648.89,59260.6,1.17243e+06,172644,268432,1.21054e+06
0.062,4.05364e-05,434047,9090.36,62950.9,1.14082e+06,174390,224186,1.22528e+06
0.064,4.29876e-05,429128,8383.52,63235,1.13381e+06,179625,220945,1.22885e+06
0.066,4.5472e-05,426328,7447.63,63271.4,1.12859e+06,185113,220686,1.23161e+06
0.068,4.79974e-05,423529,6511.75,63307.7,1.12337e+06,190600,220428,1.23437e+06
0.07,5.05577e-05,420729,5575.86,63344,1.11815e+06,196088,220169,1.23713e+06
0.072,5.31452e-05,414461,2292.24,63371.7,1.1078e+06,195255,207384,1.23735e+06
0.074,5.5748e-05,407634,-1370.17,63397.9,1.09663e+06,193403,192579,1.23716e+06
0.076,5.83635e-05,400807,-5032.56,63424.2,1.08546e+06,191550,177773,1.23697e+06
