"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.19295e+06,-68806.9,-6456.36,2.40098e+06,482312,1.02742e+06,1.55199e+06
0.002,1.83214e-06,1.13344e+06,-62884.6,-5619.29,2.31263e+06,452353,947935,1.51484e+06
0.004,2.97505e-06,1.1011e+06,-60394.7,-4615.86,2.25713e+06,435082,909801,1.48984e+06
0.006,3.93713e-06,1.07764e+06,-59026.1,-3558.08,2.21236e+06,421956,885174,1.46881e+06
0.008,4.92253e-06,1.05417e+06,-57657.6,-2500.3,2.16759e+06,408830,860548,1.44777e+06
0.01,5.91961e-06,1.0307e+06,-56289,-1442.52,2.12282e+06,395704,835922,1.42674e+06
0.012,6.92333e-06,1.00724e+06,-54920.4,-384.74,2.07805e+06,382578,811296,1.4057e+06
0.014,7.93116e-06,983772,-53551.8,673.039,2.03328e+06,369452,786670,1.38467e+06
0.016,8.9079e-06,960295,-51771.8,1875.74,1.98738e+06,357283,763446,1.36384e+06
0.018,9.80079e-06,936788,-48954.5,3443.78,1.93862e+06,347525,743755,1.34353e+06
0.02,1.06945e-05,913281,-46137.2,5011.82,1.88986e+06,337768,724065,1.32323e+06
0.022,1.15889e-05,889774,-43319.9,6579.86,1.84111e+06,328011,704375,1.30292e+06
0.024,1.24838e-05,866268,-40502.6,8147.9,1.79235e+06,318253,684684,1.28262e+06
0.026,1.33791e-05,842761,-37685.3,9715.95,1.74359e+06,308496,664994,1.26231e+06
0.028,1.42747e-05,819254,-34868,11284,1.69483e+06,298738,645304,1.242e+06
0.03,1.51706e-05,795747,-32050.7,12852,1.64607e+06,288981,625613,1.2217e+06
0.032,1.60667e-05,772240,-29233.4,14420.1,1.59732e+06,279223,605923,1.20139e+06
0.034,1.6963e-05,748733,-26416.1,15988.1,1.54856e+06,269466,586233,1.18109e+06
0.036,1.78594e-05,725227,-23598.8,17556.2,1.4998e+06,259709,566542,1.16078e+06
0.038,1.8756e-05,701720,-20781.5,19124.2,1.45104e+06,249951,546852,1.14048e+06
0.04,1.96527e-05,678213,-17964.2,20692.2,1.40228e+06,240194,527162,1.12017e+06
0.042,2.05496e-05,654706,-15146.9,22260.3,1.35353e+06,230436,507471,1.09986e+06
0.044,2.14465e-05,631199,-12329.6,23828.3,1.30477e+06,220679,487781,1.07956e+06
0.046,2.23435e-05,607692,-9512.31,25396.4,1.25601e+06,210921,468091,1.05925e+06
0.048,2.32405e-05,584186,-6695.01,26964.4,1.20725e+06,201164,448401,1.03895e+06
0.05,2.51464e-05,557085,-4562.06,29407.2,1.17249e+06,195727,416877,1.0384e+06
0.052,2.74178e-05,528688,-2675.92,32165.4,1.14278e+06,191849,381086,1.04498e+06
0.054,2.96905e-05,500291,-789.775,34923.6,1.11307e+06,187970,345295,1.05155e+06
0.056,3.19644e-05,471895,1096.37,37681.8,1.08336e+06,184091,309504,1.05813e+06
0.058,3.42392e-05,443498,2982.51,40440,1.05364e+06,180213,273713,1.06471e+06
0.06,3.65148e-05,415101,4868.65,43198.2,1.02393e+06,176334,237921,1.07128e+06
0.062,3.87909e-05,386704,6754.79,45956.4,994220,172455,202130,1.07786e+06
0.064,4.0989e-05,382725,6137.02,46001,988166,175852,199682,1.07986e+06
0.066,4.32139e-05,380522,5337.08,45848.3,983832,179779,199660,1.08153e+06
0.068,4.54674e-05,378319,4537.14,45695.5,979499,183705,199637,1.08319e+06
0.07,4.77457e-05,376116,3737.2,45542.7,975166,187631,199615,1.08486e+06
0.072,5.00403e-05,371204,1195.18,45708.2,966966,186548,189077,1.0847e+06
0.074,5.23452e-05,365856,-1627.89,45925,958141,184656,176843,1.08424e+06
0.076,5.46591e-05,360508,-4450.95,46141.9,949317,182764,164608,1.08378e+06
0.078,5.69809e-05,355160,-7274.03,46358.7,940493,180873,152374,1.08333e+06
0.08,5.93098e-05,349812,-10097.1,46575.5,931669,178981,140139,1.08287e+06
0.082,6.16449e-05,344463,-12920.2,46792.3,922845,177090,127905,1.08241e+06
0.084,6.39855e-05,339115,-15743.2,47009.2,914021,175198,115670,1.08196e+06
0.086,6.63311e-05,333767,-18566.3,47226,905197,173306,103436,1.0815e+06
0.088,6.86816e-05,329616,-21081,47199.8,897902,172138,92950.9,1.08242e+06
0.09,7.10411e-05,331917,-21934,45863.3,898847,174869,91895.3,1.09075e+06
0.092,7.34083e-05,334218,-22787,44526.8,899792,177600,90839.8,1.09908e+06
0.094,7.57825e-05,336518,-23640,43190.3,900737,180331,89784.3,1.10741e+06
0.096,7.81631e-05,338819,-24492.9,41853.8,901682,183062,88728.7,1.11574e+06
0.098,8.05494e-05,341120,-25345.9,40517.3,902628,185793,87673.2,1.12407e+06
0.1,8.32104e-05,347585,-26762.1,39702,914387,189004,87979.3,1.13998e+06
0.102,8.67425e-05,367470,-29993.8,40566.6,961003,193760,92674,1.18032e+06
0.104,9.02762e-05,387355,-33225.4,41431.1,1.00762e+06,198517,97368.7,1.22066e+06
0.106,9.38112e-05,407239,-36457.1,42295.7,1.05424e+06,203273,102063,1.261e+06
