"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.20623e+06,-68775.1,-6292.91,2.42739e+06,484712,1.0387e+06,1.56623e+06
0.002,1.85112e-06,1.14608e+06,-62779.5,-5426.85,2.33808e+06,454403,958311,1.52874e+06
0.004,3.00411e-06,1.1134e+06,-60258.7,-4390.2,2.28198e+06,436927,919765,1.5035e+06
0.006,3.97374e-06,1.08969e+06,-58872.9,-3297.83,2.23672e+06,423643,894888,1.48226e+06
0.008,4.96692e-06,1.06598e+06,-57487.2,-2205.45,2.19146e+06,410359,870010,1.46102e+06
0.01,5.97191e-06,1.04227e+06,-56101.5,-1113.07,2.1462e+06,397075,845132,1.43978e+06
0.012,6.98362e-06,1.01855e+06,-54715.8,-20.6982,2.10094e+06,383791,820254,1.41854e+06
0.014,7.9995e-06,994842,-53330.1,1071.68,2.05568e+06,370507,795377,1.3973e+06
0.016,8.98402e-06,971122,-51528.8,2309.12,2.00928e+06,358192,771923,1.37628e+06
0.018,9.88403e-06,947377,-48679.8,3912.28,1.95999e+06,348322,752062,1.35582e+06
0.02,1.07849e-05,923632,-45830.8,5515.44,1.91071e+06,338451,732200,1.33536e+06
0.022,1.16864e-05,899888,-42981.8,7118.6,1.86142e+06,328581,712339,1.3149e+06
0.024,1.25884e-05,876143,-40132.8,8721.75,1.81214e+06,318711,692478,1.29444e+06
0.026,1.34909e-05,852399,-37283.8,10324.9,1.76285e+06,308840,672616,1.27398e+06
0.028,1.43936e-05,828654,-34434.8,11928.1,1.71357e+06,298970,652755,1.25351e+06
0.03,1.52967e-05,804910,-31585.8,13531.2,1.66428e+06,289099,632893,1.23305e+06
0.032,1.62e-05,781165,-28736.8,15134.4,1.615e+06,279229,613032,1.21259e+06
0.034,1.71034e-05,757421,-25887.8,16737.6,1.56571e+06,269359,593170,1.19213e+06
0.036,1.80071e-05,733676,-23038.8,18340.7,1.51643e+06,259488,573309,1.17167e+06
0.038,1.89108e-05,709932,-20189.8,19943.9,1.46714e+06,249618,553447,1.15121e+06
0.04,1.98147e-05,686187,-17340.8,21547,1.41785e+06,239748,533586,1.13075e+06
0.042,2.07187e-05,662443,-14491.8,23150.2,1.36857e+06,229877,513724,1.11028e+06
0.044,2.16228e-05,638698,-11642.8,24753.3,1.31928e+06,220007,493863,1.08982e+06
0.046,2.2527e-05,614954,-8793.83,26356.5,1.27e+06,210136,474001,1.06936e+06
0.048,2.34312e-05,591209,-5944.83,27959.7,1.22071e+06,200266,454140,1.0489e+06
0.05,2.53575e-05,563912,-3808.43,30453.1,1.18574e+06,194782,422315,1.04856e+06
0.052,2.76539e-05,535335,-1929.02,33267.6,1.15594e+06,190880,386176,1.05547e+06
0.054,2.99518e-05,506757,-49.6155,36082.1,1.12613e+06,186977,350037,1.06239e+06
0.056,3.22508e-05,478179,1829.79,38896.6,1.09632e+06,183075,313898,1.0693e+06
0.058,3.45507e-05,449601,3709.19,41711.1,1.06651e+06,179173,277760,1.07622e+06
0.06,3.68514e-05,421023,5588.6,44525.6,1.03671e+06,175271,241621,1.08313e+06
0.062,3.91526e-05,392446,7468,47340.1,1.0069e+06,171368,205482,1.09005e+06
0.064,4.13727e-05,388435,6842.57,47401.4,1.00079e+06,174822,203003,1.09205e+06
0.066,4.36198e-05,386212,6034.91,47262.4,996401,178811,202974,1.0937e+06
