"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.1901e+06,-68619.7,-6401.03,2.39538e+06,481315,1.02499e+06,1.54853e+06
0.002,1.82817e-06,1.13071e+06,-62706.8,-5560,2.30723e+06,451422,945668,1.51147e+06
0.004,2.96864e-06,1.09844e+06,-60217.8,-4555.24,2.25185e+06,434187,907613,1.48652e+06
0.006,3.92869e-06,1.07502e+06,-58847.4,-3496.99,2.20718e+06,421088,883038,1.46553e+06
0.008,4.91201e-06,1.05161e+06,-57477,-2438.74,2.16252e+06,407989,858462,1.44454e+06
0.01,5.90699e-06,1.02819e+06,-56106.6,-1380.49,2.11785e+06,394890,833887,1.42355e+06
0.012,6.90861e-06,1.00477e+06,-54736.2,-322.238,2.07318e+06,381791,809312,1.40256e+06
0.014,7.91433e-06,981359,-53365.8,736.012,2.02851e+06,368692,784736,1.38157e+06
0.016,8.889e-06,957932,-51584.7,1938.62,1.98272e+06,356548,761562,1.36079e+06
0.018,9.77997e-06,934480,-48768.4,3505.16,1.93408e+06,346812,741921,1.34053e+06
0.02,1.06718e-05,911027,-45952.2,5071.7,1.88545e+06,337076,722280,1.32028e+06
0.022,1.15642e-05,887575,-43135.9,6638.25,1.83681e+06,327340,702638,1.30003e+06
0.024,1.24572e-05,864123,-40319.6,8204.79,1.78817e+06,317604,682997,1.27977e+06
0.026,1.33505e-05,840670,-37503.3,9771.33,1.73954e+06,307868,663356,1.25952e+06
0.028,1.42442e-05,817218,-34687.1,11337.9,1.6909e+06,298132,643714,1.23927e+06
0.03,1.51382e-05,793766,-31870.8,12904.4,1.64227e+06,288396,624073,1.21901e+06
0.032,1.60324e-05,770313,-29054.5,14471,1.59363e+06,278661,604431,1.19876e+06
0.034,1.69267e-05,746861,-26238.2,16037.5,1.54499e+06,268925,584790,1.17851e+06
0.036,1.78213e-05,723409,-23422,17604,1.49636e+06,259189,565149,1.15825e+06
0.038,1.87159e-05,699956,-20605.7,19170.6,1.44772e+06,249453,545507,1.138e+06
0.04,1.96107e-05,676504,-17789.4,20737.1,1.39909e+06,239717,525866,1.11775e+06
0.042,2.05056e-05,653051,-14973.1,22303.7,1.35045e+06,229981,506224,1.09749e+06
0.044,2.14006e-05,629599,-12156.9,23870.2,1.30182e+06,220245,486583,1.07724e+06
0.046,2.22957e-05,606147,-9340.58,25436.8,1.25318e+06,210509,466942,1.05699e+06
0.048,2.31908e-05,582694,-6524.31,27003.3,1.20454e+06,200773,447300,1.03673e+06
0.05,2.50928e-05,555653,-4391.54,29442.8,1.16988e+06,195354,415853,1.0362e+06
0.052,2.73595e-05,527317,-2505.27,32197.3,1.14025e+06,191492,380148,1.04278e+06
0.054,2.96277e-05,498981,-619.012,34951.7,1.11062e+06,187631,344442,1.04937e+06
0.056,3.1897e-05,470645,1267.25,37706.1,1.08099e+06,183769,308737,1.05595e+06
0.058,3.41671e-05,442309,3153.51,40460.5,1.05137e+06,179907,273032,1.06253e+06
0.06,3.6438e-05,413972,5039.77,43214.9,1.02174e+06,176045,237327,1.06911e+06
0.062,3.87096e-05,385636,6926.04,45969.3,992109,172183,201621,1.0757e+06
0.064,4.09033e-05,381662,6312.16,46019.5,986073,175587,199172,1.07772e+06
0.066,4.31238e-05,379460,5516.4,45873,981754,179520,199142,1.0794e+06
0.068,4.53729e-05,377258,4720.63,45726.4,977434,183453,199113,1.08109e+06
0.07,4.76466e-05,375056,3924.86,45579.9,973115,187385,199083,1.08278e+06
0.072,4.99365e-05,370149,1390.93,45752,964930,186319,188556,1.08263e+06
0.074,5.22365e-05,364804,-1423.44,45975.5,956122,184446,176336,1.08218e+06
0.076,5.45456e-05,359460,-4237.79,46199.1,947314,182572,164116,1.08174e+06
0.078,5.68626e-05,354116,-7052.16,46422.6,938506,180699,151895,1.0813e+06
0.08,5.91866e-05,348772,-9866.51,46646.1,929697,178826,139675,1.08085e+06
0.082,6.15168e-05,343428,-12680.9,46869.6,920889,176953,127455,1.08041e+06
0.084,6.38525e-05,338083,-15495.2,47093.1,912081,175080,115235,1.07996e+06
0.086,6.61932e-05,332739,-18309.6,47316.7,903273,173206,103014,1.07952e+06
0.088,6.85388e-05,328590,-20816.4,47296.3,895993,172054,92542.3,1.08045e+06
0.09,7.08934e-05,330885,-21665.7,45961.2,896949,174786,91492.4,1.08876e+06
0.092,7.32557e-05,333180,-22515,44626,897905,177518,90442.6,1.09707e+06
0.094,7.56249e-05,335475,-23364.3,43290.9,898861,180251,89392.7,1.10538e+06
0.096,7.80004e-05,337770,-24213.6,41955.8,899817,182983,88342.9,1.1137e+06
0.098,8.03818e-05,340065,-25062.9,40620.7,900772,185715,87293,1.12201e+06
0.1,8.30371e-05,346513,-26476,39805.7,912517,188925,87602.7,1.13788e+06
0.102,8.65616e-05,366343,-29706.6,40666.8,959031,193673,92294.1,1.17812e+06
0.104,9.00876e-05,386173,-32937.1,41527.9,1.00555e+06,198422,96985.5,1.21837e+06
0.106,9.3615e-05,406004,-36167.7,42389,1.05206e+06,203171,101677,1.25861e+06
0.108,9.71437e-05,425834,-39398.3,43250.1,1.09858e+06,207920,106368,1.29885e+06
0.11,0.000100673,445664,-42628.8,44111.2,1.14509e+06,212669,111060,1.33909e+06
0.112,0.000104204,465494,-45859.4,44972.3,1.1916e+06,217418,115751,1.37934e+06
0.114,0.000107736,485325,-49090,45833.4,1.23812e+06,222166,120442,1.41958e+06
0.116,0.000111421,479052,-49371,44697,1.22063e+06,223541,118364,1.40789e+06
0.118,0.000115269,445010,-46514.4,41435.6,1.13507e+06,221327,109085,1.34097e+06
0.12,0.000119117,410969,-43657.8,38174.3,1.0495e+06,219113,99804.9,1.27404e+06
0.122,0.000122966,376927,-40801.2,34912.9,963929,216899,90525.3,1.20712e+06
0.124,0.000126815,342886,-37944.6,31651.6,878361,214685,81245.7,1.14019e+06
0.126,0.000130664,308844,-35088,28390.2,792793,212471,71966.1,1.07326e+06
0.128,0.000134514,274802,-32231.4,25128.9,707225,210256,62686.4,1.00634e+06
0.13,0.000138364,240761,-29374.8,21867.6,621657,208042,53406.9,939413
0.132,0.000142481,227783,-29180.1,19637.3,588014,206614,49752.3,915453
0.134,0.000146766,227266,-30560.3,18016.9,585090,205652,49425.5,916912
0.136,0.000151061,226749,-31940.5,16396.6,582165,204689,49098.8,918372
0.138,0.000155368,226232,-33320.6,14776.2,579241,203726,48772.1,919831
0.14,0.000159683,225715,-34700.8,13155.9,576317,202763,48445.3,921291
0.142,0.000164007,225198,-36081,11535.6,573393,201800,48118.6,922750
0.144,0.000168339,224681,-37461.2,9915.23,570469,200837,47791.9,924210
0.146,0.000172678,224165,-38841.4,8294.89,567545,199875,47465.1,925669
0.148,0.000177024,223648,-40221.6,6674.55,564621,198912,47138.4,927129
0.15,0.000181376,223131,-41601.7,5054.21,561697,197949,46811.7,928588
0.152,0.000185735,222614,-42981.9,3433.88,558773,196986,46484.9,930047
0.154,0.000190098,222097,-44362.1,1813.54,555848,196023,46158.2,931507
0.156,0.000194467,221580,-45742.3,193.194,552924,195060,45831.5,932966
0.158,0.000198841,221063,-47122.5,-1427.15,550000,194098,45504.7,934426
0.16,0.000203218,220546,-48502.6,-3047.48,547076,193135,45178,935885
0.162,0.000207601,220029,-49882.8,-4667.82,544152,192172,44851.3,937345
0.164,0.000211987,219513,-51263,-6288.16,541228,191209,44524.5,938804
0.166,0.000216376,218996,-52643.2,-7908.49,538304,190246,44197.8,940264
0.168,0.00022077,218479,-54023.4,-9528.83,535380,189284,43871,941723
0.17,0.000225166,217962,-55403.5,-11149.2,532456,188321,43544.3,943183
0.172,0.000229565,217445,-56783.7,-12769.5,529531,187358,43217.6,944642
0.174,0.000233877,219107,-57716.6,-11196.1,535205,186470,42633.6,943179
0.176,0.000238141,221959,-58405.1,-7877.55,545576,185623,41909,940120
0.178,0.000242896,222206,-58306.4,-9275.78,546991,184130,43337.9,929065
0.18,0.000248119,221037,-57620.5,-14711.4,543089,182028,47247.5,913540
0.182,0.000253633,230329,-58300.2,-17809.5,570092,179624,57275.7,928744
0.184,0.000259149,239621,-58979.9,-20907.7,597094,177219,67304,943948
0.186,0.000264665,248913,-59659.6,-24005.8,624097,174814,77332.3,959152
0.188,0.000270182,258205,-60339.3,-27103.9,651100,172409,87360.5,974355
0.19,0.000275699,267497,-61019,-30202.1,678103,170004,97388.7,989559
0.192,0.000281217,276789,-61698.7,-33300.2,705106,167599,107417,1.00476e+06
0.194,0.000286736,286081,-62378.4,-36398.3,732109,165194,117445,1.01997e+06
0.196,0.000292255,295373,-63058,-39496.4,759112,162789,127473,1.03517e+06
0.198,0.000297968,299223,-61988.5,-39793.3,766759,160370,131116,1.03319e+06
0.2,0.000303755,301096,-60283.5,-39072.5,767375,157945,132439,1.02496e+06
0.202,0.000309544,302969,-58578.5,-38351.6,767990,155521,133762,1.01673e+06
0.204,0.000315336,304842,-56873.5,-37630.8,768605,153096,135084,1.0085e+06
0.206,0.000321131,306715,-55168.5,-36909.9,769221,150672,136407,1.00028e+06
0.208,0.000326929,308588,-53463.5,-36189,769836,148248,137730,992050
0.21,0.00033273,310460,-51758.5,-35468.2,770451,145823,139052,983823
0.212,0.000338532,312333,-50053.5,-34747.3,771067,143399,140375,975595
0.214,0.000344337,314206,-48348.5,-34026.4,771682,140974,141698,967368
0.216,0.000350144,316079,-46643.5,-33305.6,772298,138550,143021,959140
0.218,0.000355954,317952,-44938.5,-32584.7,772913,136125,144343,950913
0.22,0.000361765,319825,-43233.5,-31863.9,773528,133701,145666,942685
0.222,0.000367578,321698,-41528.5,-31143,774144,131276,146989,934458
0.224,0.000373393,323570,-39823.5,-30422.1,774759,128852,148311,926230
0.226,0.000379616,312613,-37250.2,-23830.9,757547,126395,142988,915341
0.228,0.00038585,301354,-34656.5,-17101.9,739917,123937,137509,904389
0.23,0.000392084,290096,-32062.8,-10372.9,722286,121479,132030,893438
0.232,0.000398318,278837,-29469.1,-3643.93,704656,119021,126551,882486
0.234,0.000404553,267578,-26875.5,3085.09,687025,116563,121072,871535
0.236,0.000410788,256320,-24281.8,9814.1,669395,114105,115593,860583
0.238,0.000417023,245061,-21688.1,16543.1,651765,111647,110114,849632
0.24,0.000423482,242666,-21411.4,21211.1,646173,110811,109397,861092
0.242,0.000429991,242187,-21635.6,25433.5,643184,110326,109710,877399
0.244,0.000436503,241708,-21859.8,29655.9,640195,109841,110023,893705
0.246,0.000443016,241229,-22084,33878.4,637206,109357,110337,910011
0.248,0.00044953,240750,-22308.2,38100.8,634217,108872,110650,926317
0.25,0.000456047,240271,-22532.4,42323.2,631228,108387,110963,942623
0.252,0.000462565,239791,-22756.6,46545.6,628238,107902,111276,958929
0.254,0.000469084,239312,-22980.8,50768.1,625249,107417,111589,975235
