"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.20855e+06,-69345,-6550.96,2.43243e+06,488934,1.04088e+06,1.57257e+06
0.002,1.8566e-06,1.14825e+06,-63338.1,-5702.1,2.34292e+06,458576,960345,1.53492e+06
0.004,3.01494e-06,1.11548e+06,-60810.7,-4686.08,2.28668e+06,441072,921710,1.50958e+06
0.006,3.9901e-06,1.09171e+06,-59420,-3615.46,2.24132e+06,427767,896762,1.48827e+06
0.008,4.98891e-06,1.06793e+06,-58029.3,-2544.84,2.19596e+06,414463,871815,1.46695e+06
0.01,5.99956e-06,1.04415e+06,-56638.6,-1474.22,2.15059e+06,401158,846867,1.44563e+06
0.012,7.01694e-06,1.02037e+06,-55247.9,-403.6,2.10523e+06,387854,821920,1.42431e+06
0.014,8.0385e-06,996596,-53857.2,667.02,2.05987e+06,374549,796973,1.40299e+06
0.016,9.02849e-06,972809,-52049.3,1883.72,2.01336e+06,362214,773448,1.38189e+06
0.018,9.93339e-06,948995,-49189.7,3468.71,1.96396e+06,352321,753511,1.36133e+06
0.02,1.08392e-05,925181,-46330.1,5053.69,1.91456e+06,342429,733574,1.34077e+06
0.022,1.17456e-05,901367,-43470.5,6638.67,1.86517e+06,332537,713637,1.32021e+06
0.024,1.26525e-05,877554,-40610.9,8223.66,1.81577e+06,322645,693700,1.29965e+06
0.026,1.35598e-05,853740,-37751.4,9808.64,1.76637e+06,312753,673763,1.2791e+06
0.028,1.44675e-05,829926,-34891.8,11393.6,1.71698e+06,302860,653826,1.25854e+06
0.03,1.53754e-05,806112,-32032.2,12978.6,1.66758e+06,292968,633889,1.23798e+06
0.032,1.62836e-05,782299,-29172.6,14563.6,1.61818e+06,283076,613952,1.21742e+06
0.034,1.7192e-05,758485,-26313,16148.6,1.56878e+06,273184,594015,1.19686e+06
0.036,1.81005e-05,734671,-23453.4,17733.6,1.51939e+06,263292,574078,1.1763e+06
0.038,1.90092e-05,710857,-20593.8,19318.5,1.46999e+06,253399,554141,1.15575e+06
0.04,1.9918e-05,687044,-17734.2,20903.5,1.42059e+06,243507,534204,1.13519e+06
0.042,2.08269e-05,663230,-14874.6,22488.5,1.3712e+06,233615,514267,1.11463e+06
0.044,2.17359e-05,639416,-12015,24073.5,1.3218e+06,223723,494330,1.09407e+06
0.046,2.2645e-05,615602,-9155.43,25658.5,1.2724e+06,213831,474393,1.07351e+06
0.048,2.35541e-05,591789,-6295.84,27243.5,1.22301e+06,203938,454456,1.05295e+06
0.05,2.54855e-05,564326,-4122.03,29713.2,1.18779e+06,198421,422518,1.05241e+06
0.052,2.77872e-05,535546,-2195.56,32502,1.15768e+06,194482,386251,1.0591e+06
0.054,3.00903e-05,506767,-269.091,35290.8,1.12757e+06,190543,349984,1.06578e+06
0.056,3.23946e-05,477988,1657.38,38079.6,1.09746e+06,186604,313717,1.07246e+06
0.058,3.46998e-05,449209,3583.85,40868.4,1.06735e+06,182665,277450,1.07914e+06
0.06,3.70058e-05,420430,5510.32,43657.2,1.03725e+06,178726,241182,1.08582e+06
0.062,3.93123e-05,391651,7436.79,46446,1.00714e+06,174787,204915,1.0925e+06
0.064,4.154e-05,387615,6820.19,46491.1,1.00101e+06,178225,202428,1.09452e+06
0.066,4.37947e-05,385380,6018.58,46336.6,996625,182201,202399,1.0962e+06
0.068,4.60786e-05,383145,5216.97,46182.1,992241,186176,202369,1.09788e+06
0.07,4.83874e-05,380910,4415.35,46027.6,987857,190152,202340,1.09955e+06
0.072,5.07128e-05,375938,1850.28,46196.8,979567,189054,191654,1.09936e+06
0.074,5.30486e-05,370523,-999.302,46418.1,970647,187138,179248,1.09887e+06
0.076,5.53935e-05,365108,-3848.87,46639.5,961727,185222,166843,1.09838e+06
0.078,5.77465e-05,359694,-6698.46,46860.8,952807,183306,154437,1.09789e+06
0.08,6.01065e-05,354279,-9548.03,47082.2,943887,181390,142032,1.0974e+06
0.082,6.24729e-05,348864,-12397.6,47303.5,934967,179474,129627,1.09691e+06
0.084,6.48449e-05,343450,-15247.2,47524.9,926047,177558,117221,1.09642e+06
0.086,6.72219e-05,338035,-18096.8,47746.2,917127,175642,104816,1.09593e+06
0.088,6.96038e-05,333832,-20634.6,47720.9,909755,174459,94184,1.09684e+06
0.09,7.1995e-05,336162,-21492.1,46365.5,910724,177230,93111.7,1.10527e+06
0.092,7.43939e-05,338492,-22349.6,45010.2,911694,180000,92039.3,1.1137e+06
0.094,7.67998e-05,340822,-23207.2,43654.9,912664,182771,90967,1.12213e+06
0.096,7.92123e-05,343152,-24064.7,42299.6,913634,185542,89894.6,1.13057e+06
0.098,8.16305e-05,345482,-24922.2,40944.3,914603,188312,88822.3,1.139e+06
0.1,8.43271e-05,352031,-26350.2,40117,926530,191570,89131,1.15512e+06
0.102,8.79064e-05,372177,-29616.5,40991.4,973771,196398,93890.8,1.196e+06
0.104,9.14872e-05,392323,-32882.8,41865.8,1.02101e+06,201225,98650.6,1.23688e+06
0.106,9.50694e-05,412469,-36149.2,42740.3,1.06825e+06,206053,103410,1.27776e+06
0.108,9.86529e-05,432615,-39415.5,43614.7,1.11549e+06,210881,108170,1.31864e+06
0.11,0.000102237,452760,-42681.8,44489.2,1.16273e+06,215708,112930,1.35952e+06
0.112,0.000105823,472907,-45948.1,45363.6,1.20997e+06,220536,117690,1.4004e+06
0.114,0.000109409,493052,-49214.5,46238.1,1.25721e+06,225364,122450,1.44129e+06
0.116,0.000113152,486688,-49492.7,45087.9,1.23946e+06,226762,120335,1.42943e+06
0.118,0.00011706,452123,-46592.4,41784,1.15256e+06,224514,110906,1.36147e+06
0.12,0.000120968,417557,-43692,38480.2,1.06567e+06,222265,101478,1.29351e+06
0.122,0.000124876,382992,-40791.6,35176.3,978769,220016,92050.2,1.22555e+06
0.124,0.000128785,348427,-37891.3,31872.4,891873,217767,82622.1,1.15759e+06
0.126,0.000132695,313861,-34990.9,28568.5,804976,215518,73193.9,1.08964e+06
0.128,0.000136604,279296,-32090.6,25264.7,718079,213270,63765.8,1.02168e+06
0.13,0.000140514,244731,-29190.2,21960.8,631183,211021,54337.7,953719
0.132,0.000144695,231549,-28994.2,19699.2,597016,209573,50619.7,929394
0.134,0.000149047,231018,-30398.3,18054.3,594044,208599,50279.8,930884
0.136,0.000153409,230488,-31802.3,16409.3,591072,207625,49940,932374
0.138,0.000157782,229957,-33206.2,14764.4,588100,206651,49600.1,933865
0.14,0.000162165,229427,-34610.3,13119.5,585128,205677,49260.3,935355
0.142,0.000166556,228896,-36014.3,11474.5,582156,204703,48920.5,936845
0.144,0.000170955,228366,-37418.2,9829.62,579184,203729,48580.6,938335
0.146,0.000175362,227835,-38822.3,8184.69,576212,202755,48240.8,939825
0.148,0.000179776,227304,-40226.3,6539.75,573240,201781,47900.9,941315
0.15,0.000184196,226774,-41630.3,4894.81,570268,200807,47561.1,942805
0.152,0.000188622,226243,-43034.3,3249.89,567296,199833,47221.3,944295
0.154,0.000193053,225713,-44438.3,1604.95,564324,198859,46881.4,945785
0.156,0.00019749,225182,-45842.3,-39.9869,561352,197884,46541.6,947275
0.158,0.000201932,224652,-47246.3,-1684.92,558380,196910,46201.7,948766
0.16,0.000206378,224121,-48650.3,-3329.85,555409,195936,45861.9,950256
0.162,0.000210828,223590,-50054.3,-4974.79,552437,194962,45522.1,951746
0.164,0.000215282,223060,-51458.3,-6619.72,549465,193988,45182.2,953236
0.166,0.00021974,222529,-52862.3,-8264.65,546493,193014,44842.4,954726
0.168,0.000224202,221999,-54266.3,-9909.58,543521,192040,44502.5,956216
0.17,0.000228667,221468,-55670.3,-11554.5,540549,191066,44162.7,957706
0.172,0.000233134,220938,-57074.3,-13199.5,537577,190092,43822.8,959196
0.174,0.000237513,222627,-58021.1,-11602.3,543342,189190,43228.5,957697
0.176,0.000241844,225529,-58718,-8233.68,553881,188328,42495.2,954563
0.178,0.000246674,225780,-58618.2,-9654.3,555318,186812,43932.5,943331
0.18,0.000251978,224592,-57923.1,-15174.7,551351,184681,47877.5,927577
0.182,0.000257579,234055,-58601.2,-18325.5,578803,182246,58069.2,943033
0.184,0.00026318,243518,-59279.4,-21476.4,606255,179812,68261,958488
0.186,0.000268783,252981,-59957.5,-24627.3,633707,177377,78452.9,973944
0.188,0.000274386,262444,-60635.6,-27778.1,661159,174942,88644.6,989399
0.19,0.000279989,271908,-61313.8,-30929,688611,172507,98836.4,1.00485e+06
0.192,0.000285594,281371,-61991.9,-34079.8,716063,170073,109028,1.02031e+06
0.194,0.000291199,290834,-62670,-37230.7,743515,167638,119220,1.03577e+06
0.196,0.000296804,300297,-63348.1,-40381.5,770967,165203,129412,1.05122e+06
0.198,0.000302606,304216,-62256.1,-40696.5,778739,162759,133095,1.04921e+06
0.2,0.000308483,306121,-60520.9,-39981.1,779362,160311,134413,1.04086e+06
0.202,0.000314363,308026,-58785.7,-39265.6,779985,157862,135731,1.03251e+06
0.204,0.000320246,309931,-57050.5,-38550.2,780607,155414,137050,1.02416e+06
0.206,0.000326131,311835,-55315.3,-37834.8,781230,152966,138368,1.01581e+06
0.208,0.00033202,313740,-53580.1,-37119.4,781852,150518,139686,1.00746e+06
0.21,0.000337911,315645,-51845,-36404,782475,148070,141004,999104
0.212,0.000343804,317550,-50109.8,-35688.6,783098,145622,142323,990752
0.214,0.0003497,319454,-48374.6,-34973.1,783720,143174,143641,982400
0.216,0.000355598,321359,-46639.4,-34257.7,784343,140726,144959,974048
0.218,0.000361498,323264,-44904.2,-33542.3,784965,138278,146278,965697
0.22,0.0003674,325169,-43169,-32826.9,785588,135830,147596,957345
0.222,0.000373303,327073,-41433.8,-32111.5,786210,133382,148914,948993
0.224,0.000379209,328978,-39698.6,-31396.1,786833,130934,150232,940641
0.226,0.000385531,317862,-37075.4,-24712.8,769338,128466,144819,929572
0.228,0.000391862,306439,-34431.4,-17889.3,751418,125997,139247,918438
0.23,0.000398194,295017,-31787.3,-11065.9,733498,123528,133675,907305
0.232,0.000404526,283595,-29143.3,-4242.56,715578,121059,128104,896171
0.234,0.000410859,272173,-26499.2,2580.85,697658,118590,122532,885038
0.236,0.000417191,260750,-23855.1,9404.27,679738,116121,116960,873905
0.238,0.000423524,249328,-21211.1,16227.7,661818,113652,111388,862771
0.24,0.000430085,246902,-20929,20967.4,656141,112829,110668,874423
0.242,0.000436698,246421,-21157.5,25256.7,653111,112362,110996,891000
0.244,0.000443311,245939,-21386,29545.9,650081,111895,111324,907578
0.246,0.000449927,245458,-21614.5,33835.2,647051,111429,111652,924155
0.248,0.000456544,244977,-21843.1,38124.5,644021,110962,111980,940732
0.25,0.000463163,244496,-22071.6,42413.7,640990,110495,112309,957310
0.252,0.000469784,244014,-22300.1,46703,637960,110028,112637,973887
0.254,0.000476406,243533,-22528.6,50992.3,634930,109561,112965,990465
0.256,0.000483029,243052,-22757.1,55281.6,631900,109094,113293,1.00704e+06
0.258,0.000489654,242570,-22985.7,59570.8,628870,108627,113621,1.02362e+06
0.26,0.00049628,242089,-23214.2,63860.1,625840,108160,113949,1.0402e+06
0.262,0.000503265,237065,-21405.7,66110.3,621875,111762,113802,1.048e+06
0.264,0.000510321,231151,-19198.2,67961,617728,116160,113560,1.05409e+06
0.266,0.000517378,225237,-16990.6,69811.6,613580,120559,113319,1.06017e+06
0.268,0.000524435,219322,-14783,71662.3,609432,124957,113078,1.06626e+06
0.27,0.000531492,213408,-12575.4,73513,605284,129355,112837,1.07234e+06
0.272,0.000538549,207494,-10367.9,75363.6,601136,133754,112596,1.07843e+06
0.274,0.00054568,202688,-7980.5,76726.9,597006,137669,112399,1.08278e+06
0.276,0.000553156,203021,-4759.55,75831.1,592957,139343,112409,1.07908e+06
0.278,0.000560632,203353,-1538.59,74935.3,588908,141017,112419,1.07538e+06
0.28,0.000568109,203686,1682.36,74039.4,584859,142691,112430,1.07168e+06
0.282,0.000575881,209755,4423.66,71382.2,593312,140282,111008,1.05491e+06
0.284,0.000583768,218042,6979.41,68043.6,606602,136294,109032,1.03308e+06
0.286,0.000591654,226330,9535.16,64705,619892,132307,107057,1.01125e+06
0.288,0.00059954,234618,12090.9,61366.5,633181,128319,105081,989427
0.29,0.000607427,242905,14646.6,58027.9,646471,124331,103105,967600
0.292,0.000615314,251193,17202.4,54689.3,659761,120343,101130,945773
0.294,0.000623281,255018,16976.9,51075.3,672837,119777,100637,930261
0.296,0.000631262,258117,16298.6,47416.3,685878,119767,100387,915778
0.298,0.000639245,261215,15620.3,43757.4,698919,119757,100136,901294
0.3,0.000647229,264314,14942,40098.4,711960,119747,99885.6,886811
