"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.19646e+06,-69072.2,-6437.15,2.40818e+06,483343,1.0304e+06,1.55635e+06
0.002,1.83775e-06,1.13676e+06,-63125.3,-5590.76,2.31956e+06,453288,950653,1.5191e+06
0.004,2.98395e-06,1.10432e+06,-60621.3,-4580.29,2.26388e+06,435961,912394,1.49403e+06
0.006,3.94869e-06,1.08078e+06,-59242,-3516.21,2.21898e+06,422792,887688,1.47293e+06
0.008,4.93683e-06,1.05724e+06,-57862.7,-2452.14,2.17407e+06,409622,862981,1.45183e+06
0.01,5.93669e-06,1.0337e+06,-56483.3,-1388.06,2.12916e+06,396452,838275,1.43073e+06
0.012,6.94321e-06,1.01016e+06,-55104,-323.989,2.08426e+06,383283,813569,1.40964e+06
0.014,7.95387e-06,986624,-53724.7,740.086,2.03935e+06,370113,788863,1.38854e+06
0.016,8.93329e-06,963075,-51932.4,1949.32,1.99331e+06,357904,765566,1.36765e+06
0.018,9.82849e-06,939500,-49098.8,3524.49,1.94442e+06,348117,745823,1.3473e+06
0.02,1.07245e-05,915926,-46265.2,5099.66,1.89552e+06,338330,726080,1.32694e+06
0.022,1.16212e-05,892351,-43431.7,6674.84,1.84663e+06,328543,706336,1.30659e+06
0.024,1.25184e-05,868776,-40598.1,8250.01,1.79773e+06,318756,686593,1.28623e+06
0.026,1.3416e-05,845201,-37764.5,9825.19,1.74884e+06,308969,666850,1.26587e+06
0.028,1.4314e-05,821626,-34931,11400.4,1.69994e+06,299182,647106,1.24552e+06
0.03,1.52122e-05,798051,-32097.4,12975.5,1.65104e+06,289395,627363,1.22516e+06
0.032,1.61106e-05,774476,-29263.8,14550.7,1.60215e+06,279608,607620,1.20481e+06
0.034,1.70092e-05,750902,-26430.3,16125.9,1.55325e+06,269821,587876,1.18445e+06
0.036,1.7908e-05,727327,-23596.7,17701.1,1.50436e+06,260034,568133,1.1641e+06
0.038,1.88069e-05,703752,-20763.2,19276.2,1.45546e+06,250247,548390,1.14374e+06
0.04,1.9706e-05,680177,-17929.6,20851.4,1.40657e+06,240460,528646,1.12339e+06
0.042,2.06051e-05,656602,-15096,22426.6,1.35767e+06,230673,508903,1.10303e+06
0.044,2.15044e-05,633027,-12262.5,24001.8,1.30878e+06,220886,489160,1.08267e+06
0.046,2.24037e-05,609453,-9428.9,25576.9,1.25988e+06,211099,469416,1.06232e+06
0.048,2.33031e-05,585878,-6595.34,27152.1,1.21099e+06,201312,449673,1.04196e+06
0.05,2.52151e-05,558701,-4450.35,29604.7,1.17616e+06,195867,418063,1.04146e+06
