"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.44702e+06,-94129.2,-10978.1,2.8635e+06,311738,1.29163e+06,1.61067e+06
0.002,2.00676e-06,1.37996e+06,-87050.3,-9816.27,2.76447e+06,283377,1.20295e+06,1.57608e+06
0.004,3.161e-06,1.34203e+06,-83864,-8562.57,2.69974e+06,269436,1.15752e+06,1.55483e+06
0.006,4.08218e-06,1.31362e+06,-81949.2,-7278.85,2.64622e+06,260205,1.12623e+06,1.53794e+06
0.008,5.02899e-06,1.28521e+06,-80034.4,-5995.13,2.5927e+06,250974,1.09494e+06,1.52106e+06
0.01,5.9893e-06,1.2568e+06,-78119.7,-4711.41,2.53918e+06,241743,1.06364e+06,1.50417e+06
0.012,6.95753e-06,1.22839e+06,-76204.9,-3427.69,2.48566e+06,232512,1.03235e+06,1.48729e+06
0.014,7.93076e-06,1.19998e+06,-74290.1,-2143.98,2.43214e+06,223281,1.00105e+06,1.4704e+06
0.016,8.8651e-06,1.17157e+06,-71809.3,-451.65,2.37746e+06,215391,971557,1.45353e+06
0.018,9.69435e-06,1.14318e+06,-67901.4,2270.8,2.31984e+06,210880,946588,1.43671e+06
0.02,1.05242e-05,1.11478e+06,-63993.5,4993.25,2.26222e+06,206369,921619,1.41989e+06
0.022,1.13546e-05,1.08639e+06,-60085.7,7715.71,2.2046e+06,201858,896650,1.40307e+06
0.024,1.21854e-05,1.05799e+06,-56177.8,10438.2,2.14699e+06,197348,871681,1.38625e+06
0.026,1.30165e-05,1.0296e+06,-52269.9,13160.6,2.08937e+06,192837,846712,1.36942e+06
0.028,1.38478e-05,1.0012e+06,-48362.1,15883.1,2.03175e+06,188326,821743,1.3526e+06
0.03,1.46793e-05,972808,-44454.2,18605.5,1.97414e+06,183816,796774,1.33578e+06
0.032,1.55111e-05,944413,-40546.3,21328,1.91652e+06,179305,771805,1.31896e+06
0.034,1.6343e-05,916018,-36638.5,24050.4,1.8589e+06,174794,746836,1.30214e+06
0.036,1.7175e-05,887623,-32730.6,26772.9,1.80128e+06,170283,721867,1.28531e+06
0.038,1.80071e-05,859228,-28822.7,29495.3,1.74367e+06,165773,696899,1.26849e+06
0.04,1.88393e-05,830832,-24914.9,32217.8,1.68605e+06,161262,671930,1.25167e+06
0.042,1.96716e-05,802437,-21007,34940.2,1.62843e+06,156751,646961,1.23485e+06
0.044,2.0504e-05,774042,-17099.1,37662.7,1.57081e+06,152241,621992,1.21803e+06
0.046,2.13365e-05,745647,-13191.3,40385.1,1.5132e+06,147730,597023,1.2012e+06
0.048,2.2169e-05,717252,-9283.41,43107.6,1.45558e+06,143219,572054,1.18438e+06
0.05,2.44682e-05,682373,-6235.32,46918.9,1.41626e+06,145648,529445,1.19389e+06
0.052,2.7297e-05,645157,-3497.3,51122.9,1.38354e+06,150579,480475,1.21289e+06
0.054,3.01263e-05,607940,-759.289,55326.9,1.35082e+06,155510,431505,1.2319e+06
0.056,3.29561e-05,570724,1978.72,59530.9,1.3181e+06,160441,382534,1.2509e+06
0.058,3.57861e-05,533507,4716.73,63734.9,1.28538e+06,165373,333564,1.26991e+06
0.06,3.86164e-05,496291,7454.75,67938.9,1.25267e+06,170304,284594,1.28891e+06
0.062,4.14469e-05,459074,10192.8,72142.9,1.21995e+06,175235,235623,1.30792e+06
0.064,4.40277e-05,453632,9428.25,72563.4,1.21241e+06,181490,231937,1.31218e+06
0.066,4.66462e-05,450501,8408.92,72708.7,1.20671e+06,187842,231546,1.31537e+06
0.068,4.93135e-05,447370,7389.59,72853.9,1.20101e+06,194193,231154,1.31856e+06
0.07,5.20221e-05,444239,6370.27,72999.2,1.19531e+06,200544,230763,1.32175e+06
