"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.2603e+06,-73674.2,-7989.23,2.524e+06,440260,1.0976e+06,1.56185e+06
0.002,1.87758e-06,1.19879e+06,-67468.5,-7112.33,2.43284e+06,410692,1.01567e+06,1.52552e+06
0.004,3.02369e-06,1.16498e+06,-64821.6,-6070.9,2.37493e+06,394272,975616,1.50165e+06
0.006,3.97599e-06,1.14022e+06,-63337.2,-4975.73,2.32787e+06,382146,949247,1.48184e+06
0.008,4.9525e-06,1.11546e+06,-61852.8,-3880.55,2.28081e+06,370020,922877,1.46203e+06
0.01,5.94129e-06,1.0907e+06,-60368.4,-2785.38,2.23375e+06,357895,896508,1.44221e+06
0.012,6.93712e-06,1.06593e+06,-58884,-1690.2,2.1867e+06,345769,870138,1.4224e+06
0.014,7.93733e-06,1.04117e+06,-57399.6,-595.027,2.13964e+06,333643,843769,1.40259e+06
0.016,8.90444e-06,1.0164e+06,-55462.5,713.497,2.09142e+06,322573,818898,1.38296e+06
0.018,9.78224e-06,991585,-52384.4,2559.89,2.04029e+06,314162,797806,1.3638e+06
0.02,1.06608e-05,966773,-49306.2,4406.28,1.98916e+06,305751,776713,1.34463e+06
0.022,1.15401e-05,941961,-46228.1,6252.67,1.93803e+06,297340,755621,1.32547e+06
0.024,1.24198e-05,917148,-43149.9,8099.06,1.8869e+06,288928,734529,1.3063e+06
0.026,1.32999e-05,892336,-40071.8,9945.45,1.83577e+06,280517,713437,1.28713e+06
0.028,1.41804e-05,867524,-36993.6,11791.8,1.78464e+06,272106,692344,1.26797e+06
0.03,1.50611e-05,842712,-33915.5,13638.2,1.73351e+06,263695,671252,1.2488e+06
0.032,1.59421e-05,817900,-30837.3,15484.6,1.68238e+06,255284,650160,1.22963e+06
0.034,1.68232e-05,793087,-27759.2,17331,1.63125e+06,246873,629067,1.21047e+06
0.036,1.77045e-05,768275,-24681,19177.4,1.58012e+06,238462,607975,1.1913e+06
0.038,1.85859e-05,743463,-21602.9,21023.8,1.52899e+06,230051,586883,1.17213e+06
0.04,1.94674e-05,718651,-18524.7,22870.2,1.47786e+06,221640,565791,1.15297e+06
0.042,2.03491e-05,693838,-15446.6,24716.6,1.42673e+06,213229,544698,1.1338e+06
0.044,2.12308e-05,669026,-12368.4,26563,1.3756e+06,204818,523606,1.11463e+06
0.046,2.21126e-05,644214,-9290.29,28409.3,1.32446e+06,196406,502514,1.09547e+06
