"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.19795e+06,-69050,-6459.13,2.41113e+06,483974,1.0317e+06,1.55825e+06
0.002,1.8399e-06,1.13818e+06,-63096.8,-5614.19,2.32241e+06,453885,951865,1.52096e+06
0.004,2.98749e-06,1.1057e+06,-60592,-4603.9,2.26667e+06,436539,913566,1.49586e+06
0.006,3.95341e-06,1.08213e+06,-59213.5,-3539.6,2.22171e+06,423355,888834,1.47474e+06
0.008,4.94276e-06,1.05857e+06,-57835,-2475.3,2.17675e+06,410171,864102,1.45362e+06
0.01,5.94384e-06,1.035e+06,-56456.6,-1411,2.13178e+06,396987,839370,1.4325e+06
0.012,6.9516e-06,1.01143e+06,-55078.1,-346.701,2.08682e+06,383803,814639,1.41138e+06
0.014,7.9635e-06,987867,-53699.6,717.6,2.04186e+06,370620,789907,1.39026e+06
0.016,8.94411e-06,964289,-51907.4,1927.48,1.99576e+06,358397,766585,1.36935e+06
0.018,9.84043e-06,940684,-49072.1,3504.38,1.9468e+06,348598,746816,1.34897e+06
0.02,1.07376e-05,917079,-46236.8,5081.29,1.89783e+06,338799,727047,1.32859e+06
0.022,1.16354e-05,893474,-43401.5,6658.19,1.84887e+06,329000,707279,1.30821e+06
0.024,1.25337e-05,869869,-40566.2,8235.09,1.79991e+06,319202,687510,1.28783e+06
0.026,1.34324e-05,846265,-37730.8,9811.99,1.75095e+06,309403,667741,1.26745e+06
0.028,1.43315e-05,822660,-34895.5,11388.9,1.70199e+06,299604,647973,1.24707e+06
0.03,1.52308e-05,799055,-32060.2,12965.8,1.65303e+06,289805,628204,1.22669e+06
0.032,1.61304e-05,775450,-29224.9,14542.7,1.60406e+06,280006,608435,1.20631e+06
0.034,1.70301e-05,751845,-26389.6,16119.6,1.5551e+06,270207,588667,1.18593e+06
0.036,1.793e-05,728240,-23554.3,17696.5,1.50614e+06,260409,568898,1.16555e+06
0.038,1.883e-05,704635,-20718.9,19273.4,1.45718e+06,250610,549129,1.14517e+06
0.04,1.97302e-05,681030,-17883.6,20850.3,1.40822e+06,240811,529361,1.12479e+06
0.042,2.06304e-05,657425,-15048.3,22427.2,1.35926e+06,231012,509592,1.10441e+06
0.044,2.15308e-05,633820,-12213,24004.1,1.31029e+06,221213,489823,1.08403e+06
0.046,2.24312e-05,610216,-9377.69,25581,1.26133e+06,211414,470055,1.06365e+06
0.048,2.33317e-05,586611,-6542.37,27157.9,1.21237e+06,201615,450286,1.04327e+06
0.05,2.52459e-05,559398,-4395.03,29613.3,1.17749e+06,196158,418634,1.04275e+06
0.052,2.75273e-05,530884,-2495.8,32385.6,1.1477e+06,192266,382696,1.0494e+06
0.054,2.98101e-05,502371,-596.574,35157.9,1.1179e+06,188374,346758,1.05605e+06
0.056,3.2094e-05,473857,1302.65,37930.2,1.0881e+06,184482,310820,1.06269e+06
0.058,3.43788e-05,445344,3201.88,40702.5,1.0583e+06,180590,274883,1.06934e+06
