"arc_length","Vorticity_Magnitude"
0,nan
0.000200033,nan
0.000400066,nan
0.0006001,nan
0.000800014,nan
0.00100005,nan
0.00120008,nan
0.00139999,nan
0.00160003,nan
0.00180006,nan
0.00200009,nan
0.00220001,nan
0.00240004,nan
0.00260007,nan
0.00280011,nan
0.00300002,nan
0.00320005,nan
0.00340009,nan
0.0036,nan
0.00380003,nan
0.00400007,nan
0.0042001,nan
0.00440001,nan
0.00460005,nan
0.00480008,nan
0.005,nan
0.00520003,nan
0.00540006,nan
0.00560009,nan
0.00580001,nan
0.00600004,nan
0.00620008,nan
0.00639999,nan
0.00660002,nan
0.00680006,nan
0.00700009,nan
0.0072,nan
0.00740004,nan
0.00760007,nan
0.0078001,nan
0.00800002,481.353
0.00820005,481.285
0.00840008,481.217
0.0086,481.148
0.00880003,481.08
0.00900006,481.012
0.0092001,480.943
0.00940001,480.875
0.00960004,480.807
0.00980008,480.739
0.00999999,480.671
0.0102,480.603
0.0104001,480.535
0.0106001,480.467
0.0108,480.399
0.011,480.331
0.0112001,480.263
0.0114001,480.195
0.0116,480.127
0.0118001,480.06
0.0120001,479.992
0.0122,479.924
0.0124,479.857
0.0126001,479.789
0.0128001,479.721
0.013,479.654
0.0132,479.586
0.0134001,479.519
0.0136,479.451
0.0138,479.384
0.0140001,479.317
0.0142001,479.249
0.0144,479.182
0.0146,479.115
0.0148001,479.048
0.0150001,478.98
0.0152,478.913
0.0154001,478.846
0.0156001,478.779
0.0158,478.712
0.016,478.645
0.0162001,478.578
0.0164001,478.511
0.0166,478.444
0.0168,478.378
0.0170001,478.311
0.0172,478.244
0.0174,478.177
0.0176001,478.111
0.0178001,478.044
0.018,477.977
0.0182,477.911
0.0184001,477.844
0.0186001,477.778
0.0188,477.711
0.0190001,477.645
0.0192001,477.578
0.0194,477.512
0.0196,477.446
0.0198001,477.379
0.0200001,477.313
0.0202,477.247
0.0204,477.165
0.0206001,477.101
0.0208,477.038
0.021,476.975
0.0212001,476.911
0.0214001,476.848
0.0216,476.785
0.0218,476.722
0.0220001,476.659
0.0222,476.595
0.0224,476.532
0.0226001,476.469
0.0228001,476.406
0.023,476.343
0.0232,476.28
0.0234001,476.218
0.0236001,476.155
0.0238,476.092
0.024,476.029
0.0242001,475.966
0.0244,475.904
0.0246,475.841
0.0248001,475.778
0.0250001,475.716
0.0252,475.653
0.0254,475.591
0.0256001,475.528
0.0258,475.466
0.026,475.403
0.0262001,475.341
0.0264001,475.278
0.0266,475.216
0.0268,475.154
0.0270001,475.092
0.0272001,475.029
0.0274,474.967
0.0276,474.905
0.0278001,474.843
0.028,474.781
0.0282,474.719
0.0284001,474.657
0.0286001,474.595
0.0288,474.533
0.029,474.471
0.0292001,474.409
0.0294,nan
0.0296,nan
0.0298001,nan
0.0300001,nan
0.0302,nan
0.0304,nan
0.0306001,nan
0.0308001,nan
0.031,nan
0.0312001,nan
0.0314001,nan
0.0316,nan
0.0318,nan
0.0320001,nan
0.0322001,nan
0.0324,nan
0.0326,nan
0.0328001,nan
0.033,nan
0.0332,nan
0.0334001,nan
0.0336001,nan
0.0338,nan
0.034,nan
0.0342001,nan
0.0344001,nan
0.0346,nan
0.0348001,nan
0.0350001,nan
0.0352,nan
0.0354,nan
0.0356001,nan
0.0358001,nan
0.036,nan
0.0362,nan
0.0364001,nan
0.0366,nan
0.0368,nan
0.0370001,nan
0.0372001,nan
0.0374,nan
0.0376,nan
0.0378001,nan
0.0380001,nan
0.0382,nan
0.0384001,nan
0.0386001,nan
0.0388,nan
0.039,nan
0.0392001,nan
0.0394001,nan
0.0396,nan
0.0398,nan
0.0400001,nan
0.0402,nan
0.0404,nan
0.0406001,nan
0.0408001,nan
0.041,nan
0.0412,nan
0.0414001,nan
0.0416,nan
0.0418,nan
0.0420001,nan
0.0422001,nan
0.0424,nan
0.0426,nan
0.0428001,nan
0.0430001,nan
0.0432,nan
0.0434,nan
0.0436001,nan
0.0438,nan
0.044,nan
0.0442001,nan
0.0444001,nan
0.0446,nan
0.0448,nan
0.0450001,nan
0.0452,nan
0.0454,nan
0.0456001,nan
0.0458001,nan
0.046,nan
0.0462,nan
0.0464001,nan
0.0466001,nan
0.0468,nan
0.0470001,nan
0.0472001,nan
0.0474,nan
0.0476,nan
0.0478001,nan
0.0480001,nan
0.0482,nan
0.0484,nan
0.0486001,nan
0.0488,nan
0.049,nan
0.0492001,nan
0.0494001,2270.86
0.0496,2270.85
0.0498,2270.83
0.0500001,2270.82
0.0502001,2270.81
0.0504,2270.79
0.0506001,2270.78
0.0508001,2270.77
0.051,2270.75
0.0512,2270.74
0.0514001,2270.72
0.0516001,2270.71
0.0518,2270.7
0.052,2270.68
0.0522001,2270.67
0.0524,2270.66
0.0526,2270.64
0.0528001,2270.63
0.0530001,2270.62
0.0532,2270.6
0.0534,2270.59
0.0536001,2270.58
0.0538001,2270.56
0.054,2270.55
0.0542001,2270.54
0.0544001,2270.52
0.0546,2270.51
0.0548,2270.5
0.0550001,2270.48
0.0552001,2270.47
0.0554,2270.46
0.0556,2270.44
0.0558001,2270.43
0.056,2270.42
0.0562,2270.41
0.0564001,2270.39
0.0566001,2270.38
0.0568,2270.37
0.057,2270.35
0.0572001,2270.34
0.0574,2270.33
0.0576,2270.31
0.0578001,2270.3
0.0580001,2270.29
0.0582,2270.28
0.0584,2270.26
0.0586001,2270.25
0.0588001,2270.24
0.059,2270.22
0.0592,nan
0.0594001,nan
0.0596,nan
0.0598,nan
0.0600001,1660.06
0.0602001,1660
0.0604,1659.93
0.0606,1659.87
0.0608001,1659.81
0.061,1659.74
0.0612,1659.68
0.0614001,1659.61
0.0616001,1659.55
0.0618,1659.49
0.062,1659.42
0.0622001,1659.36
0.0624001,1659.29
0.0626,1659.23
0.0628,1659.17
0.0630001,1659.1
0.0632,1659.04
0.0634,1658.97
0.0636001,1658.91
0.0638001,1658.85
0.064,1658.78
0.0642,1658.72
0.0644001,1658.66
0.0646,1658.59
0.0648,1658.53
0.0650001,1658.46
0.0652001,1658.4
0.0654,1658.34
0.0656,1658.27
0.0658001,1658.21
0.0660001,1658.14
0.0662,1658.08
0.0664001,1658.02
0.0666001,1657.95
0.0668,1657.89
0.067,1657.83
0.0672001,1657.76
0.0674001,1657.7
0.0676,1657.63
0.0678,1657.57
0.0680001,1657.51
0.0682,1657.44
0.0684,1657.38
0.0686001,1657.31
0.0688001,1657.25
0.069,1657.19
0.0692,1657.12
0.0694001,1657.06
0.0696001,1656.99
0.0698,1656.93
0.0700001,1656.87
0.0702001,1656.8
0.0704,1656.74
0.0706,1656.68
0.0708001,1656.61
0.0710001,1656.55
0.0712,1656.48
0.0714,1656.42
0.0716001,1656.36
0.0718,1656.29
0.072,1656.23
0.0722001,1656.17
0.0724001,1656.1
0.0726,1656.04
0.0728,1655.97
0.0730001,1655.91
0.0732001,1655.85
0.0734,1655.78
0.0736001,1655.72
0.0738001,1655.65
0.074,1655.59
0.0742,1655.53
0.0744001,1655.46
0.0746001,nan
0.0748,nan
0.075,nan
0.0752001,nan
0.0754,nan
0.0756,nan
0.0758001,nan
0.0760001,nan
0.0762,nan
0.0764,nan
0.0766001,nan
0.0768,nan
0.077,nan
0.0772001,nan
0.0774001,nan
0.0776,nan
0.0778,nan
0.0780001,nan
0.0782001,nan
0.0784,nan
0.0786,nan
0.0788001,nan
0.079,nan
0.0792,nan
0.0794001,nan
0.0796001,nan
0.0798,nan
0.08,1323.23
0.0802001,1323.07
0.0804,1322.9
0.0806,1322.74
0.0808001,1322.58
0.0810001,1322.41
0.0812,1322.25
0.0814,1322.09
0.0816001,1321.92
0.0818001,1321.76
0.082,1321.6
0.0822001,1321.43
0.0824001,1321.27
0.0826,1321.11
0.0828,1320.95
0.0830001,1320.78
0.0832001,1320.62
0.0834,1320.46
0.0836,1320.29
0.0838001,1320.13
0.084,1319.97
0.0842,1319.8
0.0844001,1319.64
0.0846001,1319.48
0.0848,1319.32
0.085,1319.15
0.0852001,1318.99
0.0854001,1318.83
0.0856,1318.67
0.0858001,1318.5
0.0860001,1318.34
0.0862,1318.18
0.0864,1318.02
0.0866001,1317.85
0.0868001,1317.69
0.087,1317.53
0.0872,1317.37
0.0874001,1317.2
0.0876,1317.04
0.0878,1316.88
0.0880001,1316.72
0.0882001,1316.56
0.0884,1316.39
0.0886,1316.23
0.0888001,1316.07
0.0890001,1315.91
0.0892,1315.75
0.0894001,1315.58
0.0896001,1315.42
0.0898,1315.26
0.09,1315.1
0.0902001,1314.94
0.0904001,1314.78
0.0906,1314.61
0.0908,1314.45
0.0910001,1314.29
0.0912,1314.13
0.0914,1313.97
0.0916001,1313.81
0.0918001,1313.64
0.092,nan
0.0922,nan
0.0924001,nan
0.0926001,nan
0.0928,nan
0.0930001,nan
0.0932001,nan
0.0934,nan
0.0936,nan
0.0938001,nan
0.0940001,nan
0.0942,nan
0.0944,nan
0.0946001,nan
0.0948,nan
0.095,nan
0.0952001,nan
0.0954001,nan
0.0956,nan
0.0958,nan
0.0960001,nan
0.0962,nan
0.0964,nan
0.0966001,nan
0.0968001,nan
0.097,nan
0.0972,nan
0.0974001,nan
0.0976001,nan
0.0978,nan
0.098,nan
0.0982001,nan
0.0984,nan
0.0986,nan
0.0988001,nan
0.0990001,nan
0.0992,nan
0.0994,nan
0.0996001,nan
0.0998,nan
0.1,nan
0.1002,nan
0.1004,nan
0.1006,nan
0.1008,nan
0.101,nan
0.1012,nan
0.1014,nan
0.1016,nan
0.1018,nan
0.102,nan
0.1022,nan
0.1024,nan
0.1026,nan
0.1028,nan
0.103,nan
0.1032,nan
0.1034,nan
0.1036,nan
0.1038,nan
0.104,nan
0.1042,nan
0.1044,nan
0.1046,nan
0.1048,nan
0.105,nan
0.1052,nan
0.1054,nan
0.1056,nan
0.1058,nan
0.106,nan
0.1062,nan
0.1064,nan
0.1066,nan
0.1068,nan
0.107,nan
0.1072,nan
0.1074,nan
0.1076,nan
0.1078,nan
0.108,nan
0.1082,nan
0.1084,nan
0.1086,nan
0.1088,nan
0.109,nan
0.1092,nan
0.1094,nan
0.1096,nan
0.1098,nan
0.11,nan
0.1102,nan
0.1104,nan
0.1106,nan
0.1108,nan
0.111,nan
0.1112,nan
0.1114,nan
0.1116,nan
0.1118,nan
0.112,nan
0.1122,nan
0.1124,nan
0.1126,nan
0.1128,nan
0.113,nan
0.1132,nan
0.1134,nan
0.1136,nan
0.1138,nan
0.114,nan
0.1142,nan
0.1144,nan
0.1146,nan
0.1148,nan
0.115,nan
0.1152,nan
0.1154,nan
0.1156,nan
0.1158,nan
0.116,nan
0.1162,nan
0.1164,nan
0.1166,nan
0.1168,nan
0.117,nan
0.1172,nan
0.1174,nan
0.1176,nan
0.1178,nan
0.118,nan
0.1182,nan
0.1184,nan
0.1186,nan
0.1188,nan
0.119,nan
0.1192,nan
0.1194,nan
0.1196,nan
0.1198,nan
0.12,nan
0.1202,nan
0.1204,nan
0.1206,nan
0.1208,nan
0.121,nan
0.1212,nan
0.1214,nan
0.1216,nan
0.1218,nan
0.122,nan
0.1222,nan
0.1224,nan
0.1226,nan
0.1228,nan
0.123,nan
0.1232,nan
0.1234,nan
0.1236,nan
0.1238,nan
0.124,nan
0.1242,nan
0.1244,455.552
0.1246,455.504
0.1248,455.456
0.125,455.408
0.1252,455.361
0.1254,455.314
0.1256,455.267
0.1258,455.221
0.126,455.174
0.1262,455.128
0.1264,455.082
0.1266,455.037
0.1268,454.991
0.127,454.946
0.1272,454.901
0.1274,454.856
0.1276,454.812
0.1278,454.768
0.128,454.724
0.1282,452.969
0.1284,452.936
0.1286,452.904
0.1288,452.871
0.129,452.839
0.1292,452.807
0.1294,452.775
0.1296,452.743
0.1298,452.712
0.13,452.68
0.1302,452.65
0.1304,452.619
0.1306,452.588
0.1308,452.558
0.131,452.528
0.1312,452.498
0.1314,452.469
0.1316,452.44
0.1318,452.411
0.132,452.382
0.1322,452.353
0.1324,452.325
0.1326,452.297
0.1328,452.269
0.133,452.241
0.1332,452.214
0.1334,452.187
0.1336,452.16
