"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -1.177450298,       1.176940056,       1.013391849,       1.273919874,       4.308515379,     0.02900446801,     0.04851970132,   -0.009638852378,     0.03452317442,     -0.0308597863,    -0.01977779672,     0.02729348611,   -0.009638852378,     0.04950238577,       1.672835417
          0,           0,           1,      -1.236511283,       1.338071279,        1.15982951,       1.336090924,       4.243956138,     0.02741936151,      0.0606206428,   -0.006341987584,     0.04311818796,      -0.035548893,    -0.01718009459,     0.02528702845,   -0.006341987584,     0.06154063626,       2.210869964
          0,           0,           2,      -1.168184021,       1.431084891,       1.271660307,       1.381905889,       4.300597078,     0.01884898842,     0.06918379243,  -0.0007407610625,     0.04888799224,    -0.03740516837,   -0.009439153323,     0.01642302659,  -0.0007407610625,     0.06979946774,       3.670424687
          0,           0,           3,      -1.147313091,       1.441281177,       1.340845494,       1.367324765,       4.327781462,     0.01167829423,     0.07791294906,    0.003114739729,     0.05482257588,    -0.03982477865,   -0.002970844243,    0.008952057419,    0.003114739729,     0.07827305319,       6.671603535
          0,           0,           4,      -1.106850663,       1.448784372,       1.381341033,       1.406990333,       4.374235328,    0.007053366673,     0.08559172478,    0.005034702611,      0.0600004884,     -0.0419100511,    0.001226217605,    0.004061961836,    0.005034702611,     0.08578574356,       12.13487527
          0,           0,           5,      -1.080363755,       1.456161795,       1.400393172,       1.458671584,       4.400591387,    0.004482144367,     0.09135257942,    0.005702625056,     0.06376237316,    -0.04309447905,    0.003475186061,    0.001291254922,    0.005702625056,     0.09145335448,       20.38144512
          0,           0,           6,      -1.089583677,       1.431865067,       1.394181012,       1.468667296,       4.387427821,    0.003209657413,     0.09518794452,    0.005740855691,     0.06605376272,    -0.04338312237,    0.004402032228,  -0.0001143091797,    0.005740855691,     0.09524197402,       29.65673039
          0,           0,           7,      -1.121331893,       1.361066061,       1.366910015,       1.430016137,       4.347618188,     0.00257062135,      0.0974475153,    0.005556129506,     0.06713854629,    -0.04298477068,    0.004629599313,  -0.0008318138415,    0.005556129506,     0.09747786629,       37.90815605
          0,           0,           8,      -1.154410445,       1.257481132,       1.330417811,        1.36299187,       4.308175388,    0.002170235386,     0.09849630541,    0.005350552396,     0.06735490613,    -0.04211634875,    0.004581330067,   -0.001268558149,    0.005350552396,     0.09851204424,       45.38507944
          0,           0,           9,      -1.179624815,       1.176991152,       1.294516187,       1.303205498,        4.28761507,    0.001860985637,     0.09868333963,     0.00518637608,      0.0670405634,    -0.04099805322,    0.004462883247,   -0.001584146911,     0.00518637608,     0.09868817187,       53.02745903
          0,           0,          10,      -1.200793454,       1.164851705,       1.260646834,       1.270670542,       4.278804567,    0.001634004565,     0.09828325088,    0.005061382009,     0.06646305031,    -0.03981756602,    0.004338403379,   -0.001797026817,    0.005061382009,     0.09828040532,       60.14870032
          0,           0,          11,      -1.228246684,       1.169170009,       1.220834778,       1.246941188,       4.260091946,    0.001524868261,     0.09748035455,    0.004955985683,     0.06578783223,    -0.03870501679,    0.004204942239,   -0.001878075959,    0.004955985683,     0.09747418929,       63.92706638
          0,           0,          12,      -1.267525331,       1.140728347,       1.165943747,       1.206632032,       4.220040656,    0.001554539518,     0.09643016386,     0.00485582121,     0.06511524546,    -0.03774710694,    0.004047513603,   -0.001811771651,     0.00485582121,     0.09642567386,       62.03133643
          0,           0,          13,      -1.311814982,       1.074644097,       1.092377278,         1.1387549,       4.165522382,    0.001713776435,     0.09523905816,    0.004760288009,     0.06447658243,    -0.03697782252,     0.00386150044,   -0.001611062748,    0.004760288009,     0.09524085103,       55.57262676
          0,           0,          14,      -1.354074675,      0.9843715746,       1.004892763,       1.046565326,       4.109899487,    0.001966399525,     0.09398419359,    0.004674723383,     0.06386271022,    -0.03639372701,    0.003656507513,   -0.001314799407,    0.004674723383,     0.09399556732,       47.79506524
          0,           0,          15,      -1.394897078,      0.8982600885,      0.9147623259,      0.9487917326,       4.062225693,    0.002263707159,     0.09274615358,    0.004606974466,     0.06326254674,     -0.0359829992,    0.003451833385,  -0.0009744659116,    0.004606974466,     0.09276865737,         40.970915
          0,           0,          16,      -1.438241878,       0.843928325,      0.8375980697,      0.8749103304,       4.022666564,    0.002563421226,     0.09157650989,    0.004563491107,       0.062663175,    -0.03572419315,    0.003264761068,  -0.0006341144458,    0.004563491107,     0.09161018607,       35.72433159
          0,           0,          17,      -1.482649575,      0.8175787221,      0.7848947212,      0.8321831925,       3.988662453,    0.002826022731,     0.09055215778,    0.004543734919,     0.06209067809,    -0.03560324231,    0.003113708334,  -0.0003359235372,    0.004543734919,     0.09059562262,       32.04226094
          0,           0,          18,      -1.525211666,      0.7991201826,       0.751509447,      0.7968476101,       3.956358883,    0.003023035025,     0.08977067077,    0.004544154459,     0.06160355848,    -0.03562233667,    0.003012688378,  -0.0001117577552,    0.004544154459,      0.0898214873,       29.69554439
          0,           0,          19,      -1.566079528,      0.7665525919,      0.7227715468,      0.7477524044,       3.919715554,    0.003145118058,     0.08928177804,    0.004559485656,     0.06124322098,    -0.03576790512,    0.002962929872,   2.731301898e-05,    0.004559485656,     0.08933715303,       28.38741707
          0,           0,          20,      -1.607718682,      0.7118931896,      0.6863734072,      0.6800660616,       3.874501252,    0.003194288317,     0.08909986226,    0.004583374459,     0.06103732383,      -0.036016322,    0.002959299276,   8.280209411e-05,    0.004583374459,     0.08915706408,       27.89349408
          0,           0,          21,      -1.653414229,        0.63326075,      0.6379498576,      0.6014578574,       3.819883778,    0.003180430847,      0.0891994566,    0.004609837354,     0.06099309969,    -0.03633386788,        0.00299271,   6.547727251e-05,    0.004609837354,     0.08925611414,       28.04634369
          0,           0,          22,      -1.702310046,      0.5426514238,      0.5790360573,      0.5266697321,       3.762144782,     0.00311928338,     0.08953242073,    0.004633354277,     0.06110192037,    -0.03668393582,    0.003051059686,  -7.253224801e-06,    0.004633354277,     0.08958674142,       28.70288134
          0,           0,          23,      -1.751177983,      0.4643339754,      0.5156839658,      0.4700810885,       3.710252002,    0.003033234218,     0.09000953221,    0.004651600201,     0.06132235568,     -0.0370193996,    0.003118318289,  -0.0001099009188,    0.004651600201,     0.09006055918,       29.67444178
          0,           0,          24,      -1.797668022,      0.4219642081,      0.4552775552,      0.4326581884,       3.669041298,    0.002940260799,      0.0905474504,    0.004662431386,      0.0616106741,    -0.03730258066,    0.003182274084,  -0.0002215907756,    0.004662431386,     0.09059490497,       30.79572072
          0,           0,          25,      -1.841538314,      0.4042664818,       0.405265519,      0.4023461164,       3.633736471,    0.002854499082,     0.09108556502,    0.004665388317,      0.0619309441,    -0.03751506814,    0.003235131212,  -0.0003260801782,    0.004665388317,     0.09112969874,       31.90947428
          0,           0,          26,      -1.885793769,      0.3833714824,      0.3654464537,        0.36612689,       3.595230048,    0.002788747154,     0.09156027372,    0.004661727807,     0.06223853646,    -0.03764238782,    0.003270031535,  -0.0004083591463,    0.004661727807,     0.09160182355,        32.8320456
          0,           0,          27,      -1.934533335,      0.3399933535,      0.3292815835,      0.3169840856,       3.546757875,    0.002749802272,     0.09192402902,    0.004653450509,     0.06249657675,    -0.03768249738,    0.003284517828,  -0.0004599751809,    0.004653450509,      0.0919639981,       33.42932325
          0,           0,          28,      -1.989515063,      0.2687028451,      0.2891288271,      0.2551166914,       3.486804357,    0.002738416863,     0.09215265904,    0.004642685602,      0.0626822695,    -0.03764565778,    0.003280397335,  -0.0004793327265,    0.004642685602,      0.0921920915,       33.65180089
          0,           0,          29,      -2.046372223,       0.175088129,      0.2414636061,      0.1866715314,       3.422006193,    0.002750853184,     0.09224579354,    0.004631560412,     0.06278797175,    -0.03755123297,    0.003262269471,  -0.0004701543291,    0.004631560412,     0.09228560328,       33.53352119
          0,           0,          30,      -2.099762442,     0.07885788887,      0.1873344008,      0.1233756477,       3.362172377,    0.002779929019,      0.0922224904,    0.004621578187,     0.06281854109,    -0.03742375228,    0.003236312299,  -0.0004402829378,    0.004621578187,     0.09226332907,       33.17440473
          0,           0,          31,      -2.146885145,     0.01600766756,      0.1300529141,     0.07561601545,       3.314734186,    0.002818268861,     0.09210688533,    0.004614345221,      0.0627837248,    -0.03728396805,    0.003208179095,  -0.0003979318933,    0.004614345221,     0.09214913247,       32.68207892
          0,           0,          32,      -2.188993578,  -0.0005793191566,      0.0750999291,      0.0427497567,       3.278155261,    0.002858024156,     0.09193044823,    0.004610692619,     0.06269998264,    -0.03715047115,    0.003182935005,  -0.0003520432497,    0.004610692619,     0.09197419029,       32.16573521
          0,           0,          33,      -2.230709276,  -0.0001350656616,     0.02465061621,     0.01409247258,        3.24380463,    0.002891887618,      0.0917291805,    0.004610626463,     0.06258848761,    -0.03703967618,    0.003164855038,  -0.0003111762743,    0.004610626463,     0.09177422698,       31.71948313
          0,           0,          34,      -2.276245175,    -0.01249854674,    -0.02188206063,    -0.02198844057,       3.203422866,    0.002915063419,     0.09153325169,    0.004613571276,     0.06246832641,    -0.03696077011,    0.003156080757,  -0.0002811767749,    0.004613571276,     0.09157922635,       31.40008931
          0,           0,          35,      -2.327919248,    -0.05044244694,    -0.06720009367,    -0.07104735394,       3.152315167,    0.002925394597,     0.09136534768,    0.004618627939,      0.0623549912,    -0.03691615064,    0.003156763844,  -0.0002649921247,    0.004618627939,     0.09141178518,       31.23180298
          0,           0,          36,      -2.384872899,     -0.1163243228,     -0.1145630948,     -0.1326077251,       3.090746111,    0.002923087983,     0.09123924789,    0.004624837061,     0.06225913313,    -0.03690292195,    0.003165524787,  -0.0002628965139,    0.004624837061,     0.09128568171,       31.21330881
          0,           0,          37,      -2.442657807,      -0.205111142,     -0.1638873188,     -0.2015529318,       3.025112733,     0.00291063195,     0.09116076312,      0.0046311948,     0.06218728598,    -0.03691448571,    0.003179674712,  -0.0002726058806,      0.0046311948,     0.09120681003,       31.31992114
          0,           0,          38,      -2.497325927,     -0.3036504117,     -0.2146178645,      -0.267731621,       2.963920622,    0.002891496464,     0.09112867197,    0.004637004529,     0.06214227229,    -0.03694272271,     0.00319630939,  -0.0002906097444,    0.004637004529,     0.09117407062,       31.51609317
          0,           0,          39,      -2.546210934,     -0.3796522649,     -0.2657224688,     -0.3204084916,       2.914737188,    0.002868912212,     0.09113557101,    0.004641614037,     0.06212263768,    -0.03697929451,    0.003212964885,  -0.0003134210119,    0.004641614037,     0.09118017727,       31.76659454
          0,           0,          40,      -2.590556739,     -0.4128463183,     -0.3149896668,     -0.3562054907,       2.876143074,    0.002846100472,     0.09117090141,    0.004644537815,     0.06212428727,    -0.03701652926,    0.003227538824,  -0.0003374518684,    0.004644537815,     0.09121469004,       32.03362014
          0,           0,          41,       -2.63438778,     -0.4202999216,     -0.3626993949,     -0.3840177658,       2.840005266,    0.002826274943,     0.09122179018,     0.00464565489,     0.06214117301,    -0.03704761159,    0.003238227824,  -0.0003590413126,     0.00464565489,      0.0912648559,       32.27633263
