    x        y 
0.000000 0.000000
0.008440 0.018035
0.017961 0.025571
0.027677 0.031325
0.037501 0.036126
0.047398 0.040295
0.057348 0.043999
0.067341 0.047335
0.077369 0.050368
0.087425 0.053142
0.097507 0.055692
0.107610 0.058042
0.117732 0.060211
0.127871 0.062217
0.138025 0.064070
0.148192 0.065783
0.158370 0.067365
0.168559 0.068823
0.178757 0.070165
0.188964 0.071395
0.199178 0.072521
0.209399 0.073545
0.219626 0.074473
0.229857 0.075309
0.240094 0.076055
0.250334 0.076715
0.260578 0.077293
0.270824 0.077789
0.281073 0.078208
0.291324 0.078552
0.301576 0.078822
0.311829 0.079021
0.322083 0.079150
0.332337 0.079211
0.342591 0.079207
0.352845 0.079138
0.363098 0.079006
0.373351 0.078812
0.383602 0.078558
0.393851 0.078246
0.404066 0.077876
0.414232 0.077462
0.424396 0.077007
0.434559 0.076512
0.444721 0.075978
0.454882 0.075405
0.465042 0.074796
0.475200 0.074150
0.485356 0.073469
0.495511 0.072752
0.505665 0.072002
0.515816 0.071218
0.525966 0.070402
0.536114 0.069553
0.546260 0.068674
0.556404 0.067763
0.566546 0.066821
0.576686 0.065850
0.586824 0.064850
0.596960 0.063820
0.607094 0.062762
0.617225 0.061676
0.627354 0.060562
0.637480 0.059421
0.647605 0.058252
0.657726 0.057057
0.667846 0.055835
0.677962 0.054587
0.688076 0.053313
0.698188 0.052014
0.708296 0.050688
0.718403 0.049338
0.728506 0.047962
0.738606 0.046560
0.748704 0.045134
0.758799 0.043683
0.768891 0.042207
0.778980 0.040706
0.789066 0.039180
0.799148 0.037630
0.809228 0.036054
0.819305 0.034454
0.829378 0.032829
0.839448 0.031179
0.849515 0.029503
0.859579 0.027803
0.869639 0.026078
0.879696 0.024327
0.889749 0.022550
0.899798 0.020748
0.909844 0.018919
0.919887 0.017065
0.929925 0.015184
0.939960 0.013277
0.949991 0.011342
0.960017 0.009381
0.970040 0.007392
0.980059 0.005375
0.990074 0.003330
1.000084 0.001257
0.999916 -0.001257
0.989724 -0.001995
0.979537 -0.002727
0.969354 -0.003454
0.959175 -0.004175
0.948999 -0.004892
0.938828 -0.005604
0.928661 -0.006312
0.918497 -0.007016
0.908338 -0.007716
0.898182 -0.008413
0.888029 -0.009107
0.877880 -0.009797
0.867735 -0.010485
0.857593 -0.011170
0.847454 -0.011852
0.837319 -0.012532
0.827187 -0.013209
0.817059 -0.013885
0.806933 -0.014557
0.796811 -0.015228
0.786692 -0.015897
0.776576 -0.016563
0.766463 -0.017227
0.756353 -0.017890
0.746245 -0.018550
0.736141 -0.019207
0.726040 -0.019862
0.715941 -0.020515
0.705845 -0.021165
0.695752 -0.021813
0.685661 -0.022457
0.675573 -0.023098
0.665488 -0.023736
0.655405 -0.024371
0.645325 -0.025002
0.635247 -0.025628
0.625171 -0.026250
0.615098 -0.026868
0.605028 -0.027480
0.594959 -0.028087
0.584893 -0.028688
0.574829 -0.029282
0.564767 -0.029870
0.554707 -0.030451
0.544649 -0.031024
0.534593 -0.031589
0.524539 -0.032145
0.514487 -0.032692
0.504436 -0.033228
0.494388 -0.033754
0.484341 -0.034269
0.474295 -0.034771
0.464251 -0.035260
0.454209 -0.035736
0.444167 -0.036197
0.434128 -0.036643
0.424089 -0.037072
0.414051 -0.037484
0.404014 -0.037878
0.394028 -0.038255
0.384075 -0.038624
0.374124 -0.038984
0.364174 -0.039336
0.354225 -0.039677
0.344277 -0.040007
0.334329 -0.040322
0.324382 -0.040623
0.314434 -0.040907
0.304485 -0.041173
0.294535 -0.041418
0.284584 -0.041641
0.274630 -0.041839
0.264675 -0.042010
0.254717 -0.042153
0.244755 -0.042263
0.234789 -0.042338
0.224819 -0.042375
0.214843 -0.042370
0.204862 -0.042320
0.194874 -0.042220
0.184879 -0.042066
0.174875 -0.041852
0.164862 -0.041572
0.154839 -0.041220
0.144803 -0.040787
0.134755 -0.040265
0.124692 -0.039642
0.114612 -0.038906
0.104513 -0.038041
0.094393 -0.037027
0.084248 -0.035839
0.074073 -0.034443
0.063864 -0.032796
0.053612 -0.030832
0.043307 -0.028453
0.032929 -0.025494
0.022443 -0.021632
0.011762 -0.016041
0.000000 0.000000
